"country","year","count","population","ratio"
"Philippines",2006,2823,87592899,0.0322
"Australia",2007,695,20827600,0.0334
"Brazil",2007,1938,192784521,0.0101
"China - mainland",2007,10761,1294926640,0.0083
"China - Taiwan",2007,2506,22958360,0.1092
"France",2007,2190,64016229,0.0342
"Germany",2007,2100,82266372,0.0255
"Great Britain and Northern Ireland",2007,4475,61322463,0.073
"India",2007,83464,1179685631,0.0708
"Japan",2007,3516,128001000,0.0275
"Korea, South",2007,3788,48597652,0.0779
"Mexico",2007,2905,113139374,0.0257
"Pakistan",2007,1233,159767672,0.0077
"Philippines",2007,4279,88965508,0.0481
"Australia",2008,482,21249200,0.0227
"Brazil",2008,1483,194769696,0.0076
"China - mainland",2008,9141,1301617969,0.007
"China - Taiwan",2008,1945,23037031,0.0844
"France",2008,1770,64374990,0.0275
"Germany",2008,1674,82110097,0.0204
"Great Britain and Northern Ireland",2008,3082,61806995,0.0499
"India",2008,72517,1197070109,0.0606
"Japan",2008,2610,128063000,0.0204
"Korea, South",2008,3257,48948698,0.0665
"Mexico",2008,2421,114972821,0.0211
"Pakistan",2008,926,163096985,0.0057
"Philippines",2008,3998,90297115,0.0443
"Australia",2009,442,21691700,0.0204
"Brazil",2009,1466,196701298,0.0075
"China - mainland",2009,9223,1308140228,0.0071
"China - Taiwan",2009,2057,23119772,0.089
"France",2009,1662,64707044,0.0257
"Germany",2009,1523,81902307,0.0186
"Great Britain and Northern Ireland",2009,2901,62276270,0.0466
"India",2009,55886,1214182182,0.046
"Japan",2009,2505,128047000,0.0196
"Korea, South",2009,3233,49182038,0.0657
"Mexico",2009,2190,116815612,0.0187
"Pakistan",2009,838,166520983,0.005
"Philippines",2009,3676,91641881,0.0401
"Australia",2010,495,22031750,0.0225
"Brazil",2010,1613,198614208,0.0081
"China - mainland",2010,11242,1314542877,0.0086
"China - Taiwan",2010,2061,23162123,0.089
"France",2010,1951,65027512,0.03
"Germany",2010,1639,81776930,0.02
"Great Britain and Northern Ireland",2010,3553,62766365,0.0566
"India",2010,58664,1230984504,0.0477
"Japan",2010,2430,128070000,0.019
"Korea, South",2010,3656,49410366,0.074
"Mexico",2010,2494,118617542,0.021
"Pakistan",2010,693,170043918,0.0041
"Philippines",2010,3173,93038902,0.0341
"Australia",2011,537,22340024,0.024
"Brazil",2011,1614,200517584,0.008
"China - mainland",2011,10849,1320905088,0.0082
"China - Taiwan",2011,1705,23224912,0.0734
"France",2011,2069,65342776,0.0317
"Germany",2011,1627,81797673,0.0199
"Great Britain and Northern Ireland",2011,3660,63258918,0.0579
"India",2011,72438,1247446011,0.0581
"Japan",2011,2054,127817277,0.0161
"Korea, South",2011,3501,49779440,0.0703
"Mexico",2011,2647,120365271,0.022
"Pakistan",2011,592,173669648,0.0034
"Philippines",2011,2369,94501233,0.0251
"Australia",2012,427,22728254,0.0188
"Brazil",2012,1583,202401584,0.0078
"China - mainland",2012,11077,1327379178,0.0083
"China - Taiwan",2012,1692,23315822,0.0726
"France",2012,1855,65659790,0.0283
"Germany",2012,1446,80425823,0.018
"Great Britain and Northern Ireland",2012,3019,63700300,0.0474
"India",2012,80630,1263589639,0.0638
"Japan",2012,1907,127561489,0.0149
"Korea, South",2012,3131,50004441,0.0626
"Mexico",2012,3543,122070963,0.029
"Pakistan",2012,613,177392252,0.0035
"Philippines",2012,2026,96017322,0.0211
"Australia",2013,416,23117353,0.018
"Brazil",2013,1451,204259377,0.0071
"China - mainland",2013,12632,1334006483,0.0095
"China - Taiwan",2013,1560,23373517,0.0667
"France",2013,1782,65972097,0.027
"Germany",2013,1274,82132753,0.0155
"Great Britain and Northern Ireland",2013,2699,64128226,0.0421
"India",2013,99705,1279498874,0.0779
"Japan",2013,1698,127338621,0.0133
"Korea, South",2013,3000,50219669,0.0597
"Mexico",2013,3686,123740109,0.0298
"Pakistan",2013,636,181192646,0.0035
"Philippines",2013,2160,97571676,0.0221
"Australia",2014,424,23464086,0.0181
"Brazil",2014,1352,206077898,0.0066
"China - mainland",2014,14871,1340836247,0.0111
"China - Taiwan",2014,1505,23433753,0.0642
"France",2014,1709,66495940,0.0257
"Germany",2014,1213,80982500,0.015
"Great Britain and Northern Ireland",2014,2509,64613160,0.0388
"India",2014,108817,1295291543,0.084
"Japan",2014,1369,127131800,0.0108
"Korea, South",2014,2727,50423955,0.0541
"Mexico",2014,3243,125385833,0.0259
"Pakistan",2014,670,185044286,0.0036
"Philippines",2014,1700,99138690,0.0171
"Australia",2015,373,23781169,0.0157
"Brazil",2015,1258,207847528,0.0061
"China - mainland",2015,18306,1347727926,0.0136
"China - Taiwan",2015,1448,23492074,0.0616
"France",2015,1594,66808385,0.0239
"Germany",2015,1091,81413145,0.0134
"Great Britain and Northern Ireland",2015,2111,65138232,0.0324
"India",2015,119952,1311050527,0.0915
"Japan",2015,1146,126958472,0.009
"Korea, South",2015,2526,50617045,0.0499
"Mexico",2015,2894,127017224,0.0228
"Pakistan",2015,609,188924874,0.0032
"Philippines",2015,1432,100699395,0.0142
