Fiscal Year 2001,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,59,41,2,"2,022","2,101","1,990",0,0,23,0,0,1,35,0,0,0,0,0,0,132,8,0,46,65,3,133,3,0,75,0,0,0,0,0,0,49,25,109,17,21,0,0,0,7,7,62,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,10,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,"7,069",0,"7,069",,,
Angola,91,80,5,230,"2,164",296,0,0,19,1,0,11,20,0,0,0,0,0,0,314,34,0,31,109,0,8,0,0,2,0,0,0,0,0,6,0,5,51,22,0,0,0,0,18,36,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,565",0,"3,565",,,
Benin,35,114,7,14,752,89,0,0,4,0,1,3,14,0,0,0,0,0,0,87,5,0,43,6,0,62,8,0,13,0,0,0,0,0,0,8,1,38,20,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,336",0,"1,336",,,
Botswana,18,81,0,1,773,91,0,0,1,1,0,0,0,0,0,0,0,0,0,138,2,0,6,7,0,8,0,0,9,0,0,0,2,0,0,2,7,130,22,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,322",0,"1,322",,,
Burkina Faso,27,21,2,20,"1,317",86,0,0,11,0,0,24,50,0,0,0,0,0,0,114,5,0,7,141,0,63,2,0,6,0,0,0,0,0,0,5,0,26,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,952",0,"1,952",,,
Burundi,12,16,3,4,454,28,0,0,41,0,0,3,0,0,0,0,0,0,0,136,3,0,20,83,0,90,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,0,901,,,
Cameroon,20,160,4,157,"4,166",968,0,0,53,0,0,2,0,0,0,3,0,0,0,587,27,0,23,146,2,125,15,0,80,0,0,0,0,0,1,33,16,114,54,18,2,0,0,13,24,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,0,11,0,1,0,0,15,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,24,1,"6,891",0,"6,891",,,
Cape Verde,6,6,1,17,"5,319",345,0,0,2,34,0,0,7,0,0,0,0,0,0,28,0,0,12,30,0,0,3,0,0,0,0,0,0,0,0,0,1,25,2,46,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,12,"5,986",0,"5,986",,,
Central African Republic,13,20,3,3,236,13,0,0,25,0,0,0,12,0,0,0,0,0,0,31,2,0,10,59,0,11,1,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0,468,,,
Chad,16,51,1,14,231,100,0,0,13,0,0,0,19,0,0,0,0,0,0,41,2,0,19,50,0,26,0,0,2,0,0,0,0,0,0,0,0,15,11,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,620,0,620,,,
Comoros,2,9,0,2,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,5,52,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,112,,,
"Congo, Dem. Rep. of the (Congo Kinshasa)",63,183,1,178,"2,671",574,0,0,14,1,0,10,0,0,0,0,0,0,0,164,7,0,10,90,0,123,1,0,14,0,0,0,0,0,0,9,0,55,6,8,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,54,0,21,0,0,0,0,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,"4,312",0,"4,312",,,
"Congo, Rep. of the (Congo Brazzaville)",42,157,1,21,493,107,0,0,8,0,0,6,27,0,0,0,0,0,0,42,1,0,37,102,0,16,3,0,1,0,0,0,0,0,0,1,0,10,6,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"1,093",0,"1,093",,,
Cote d'Ivoire ,63,115,1,91,"3,222",337,0,0,20,4,0,0,52,0,0,0,0,0,0,313,19,0,49,74,1,78,15,0,29,0,0,0,1,0,0,9,12,68,15,10,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,45,1,0,0,0,5,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,"4,702",0,"4,702",,,
Djibouti,17,11,0,33,112,291,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,8,19,0,6,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,510,,,
Egypt,177,"2,646",37,463,"40,395",202,0,0,55,546,0,14,42,0,0,23,0,0,0,896,175,0,48,50,0,108,9,0,484,0,0,0,8,0,5,365,33,"2,000",609,25,0,0,0,104,152,25,3,0,0,0,0,0,0,0,0,0,0,26,5,7,16,0,58,2,1,0,0,154,88,0,0,0,0,21,0,0,0,0,0,0,0,0,0,24,36,1,"50,138",0,"50,138",,,
Equatorial Guinea,43,89,19,22,79,20,0,0,1,0,0,0,1,0,0,0,0,0,0,32,1,0,9,20,0,9,1,0,0,0,0,0,0,0,0,0,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,362,,,
Eritrea,13,68,8,418,884,134,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,0,6,14,0,12,1,0,3,0,0,0,0,0,0,0,0,43,2,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,"1,704",0,"1,704",,,
Ethiopia,29,49,18,448,"4,445",744,0,0,77,2,0,27,133,0,0,6,0,0,0,313,27,0,30,64,0,192,24,0,46,0,0,0,0,0,1,12,1,122,19,41,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,19,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,69,140,0,"7,132",0,"7,132",,,
Gabon,68,115,13,35,556,190,0,0,6,1,0,1,9,0,0,0,0,0,0,107,2,0,24,108,0,22,20,0,5,0,0,0,0,0,0,2,0,13,2,2,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,308",0,"1,308",,,
"Gambia, The",9,102,2,36,"2,338",68,0,0,1,0,0,1,12,0,0,0,0,0,0,223,1,0,15,38,0,45,1,0,12,0,0,0,0,0,0,10,0,7,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"2,934",0,"2,934",,,
Ghana,47,250,4,603,"15,159","1,121",0,0,62,247,0,17,33,0,0,0,0,0,0,881,108,0,30,82,0,108,11,0,144,0,0,0,1,0,0,63,42,437,68,120,7,0,0,13,12,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,8,0,0,0,0,67,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,141,0,"19,995",0,"19,995",,,
Guinea,12,63,0,25,"3,964",496,0,0,11,7,0,0,0,0,0,0,0,0,0,166,1,0,11,155,0,24,2,0,9,0,0,0,0,0,0,0,3,44,4,7,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,"5,058",0,"5,058",,,
Guinea-Bissau,6,3,0,4,161,12,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,9,54,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,260,,,
Kenya,85,97,18,97,"14,539",351,0,0,12,6,0,0,0,0,0,1,0,0,0,"3,712",251,0,62,92,0,301,24,0,229,0,0,0,1,0,2,95,16,478,93,33,8,0,0,45,75,60,1,0,0,0,0,0,0,0,0,0,0,4,0,7,53,0,22,0,38,0,0,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,"20,971",0,"20,971",,,
Lesotho,2,7,0,4,118,14,0,0,0,1,0,2,0,0,0,0,0,0,0,10,0,0,9,27,0,2,1,0,2,0,0,0,6,0,0,4,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,221,,,
Liberia,12,4,2,79,"1,503",848,0,0,6,4,0,0,0,0,0,1,0,0,0,330,27,0,1,42,0,51,4,0,13,0,0,0,0,0,1,1,0,17,5,10,7,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0,"3,015",0,"3,015",,,
Libya,0,0,0,17,201,109,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,85,33,0,11,0,0,3,0,0,0,0,0,0,7,0,4,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,500,0,500,,,
Madagascar,27,66,1,118,346,218,0,0,6,0,0,0,26,0,0,0,0,0,0,47,4,0,32,106,0,48,2,0,6,0,0,0,0,0,1,2,0,55,2,4,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,136",0,"1,136",,,
Malawi,18,62,3,3,839,23,0,0,1,2,0,0,0,0,0,0,0,0,0,129,20,0,4,48,0,24,2,0,7,0,0,0,0,0,0,3,0,76,9,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,290",0,"1,290",,,
Mali,40,41,2,176,"3,395","1,638",0,0,17,0,0,0,13,0,0,0,0,0,0,333,6,0,24,102,0,75,1,0,9,0,0,0,0,0,0,1,3,49,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,13,0,83,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,"6,048",0,"6,048",,,
Mauritania,10,75,1,8,965,90,0,0,2,0,0,2,3,0,0,0,0,0,0,258,5,0,22,82,0,39,1,0,4,0,0,0,0,0,0,2,0,8,1,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"1,588",0,"1,588",,,
Mauritius,15,24,0,11,"1,246",131,0,0,10,111,0,1,2,0,0,0,0,0,0,76,3,0,20,35,0,30,2,0,36,0,0,0,0,0,1,10,0,25,5,2,0,0,0,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,818",0,"1,818",,,
Morocco,25,240,74,307,"11,556","3,789",0,0,15,314,1,0,119,0,1,6,0,0,0,"1,222",16,0,37,82,0,46,38,0,196,0,0,0,1,0,3,53,23,408,53,109,2,0,0,19,16,9,4,0,0,0,0,0,0,0,0,0,0,7,0,1,34,0,11,3,58,0,0,5,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,21,28,0,"18,958",0,"18,958",,,
Mozambique,40,94,8,8,619,28,0,0,22,9,0,5,0,0,0,0,0,0,0,68,11,0,26,30,0,26,3,0,9,0,0,0,0,0,0,7,7,52,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,084",0,"1,084",,,
Namibia,12,42,6,0,568,12,0,0,1,8,0,2,1,0,0,0,0,0,0,37,4,0,22,30,0,10,2,0,3,0,0,6,3,0,0,3,0,78,11,3,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,875,,,
Niger,37,24,17,386,392,234,0,0,9,0,0,0,16,0,0,0,0,0,0,295,4,0,11,62,0,37,0,0,4,0,0,0,0,0,0,3,3,34,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,600",0,"1,600",,,
Nigeria,129,296,12,"1,529","32,594","2,098",0,0,47,46,0,5,42,0,0,0,0,0,0,"1,995",86,0,101,124,0,160,4,0,441,0,0,0,1,0,5,338,13,506,119,238,13,0,0,148,186,32,3,0,0,0,0,0,0,0,0,0,1,11,1,4,55,0,52,0,1,0,0,228,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,368,4,"42,222",0,"42,222",,,
Rwanda,9,98,4,5,599,32,0,0,3,0,0,0,0,0,0,0,0,0,0,84,5,0,9,4,0,33,5,0,1,0,0,0,0,0,0,0,0,51,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,980,,,
Sao Tome and Principe,1,3,0,4,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,,,
Senegal,71,125,11,75,"8,328",308,0,0,42,0,0,3,34,0,0,0,0,0,0,441,7,0,38,129,1,132,12,0,56,0,0,0,0,0,1,27,18,206,10,16,1,0,0,10,10,3,0,0,0,0,0,0,0,0,0,0,0,5,20,0,41,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,0,"10,265",0,"10,265",,,
Seychelles,0,0,2,14,188,22,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,256,,,
Sierra Leone,3,26,0,10,"1,512",55,0,0,7,2,0,0,0,0,0,0,0,0,0,70,4,0,6,50,0,48,1,0,20,0,0,0,0,0,0,10,0,30,0,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,"1,910",0,"1,910",,,
Somalia,0,0,2,25,735,167,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,14,1,0,4,0,0,0,0,0,0,0,0,4,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,989,0,989,,,
South Africa,84,514,10,760,"43,209","6,171",0,0,451,"2,364",1,62,87,0,3,10,0,0,0,743,83,0,17,130,0,125,7,0,"1,529",0,0,971,683,0,39,"1,628",46,"4,158",283,69,23,0,0,802,809,21,4,0,0,3,0,0,0,0,0,0,0,51,10,26,140,0,18,6,165,0,0,131,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,"66,541",0,"66,541",,,
Sudan,22,40,30,624,"1,655","1,782",0,0,28,2,0,0,32,0,0,0,0,0,0,289,37,0,35,116,0,91,0,0,49,0,0,0,0,0,0,31,0,23,8,4,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,6,0,"4,930",0,"4,930",,,
Swaziland,16,55,0,1,172,16,0,0,6,0,0,0,0,0,0,0,0,0,0,20,1,0,12,27,0,4,0,0,0,0,0,0,1,0,0,0,1,26,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,367,,,
Tanzania,42,155,3,28,"3,736",668,0,0,18,0,0,1,17,0,0,0,0,0,0,"1,060",45,0,37,158,0,77,11,0,46,0,0,0,0,0,0,31,4,182,27,4,0,0,0,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,"6,414",0,"6,414",,,
Togo,22,29,5,36,"1,548",463,0,0,5,1,0,0,25,0,0,0,0,0,0,452,17,0,9,32,0,45,8,0,9,0,0,0,0,0,0,5,0,33,7,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,"2,773",0,"2,773",,,
Tunisia,21,173,4,224,"2,678","2,792",0,0,3,78,0,0,34,0,0,10,0,0,0,275,4,0,13,68,0,43,3,0,53,0,0,0,3,0,0,17,2,158,24,9,0,0,0,14,8,39,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,"6,759",0,"6,759",,,
Uganda,21,219,4,54,"2,808",83,0,0,14,5,0,1,3,0,0,0,0,0,0,405,21,0,27,77,0,132,7,0,35,0,0,0,2,0,0,14,0,182,12,6,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,0,1,0,0,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,239",0,"4,239",,,
Zambia,27,73,1,8,"3,512",37,0,0,12,0,0,1,10,0,0,0,0,0,0,419,106,0,36,96,0,70,8,0,20,0,0,0,1,0,1,22,4,475,28,2,0,0,0,3,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"5,012",0,"5,012",,,
Zimbabwe,31,22,6,38,"3,946",123,0,0,40,46,0,0,14,0,0,3,0,0,0,"1,001",233,0,36,37,0,128,12,0,102,0,0,0,16,0,0,84,4,259,59,4,0,0,0,23,24,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,16,0,24,1,11,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,362",0,"6,362",,,
