Fiscal Year 2010,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Burma,43,3,4,469,337,"1,170",0,0,341,0,0,0,"2,644",0,0,0,0,0,0,471,12,0,33,23,0,72,0,0,47,0,0,0,0,1,11,6,86,3,81,2,6,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,910",0,"5,910"
Cambodia,23,146,0,47,"2,114",8,0,0,8,0,0,15,1,0,0,0,0,0,0,230,4,0,27,56,0,44,2,0,13,0,0,0,0,0,4,2,140,14,592,47,8,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,591",0,"3,591"
China - mainland,552,"1,892",4,358,"498,714","9,896",0,0,"2,292","9,264",0,851,"4,631",0,10,18,0,7,0,"113,772","2,682",0,121,649,0,621,16,0,"11,242",0,1,1,2,209,"3,216",616,"27,711","7,113","1,825",295,286,74,"2,437","1,820","1,414",2,0,0,0,0,0,0,0,0,0,0,168,32,46,"1,125",21,634,6,64,0,0,24,5,0,0,0,0,68,0,3,2,0,1,2,2,1,0,0,0,0,0,"706,818",0,"706,818"
China - Taiwan,0,0,0,29,"122,417",155,0,0,296,"1,863",0,0,0,0,699,280,0,0,0,"10,785",384,0,1,0,0,21,0,0,"2,061",0,0,0,0,22,522,64,"4,719",576,128,9,9,0,230,230,117,2,0,0,0,0,0,0,0,0,0,0,54,177,7,126,0,91,0,0,0,0,53,9,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,"146,149",0,"146,149"
Hong Kong S.A.R.,0,2,0,3,"32,480",3,0,0,4,250,0,0,0,0,0,1,0,2,0,"2,631",30,0,0,1,0,15,1,0,331,0,0,0,0,7,42,55,"1,295",38,61,11,5,2,80,63,16,0,0,0,0,0,0,0,0,0,0,0,22,204,5,143,0,1,0,36,0,0,19,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,"37,865",0,"37,865"
India,190,"2,316",50,"1,722","294,120","2,345",0,0,507,"20,806",1,544,119,0,3,11,0,44,0,"25,783","1,346",0,82,292,0,"1,275",46,0,"58,664",0,2,0,13,395,"38,833",205,"5,993","1,916",834,25,203,21,"36,821","29,135",902,10,0,0,0,0,0,0,0,0,0,0,130,121,55,28,1,"1,574",10,0,0,0,474,199,0,0,0,0,73,0,13,14,1,0,5,6,8,0,0,0,0,0,"528,286",0,"528,286"
Indonesia,191,"1,978",78,591,"28,402",110,0,0,66,"8,257",0,63,7,0,0,5,0,3,0,"1,891",115,0,201,192,0,245,15,0,748,0,0,0,410,12,163,62,"1,261",217,183,13,15,3,178,236,22,1,0,0,0,0,0,0,0,0,0,0,15,3,1,19,0,48,1,3,0,0,23,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"46,052",0,"46,052"
Iran,0,2,6,642,"7,049","7,929",0,0,20,0,3,0,0,0,0,41,0,1,0,"1,761",256,0,116,324,0,179,0,0,137,0,0,0,0,0,120,11,353,244,448,30,39,10,18,19,3,0,0,0,0,0,0,1,0,0,0,0,3,6,5,8,0,28,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,"19,822",0,"19,822"
Iraq,101,896,6,61,"3,061",44,0,0,1,25,0,1,0,0,0,0,0,0,0,238,54,0,32,108,0,28,0,0,8,0,0,0,0,0,18,15,879,114,105,0,40,8,9,10,33,1,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,905",0,"5,905"
Israel,144,"1,994",0,86,"110,879",238,0,0,9,629,0,24,14,0,208,13,0,2,0,952,72,0,25,23,0,39,0,0,786,0,0,0,283,5,624,75,"2,891","1,195",32,2,3,0,761,"1,357",24,0,0,0,0,0,0,0,0,0,0,0,182,12,51,353,1,46,3,0,0,0,50,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"124,142",0,"124,142"
Japan,309,"7,708",10,692,"1,894",96,0,0,21,"1,850",0,762,0,0,"1,649","8,578",0,12,0,"15,014",638,0,55,145,0,373,4,0,"2,430",0,0,0,279,195,970,"1,043","6,296","2,652",508,21,18,2,"4,080","5,311",518,6,0,0,0,0,0,0,0,0,0,0,486,164,104,422,0,128,17,151,0,0,94,48,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,"65,771",0,"65,771"
Jordan,52,"2,015",4,428,"10,567",64,0,0,11,105,0,112,1,0,0,5,0,0,0,764,168,0,18,27,0,81,0,0,211,0,0,0,0,1,110,6,847,189,62,0,65,5,22,24,17,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,29,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,023",0,"16,023"
"Korea, North",0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53
"Korea, South",236,"2,349",2,231,"15,861",112,0,0,25,"4,919",0,212,0,0,451,"3,320",0,6,0,"44,328","6,281",0,48,92,0,225,1,0,"3,656",0,0,0,20,91,"2,194",312,"10,402","5,836",232,14,7,5,"1,404","2,407",308,42,0,0,0,0,0,0,0,0,0,0,236,151,61,277,0,119,24,5,0,0,197,178,0,0,0,0,18,0,0,0,0,0,4,0,3,1,1,0,0,0,"106,904",0,"106,904"
Kuwait,64,554,0,0,"13,587",7,0,0,0,0,0,0,58,0,0,0,0,0,0,"1,536",200,0,28,32,0,12,0,0,6,0,0,0,0,2,2,1,91,26,1,0,0,0,5,15,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,238",0,"16,238"
Laos,57,103,0,23,"1,008",4,0,0,5,1,0,0,0,0,0,0,0,0,0,33,0,0,19,80,0,32,1,0,1,0,0,0,0,0,0,0,61,3,445,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,915",0,"1,915"
Lebanon,17,502,13,81,"13,531",54,0,0,5,144,0,1,22,0,0,2,0,1,0,412,13,0,9,72,0,79,1,0,295,0,0,0,0,3,76,39,641,63,169,2,22,2,52,25,10,0,0,0,1,0,0,0,0,0,0,0,10,3,2,1,0,51,0,0,0,0,8,3,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,"16,445",0,"16,445"
Macau S.A.R.,0,0,0,0,"1,019",1,0,0,1,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,21,0,0,3,1,0,0,0,63,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,285",0,"1,285"
Malaysia,88,913,5,582,"26,464",732,0,0,58,"1,697",0,22,12,0,2,2,0,3,0,"2,052",94,0,12,100,0,79,1,0,648,0,0,1,9,47,153,67,"1,078",114,57,2,6,0,589,299,34,0,0,0,0,0,0,0,0,0,0,0,18,10,9,10,0,17,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,094",0,"36,094"
Maldives,7,85,0,1,64,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,4,0,3,20,0,5,0,0,2,0,0,0,0,0,1,1,18,2,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,249
Mongolia,26,275,0,243,"3,563",49,0,0,22,0,0,13,8,0,0,9,0,0,0,635,89,0,5,63,0,65,0,0,42,0,0,0,0,0,19,17,"1,625",67,8,4,1,1,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,16,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"6,944",0,"6,944"
Nepal,5,200,11,129,"5,671",55,0,0,38,218,0,142,0,0,0,0,0,1,0,"1,389",197,0,31,80,0,266,11,0,488,0,0,4,4,1,268,10,326,101,84,4,20,1,46,39,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,0,0,0,10,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"9,911",0,"9,911"
Oman,32,406,2,12,"1,042",418,0,0,0,34,0,0,0,0,0,0,0,0,0,183,26,0,21,17,0,2,0,0,7,0,0,0,0,0,3,4,118,14,0,0,0,0,3,6,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,385",0,"2,385"
Pakistan,142,"2,294",12,138,"22,252",162,0,0,19,370,0,134,2,0,6,48,0,0,0,972,121,0,113,64,0,388,0,0,693,0,1,0,1,5,732,45,"1,356",345,435,15,206,28,114,184,9,0,0,0,0,0,0,0,0,0,0,0,14,0,10,0,0,96,1,0,0,0,6,9,0,0,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,"31,595",0,"31,595"
Palestinian Authority Travel Document,0,1,0,107,"2,855",11,0,0,0,1,0,0,0,0,0,0,0,0,0,146,14,0,0,0,0,25,0,0,21,0,0,0,0,0,12,4,316,60,25,0,35,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,652",0,"3,652"
Philippines,129,"1,678",160,"4,514","78,787",534,0,0,"1,473","46,774",1,167,"3,806",0,20,69,0,2,0,717,31,0,161,60,1,668,107,0,"3,173",0,56,21,"1,518",26,"3,527",63,"1,950",85,"6,024","1,030",370,87,952,524,24,1,0,0,1,0,0,1,0,0,0,0,65,161,5,146,0,22,1,0,0,0,138,35,0,0,0,0,12,0,1,3,0,0,0,2,14,0,0,0,0,0,"159,897",0,"159,897"
Qatar,33,432,5,7,"2,942",3,0,0,0,12,0,0,0,0,0,0,0,0,0,505,68,0,3,56,0,0,0,0,0,0,0,0,0,1,0,2,50,14,1,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,141",0,"4,141"
Saudi Arabia,445,"4,557",40,203,"41,154",287,0,0,2,0,0,0,456,0,0,0,0,0,0,"21,101","5,643",0,51,144,0,65,0,0,18,0,0,0,0,5,13,19,403,360,2,0,0,0,88,308,145,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"75,535",0,"75,535"
Singapore,42,"3,023",0,61,428,10,0,0,0,"1,803",0,11,2,0,2,27,0,5,0,"1,723",94,0,14,48,0,43,0,0,483,168,0,0,0,59,210,27,"1,318",146,34,4,5,0,283,238,47,0,0,0,1,0,0,0,0,0,0,0,20,6,2,13,0,1,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,412",0,"10,412"
Sri Lanka,15,198,28,102,"5,788",54,0,0,136,"1,360",0,4,1,0,0,3,0,1,0,615,93,0,30,66,0,97,26,0,236,0,0,0,0,2,94,4,160,50,27,3,10,0,106,95,50,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,4,0,0,0,0,18,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"9,502",0,"9,502"
Syria,17,5,2,43,"7,115",42,0,0,1,37,0,0,17,0,0,1,0,0,0,232,14,0,43,20,0,50,0,0,76,0,0,0,0,1,101,8,221,80,193,5,20,2,4,8,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,54,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,427",0,"8,427"
Thailand,47,943,20,315,"33,777",51,0,0,251,"3,197",0,83,3,0,39,246,0,3,0,"4,061",57,0,13,151,2,78,6,0,408,0,0,11,6,37,84,97,"9,405",116,765,94,52,14,135,76,23,0,0,0,1,0,0,0,0,0,0,0,14,40,5,20,0,26,0,3,0,0,32,0,0,0,0,0,3,0,42,69,0,0,0,0,0,0,0,0,0,0,"54,921",0,"54,921"
Timor-Leste,6,17,0,0,26,0,0,0,4,0,0,3,0,0,0,0,0,0,0,5,0,0,4,21,0,5,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120
United Arab Emirates,59,564,6,18,"7,084",12,0,0,2,0,0,1,53,0,0,0,0,0,0,"1,043",190,0,15,31,0,2,0,0,2,0,0,0,0,0,0,2,70,10,1,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,173",0,"9,173"
Vietnam,258,966,2,88,"30,811",780,0,0,143,217,0,57,69,0,2,3,0,1,0,"8,681",107,0,70,155,2,171,3,0,305,0,0,0,0,3,88,77,"1,794",144,657,50,44,9,112,78,47,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,89,1,0,0,0,98,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,"46,192",0,"46,192"
Yemen,20,228,9,57,"1,340",13,0,0,1,7,0,2,2,0,0,0,0,0,0,220,59,0,46,56,0,34,0,0,8,0,0,0,0,0,12,0,122,12,7,0,45,22,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,329",0,"2,329"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Asia,"3,521","40,850",488,"12,159","1,439,039","25,642",0,0,"5,791","104,466",5,"3,283","11,930",0,"3,091","12,683",0,95,0,"266,277","19,328",0,"1,568","3,621",25,"5,811",247,0,"87,435",168,60,42,"2,546","1,130","52,332","3,005","84,891","22,033","14,289","1,711","1,590",309,"48,583","42,572","3,928",97,0,0,4,0,0,3,0,0,0,0,"1,455","1,092",377,"2,804",24,"3,239",72,264,0,0,"1,317",557,0,0,0,0,306,0,61,92,1,1,17,11,29,2,1,0,0,0,"2,338,370",0,"2,338,370"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,23,254,0,7,"5,521",9,0,0,10,0,0,1,7,0,0,4,0,0,0,390,8,0,0,56,0,58,0,0,75,0,0,0,0,0,2,11,275,3,62,1,14,0,3,4,1,0,0,0,23,0,0,0,0,0,0,0,5,0,0,5,0,16,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,853",0,"6,853"
Andorra,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,11,0,1,0,0,1,0,0,0,0,0,0,0,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37
Armenia,16,95,2,13,"3,385",14,0,0,2,0,0,0,2,0,0,7,0,0,0,121,11,0,6,33,0,105,1,0,47,0,0,0,0,0,41,15,341,32,129,8,15,5,11,24,1,0,0,0,0,0,0,0,0,0,0,0,6,13,0,32,0,77,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,614",0,"4,614"
Austria,37,287,0,83,768,4,0,0,5,226,0,4,0,0,12,81,0,3,0,748,12,0,15,53,4,155,0,0,169,0,1,0,4,2,47,117,"2,030",77,15,1,0,0,249,137,53,0,0,0,2,0,0,0,0,0,0,0,100,3,14,453,0,20,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,999",0,"5,999"
Azerbaijan,46,307,1,14,"2,640",8,0,0,30,0,0,1,17,0,0,5,0,0,0,438,37,0,29,34,0,74,0,0,38,0,0,0,0,12,42,9,996,34,21,2,0,0,20,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,895",0,"4,895"
Belarus,11,15,0,64,"5,642",285,0,0,7,743,0,0,2,0,0,1,0,0,0,218,9,0,34,38,0,68,0,0,93,0,0,0,0,0,56,4,"3,022",8,92,24,4,0,51,54,2,0,0,0,0,0,0,0,0,0,0,0,19,3,4,61,0,4,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,643",0,"10,643"
Belgium,20,267,0,78,813,19,0,0,7,429,0,13,0,0,17,101,0,0,0,981,16,0,21,85,29,171,2,0,167,0,0,0,1,6,58,138,"1,156",113,29,2,2,0,286,337,125,0,0,0,378,0,17,0,1,0,0,0,64,33,10,199,0,12,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,213",0,"6,213"
Bosnia and Herzegovina,22,131,1,11,"4,914",49,0,0,3,449,0,0,3,0,0,3,0,0,0,180,3,0,8,35,0,63,0,0,33,0,0,0,0,0,10,9,322,7,85,4,12,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,26,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,403",0,"6,403"
Bulgaria,49,105,0,52,"10,960",480,0,0,36,"2,137",0,2,1,0,0,13,0,1,0,512,7,0,15,34,3,81,0,0,376,0,0,3,163,0,63,42,"5,218",29,78,5,8,1,38,31,4,0,0,0,117,0,0,0,1,0,0,0,28,1,4,122,0,50,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,874",0,"20,874"
Croatia,37,176,0,120,"9,844",450,0,0,15,"2,978",0,1,2,0,0,6,0,0,0,323,1,0,10,45,1,71,0,0,78,0,0,0,4,3,15,36,617,21,27,1,3,0,45,14,7,0,0,0,6,0,0,0,0,0,0,0,14,4,1,18,0,43,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"15,042",0,"15,042"
Cyprus,13,33,0,5,"4,229",456,0,0,0,50,0,0,0,0,0,0,0,0,0,201,0,0,8,20,1,16,0,0,53,0,0,0,0,0,4,2,150,6,3,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,276",0,"5,276"
Czech Republic,50,414,0,75,"2,005",153,0,0,3,195,0,2,15,0,0,28,0,1,0,580,3,0,20,75,3,45,2,0,119,0,0,1,9,0,37,25,"2,496",84,20,0,0,0,144,69,9,0,0,0,86,0,2,0,1,0,0,0,35,2,6,145,1,1,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,974",0,"6,974"
Denmark,50,326,2,112,"1,233",14,0,0,12,269,0,1,0,0,17,50,0,2,0,"1,027",38,0,24,110,6,203,2,0,157,0,0,0,2,3,91,124,"2,127",202,39,1,1,0,444,450,69,0,0,0,113,0,4,2,0,0,0,0,91,39,24,134,0,8,6,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,637",0,"7,637"
Estonia,18,57,0,9,210,1,0,0,1,181,0,0,0,0,3,3,0,0,0,86,2,0,6,12,1,12,0,0,16,0,0,0,2,0,1,9,709,11,9,1,0,1,11,10,6,4,0,0,88,0,0,0,0,0,0,0,10,0,0,5,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,505",0,"1,505"
Finland,40,283,2,88,303,61,0,0,2,500,0,2,0,0,15,77,0,3,0,435,9,0,15,109,8,105,4,0,101,0,0,0,0,1,78,81,"1,268",176,30,1,4,0,200,269,41,0,0,0,1,0,0,0,0,0,0,0,52,5,11,239,0,3,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,641",0,"4,641"
France,241,"1,943",2,253,"4,684",120,0,0,23,"4,438",0,91,5,0,103,"1,504",0,9,0,"6,027",101,0,79,159,41,"1,131",7,0,"1,951",0,0,2,12,38,537,624,"12,424",844,173,4,6,0,"2,064","2,592",198,2,0,6,258,3,22,7,10,0,0,0,492,156,120,663,2,125,18,225,0,0,40,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,601",0,"44,601"
Georgia,72,481,1,50,"2,533",75,0,0,2,"1,286",0,0,0,0,0,1,0,0,0,346,16,0,19,30,1,86,1,0,51,0,0,0,0,1,24,47,534,23,29,4,4,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,13,0,9,64,0,38,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,858",0,"5,858"
Germany,201,"1,156",7,308,"6,851",74,0,0,24,"2,992",0,55,2,0,"1,359","3,134",0,17,0,"7,243",91,0,70,213,38,630,14,0,"1,639",0,0,0,7,28,447,807,"23,123",826,337,19,12,1,"2,454","1,625",650,4,0,0,"1,133",0,50,45,448,0,0,0,485,121,62,876,1,80,6,134,0,0,40,13,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,"59,963",0,"59,963"
Great Britain and Northern Ireland,103,"2,688",9,"1,762","17,148",257,0,0,27,"5,384",0,86,3,0,178,"1,934",0,45,0,"4,380",101,0,46,65,27,864,1,0,"3,553",0,3,26,887,50,"1,587","1,654","16,142",416,"1,015",79,40,4,"5,717","4,893",720,16,0,0,547,0,17,2,21,0,0,0,"1,621",994,388,"2,819",62,147,41,116,0,0,120,52,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,"78,874",0,"78,874"
Greece,52,194,0,15,"14,997",35,0,0,5,"1,310",0,0,0,0,6,2,0,3,0,832,15,0,20,28,4,40,0,0,293,0,0,0,0,5,40,64,656,84,13,1,3,0,56,28,34,0,0,0,204,0,7,1,1,0,0,0,52,14,2,49,0,76,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,251",0,"19,251"
Hungary,29,103,0,96,749,18,0,0,5,575,0,0,1,0,1,4,0,0,0,377,14,0,27,73,5,59,1,0,150,0,0,0,0,3,70,26,"1,754",161,38,6,4,0,130,108,10,5,0,0,136,0,2,0,1,0,0,0,33,4,6,225,2,26,4,0,0,0,14,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,061",0,"5,061"
Iceland,4,12,0,7,212,2,0,0,0,174,0,0,1,0,0,1,0,0,0,197,47,0,3,18,0,13,2,0,42,0,0,0,0,0,44,1,182,56,6,0,1,0,22,34,16,0,0,0,16,0,0,0,0,0,0,0,17,5,10,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,181",0,"1,181"
Ireland,38,220,0,127,"1,574",20,0,0,9,655,0,2,0,0,24,190,0,4,0,572,7,0,8,50,5,98,0,0,616,0,0,29,39,15,144,158,"7,361",101,89,2,2,0,744,552,156,0,0,0,0,0,0,0,0,0,0,0,130,55,14,376,4,216,7,3,0,0,25,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"14,444",0,"14,444"
Italy,158,640,2,182,"4,025",59,0,0,1,"1,938",0,41,1,0,174,529,0,2,0,"3,709",61,0,58,176,27,528,2,0,"1,068",0,0,0,2,23,282,227,"5,431",329,92,6,13,2,790,676,223,1,0,1,478,0,35,21,3,0,1,0,363,128,40,436,1,39,7,215,0,0,71,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,333",0,"23,333"
Kazakhstan,54,366,2,12,"6,780",743,0,0,29,0,0,0,33,0,0,6,0,0,0,"1,575",62,0,44,36,0,86,0,0,61,0,0,0,0,3,17,32,"4,202",53,49,13,3,1,27,40,30,0,0,0,0,0,0,0,0,0,0,0,6,95,3,16,0,0,2,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,491",0,"14,491"
Kosovo,30,172,0,4,"2,617",31,0,0,0,1,0,0,0,0,0,0,0,0,0,95,0,0,0,21,0,22,0,0,16,0,0,0,0,0,3,13,388,5,97,5,9,1,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,554",0,"3,554"
Kyrgyzstan,19,182,1,2,"1,527",4,0,0,19,0,0,4,7,0,0,0,0,0,0,180,10,0,16,26,0,112,0,0,29,0,0,0,0,0,8,3,978,34,29,5,2,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,23,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,258",0,"3,258"
Latvia,9,55,0,4,379,114,0,0,4,"2,015",0,0,0,0,0,4,0,0,0,207,4,0,1,13,4,11,1,0,38,0,0,0,0,0,14,3,246,4,9,0,0,0,15,22,14,1,0,4,64,0,0,0,0,0,0,0,20,2,4,58,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,349",0,"3,349"
Liechtenstein,5,2,0,1,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54
