Fiscal Year 2010,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Cote d'Ivoire,16,113,2,70,"1,959",12,0,0,17,0,0,14,0,0,0,0,0,0,0,337,4,0,29,83,1,101,1,0,34,0,0,0,0,0,6,2,81,8,18,5,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2,944",0,"2,944"
Djibouti,19,53,0,16,367,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,2,13,0,14,0,0,0,0,0,0,0,0,0,3,11,0,4,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,516
Egypt,280,"1,780",9,155,"27,589",50,0,0,15,551,0,30,15,0,0,37,0,0,0,861,182,0,66,87,0,188,1,0,228,0,0,10,0,8,217,64,"1,295",402,231,1,52,1,99,131,148,0,0,0,0,0,0,0,0,0,0,0,15,16,9,17,0,2,0,0,0,0,20,19,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,"34,890",0,"34,890"
Equatorial Guinea,24,158,14,4,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,4,0,14,15,0,4,0,0,0,0,0,0,0,4,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,763
Eritrea,5,3,6,107,383,13,0,0,2,0,0,0,1,0,0,0,0,0,0,83,1,0,3,14,0,23,1,0,3,0,0,0,0,0,1,0,6,0,53,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,723
Ethiopia,67,154,5,122,"6,404",45,0,0,54,0,0,13,280,0,1,2,0,0,0,674,67,0,38,54,0,355,4,0,42,0,0,0,0,0,15,7,93,20,399,18,60,12,7,8,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,56,0,18,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"9,114",0,"9,114"
Gabon,33,153,5,2,681,76,0,0,1,0,0,0,8,0,0,0,0,0,0,184,0,0,19,2,0,18,0,0,6,0,0,0,0,2,1,14,16,2,4,1,1,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,242",0,"1,242"
"Gambia, The",35,78,2,51,"1,900",40,0,0,4,0,0,5,0,0,0,0,0,0,0,350,0,0,1,49,0,45,0,0,2,0,0,0,0,0,2,2,23,1,23,6,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"2,636",0,"2,636"
Ghana,37,322,6,30,"10,444",38,0,0,23,155,0,0,0,0,0,1,0,0,0,760,83,0,27,51,1,214,3,0,219,0,1,0,1,16,57,30,638,27,265,24,43,9,15,11,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,0,59,1,0,0,0,78,13,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,"13,734",0,"13,734"
Guinea,26,12,0,49,811,19,0,0,2,0,1,0,0,0,0,0,0,0,0,33,0,0,21,62,0,19,1,0,2,0,0,0,0,0,1,2,19,0,32,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,128",0,"1,128"
