Fiscal Year 2003,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,28,127,2,885,601,872,0,0,9,0,0,1,26,0,0,0,0,0,0,42,3,0,42,128,0,85,1,0,17,0,0,0,0,0,0,18,18,108,8,24,0,20,4,9,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,6,1,"3,114",0,"3,114",,,
Angola,96,76,7,639,656,260,0,0,23,18,0,1,31,0,0,1,0,0,0,266,33,0,46,37,0,8,2,0,6,0,0,0,0,0,0,1,5,81,18,1,0,0,0,33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,418",0,"2,418",,,
Benin,16,92,1,4,571,37,0,0,5,0,0,2,2,0,0,0,0,0,0,84,1,0,12,2,0,40,8,0,7,0,0,0,0,0,0,0,0,38,3,2,0,2,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,944,0,944,,,
Botswana,14,89,0,46,395,154,0,0,94,6,0,5,0,0,0,0,0,0,0,94,17,0,4,5,0,3,0,0,11,0,0,0,0,0,0,2,4,69,15,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,048",0,"1,048",,,
Burkina Faso,21,29,2,6,738,162,0,0,14,0,0,6,2,0,0,0,0,0,0,157,16,0,14,75,0,75,5,0,16,0,0,0,0,0,0,8,0,30,4,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"1,426",0,"1,426",,,
Burundi,22,14,3,2,250,10,0,0,52,0,0,10,0,0,0,0,0,0,0,44,0,0,6,42,0,64,1,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,535,,,
Cameroon,37,211,5,28,"4,568","1,404",0,0,18,1,0,4,0,0,0,6,0,0,0,583,42,0,25,83,0,122,15,0,64,0,0,0,1,0,0,26,17,128,31,30,5,23,4,15,12,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,10,2,1,0,0,23,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,47,4,"7,634",0,"7,634",,,
Cape Verde,2,14,2,16,947,236,0,0,8,45,0,2,0,0,0,0,0,0,0,20,1,0,4,12,0,2,1,0,1,0,0,0,0,0,0,2,0,43,0,28,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,45,15,"1,483",0,"1,483",,,
Central African Republic,10,7,1,0,61,5,0,0,1,1,0,0,0,0,0,0,0,0,0,19,2,0,1,25,0,7,0,0,2,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,150,,,
Chad,12,52,0,10,172,128,0,0,1,0,0,0,0,0,0,0,0,0,0,84,0,0,6,21,0,20,0,0,3,0,0,0,0,0,0,1,0,77,6,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,603,,,
