Fiscal Year 2000,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,39,58,3,"1,851","1,781","2,121",0,0,30,8,0,5,10,0,0,0,0,0,0,105,9,0,46,179,0,137,2,0,64,0,0,0,0,0,1,40,16,104,23,21,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"6,685",0,"6,685",,,
Angola,67,87,3,35,"2,374",102,0,0,45,3,0,15,32,0,0,0,0,0,0,240,33,0,56,263,0,23,1,0,2,0,0,0,0,0,0,5,9,42,14,0,0,0,0,21,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,529",0,"3,529",,,
Benin,66,87,5,35,813,97,0,0,9,0,1,18,10,0,0,0,0,0,0,75,8,0,50,21,0,54,9,0,8,0,0,0,0,0,0,1,1,84,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,481",0,"1,481",,,
Botswana,16,88,1,4,594,266,0,0,3,1,1,7,0,0,0,1,0,0,0,173,27,0,3,37,0,5,0,0,3,0,0,0,0,0,0,0,4,124,5,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,387",0,"1,387",,,
Burkina Faso,29,30,2,10,813,89,0,0,10,3,0,6,40,0,0,0,0,0,0,76,5,0,23,74,0,76,1,0,4,0,0,0,0,0,0,4,0,23,6,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,355",0,"1,355",,,
Burundi,12,36,1,45,271,98,0,0,20,1,0,4,0,0,0,0,0,0,0,69,2,0,19,27,0,56,2,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,671,,,
Cameroon,65,115,14,55,"2,939","1,106",0,0,28,0,0,21,0,0,2,0,0,0,0,414,8,0,18,149,0,121,13,0,59,0,0,0,0,0,0,21,15,112,32,17,1,0,0,11,10,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,4,0,2,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,403",0,"5,403",,,
Cape Verde,7,13,1,18,"2,348",755,0,0,6,22,0,1,2,0,0,0,0,0,0,25,0,0,10,18,0,6,2,0,0,0,0,0,1,0,0,3,0,15,0,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,321",0,"3,321",,,
Central African Republic,16,21,2,8,134,33,0,0,6,0,0,0,18,0,0,0,0,0,0,17,0,0,7,58,0,10,1,0,1,0,0,0,0,0,0,4,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,344,,,
Chad,16,59,3,46,190,97,0,0,7,0,0,0,31,0,0,0,0,0,0,28,4,0,13,45,0,30,1,0,1,0,0,0,0,0,0,0,0,16,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,596,0,596,,,
Comoros,1,5,0,0,12,4,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0,3,26,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,71,,,
"Congo, Dem. Rep. of the (Congo Kinshasa)",40,140,1,135,"1,946",243,0,0,39,0,0,3,2,0,0,0,0,0,0,160,20,0,9,179,0,108,0,0,13,0,0,0,0,0,0,11,1,50,11,3,0,0,0,5,12,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,54,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,229",0,"3,229",,,
"Congo, Rep. of the (Congo Brazzaville)",32,48,3,27,402,54,0,0,6,1,0,5,31,0,0,10,0,0,0,62,9,0,20,103,0,27,0,0,3,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,866,,,
