Fiscal Year 2013,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,168,538,0,3,"1,324",6,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,241,22,0,35,23,0,101,0,0,9,0,0,0,0,0,2,16,393,5,169,3,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,078",0,"3,078"
Bahrain,18,202,1,4,"3,538",442,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,189,19,0,8,28,0,2,0,0,5,0,0,0,0,0,2,0,91,14,0,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,593",0,"4,593"
Bangladesh,21,775,14,70,"21,897",29,0,0,36,655,0,14,35,142,1,0,0,7,0,0,1,0,"2,320",358,0,82,241,0,356,8,0,189,0,0,0,0,1,100,75,341,80,6,0,1,0,42,52,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,2,0,0,0,7,5,0,0,0,0,16,0,0,0,0,0,0,4,2,0,0,0,0,0,"28,080",0,"28,080"
Bhutan,4,86,1,0,270,2,0,0,1,4,0,11,0,0,0,0,0,0,0,0,0,0,65,4,0,17,16,0,31,2,0,5,0,0,0,0,0,0,1,27,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,564
Brunei,20,209,21,0,21,2,0,0,0,16,0,17,0,0,0,0,0,0,0,0,1,0,27,0,0,8,27,0,6,9,0,2,0,0,0,0,0,0,12,30,0,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,438
Burma,63,156,1,759,387,"1,500",0,0,684,0,0,0,0,0,"3,680",0,0,0,0,0,0,0,692,8,0,35,31,0,72,1,0,35,0,0,0,0,2,10,20,159,4,65,3,0,0,7,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,11,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,438",0,"8,438"
Cambodia,23,82,0,34,"3,167",4,0,0,14,0,0,7,0,0,4,0,0,1,0,0,0,0,387,5,0,37,55,0,41,2,0,17,0,0,0,0,0,8,9,141,11,388,35,0,0,7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,149,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,683",0,"4,683"
China - mainland,453,"2,000",2,472,"1,146,324",941,0,0,"1,458","14,749",0,756,237,45,386,0,9,48,21,0,18,0,"217,593","3,503",0,121,459,0,684,8,0,"12,632",0,0,0,0,302,"3,362","1,029","34,263","12,170","1,284",157,3,0,"3,993","3,667","1,872",13,0,0,0,0,0,0,0,0,0,0,259,97,91,"1,169",1,698,0,61,0,0,38,6,0,0,0,0,83,0,2,4,3,3,3,6,5,0,0,0,0,0,"1,467,563",0,"1,467,563"
China - Taiwan,0,2,0,54,"8,885",12,0,0,81,"2,438",0,1,1,0,0,0,744,391,1,0,3,0,"9,921",352,0,3,0,0,19,0,0,"1,560",0,0,0,0,82,494,99,"4,347",650,97,5,1,0,290,302,295,13,0,0,0,0,0,0,0,0,0,0,70,119,14,125,0,106,7,0,0,0,84,11,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,"31,696",0,"31,696"
Hong Kong S.A.R.,0,2,0,104,"41,969",4,0,0,6,599,0,0,5,0,0,0,1,6,1,0,2,0,"2,947",42,0,1,0,0,13,0,0,268,0,0,0,1,5,73,109,"1,104",49,43,7,0,0,100,92,33,1,0,0,0,0,0,0,0,0,0,0,34,180,5,72,0,4,0,30,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"47,941",0,"47,941"
India,257,"3,069",68,"1,107","376,998","1,134",0,0,921,"30,666",2,559,12,6,38,0,0,18,2,0,91,0,"36,141","1,823",0,64,306,1,"1,429",33,0,"99,705",0,0,0,2,624,"71,953",240,"6,447","1,864",620,8,1,0,"19,658","24,115",541,3,0,0,0,0,0,0,0,0,5,0,215,112,84,30,1,"1,741",13,2,0,0,908,241,0,0,0,0,72,0,77,121,0,0,7,7,12,2,0,0,0,0,"684,176",0,"684,176"
Indonesia,147,"1,948",58,900,"47,480",72,0,0,91,"12,223",0,59,1,0,1,0,1,4,0,0,5,0,"2,574",130,0,168,218,0,368,22,0,509,0,0,0,0,17,137,93,"1,280",261,150,14,1,0,255,381,94,1,0,0,0,0,0,0,0,0,0,0,9,2,1,16,0,11,1,2,0,0,20,12,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"69,740",0,"69,740"
Iran,0,1,0,469,"11,569","8,172",0,0,36,5,0,0,0,0,0,0,0,41,0,0,0,0,"3,021",545,0,93,197,0,181,1,0,160,0,0,0,0,0,116,6,669,296,361,15,2,0,26,11,23,1,0,0,0,0,0,0,0,0,0,0,14,2,12,11,0,11,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,091",0,"26,091"
Iraq,144,529,8,25,"10,868",31,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,419,213,0,74,95,0,45,0,0,7,0,0,0,0,4,10,18,"1,146",792,43,0,0,0,8,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,529",0,"14,529"
Israel,214,"3,016",0,99,"102,223","12,648",0,0,2,659,0,2,0,0,5,0,340,37,0,0,3,0,"1,072",91,0,34,24,0,35,0,0,661,0,0,0,13,8,558,50,"2,861","1,429",29,0,1,0,867,"1,451",34,3,0,0,0,0,0,0,0,0,0,0,243,69,96,337,1,38,1,1,0,0,58,52,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"129,369",0,"129,369"
Japan,262,"8,514",1,117,"2,544",53,0,0,5,"3,609",0,440,150,26,1,0,"1,625","11,333",28,0,18,0,"18,837",837,0,52,107,0,446,2,0,"1,698",0,0,1,294,133,785,"1,297","7,314","2,741",373,12,0,0,"4,662","5,909",555,6,0,0,0,0,0,0,0,0,1,0,544,155,141,390,0,95,31,170,0,0,102,36,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,"76,473",0,"76,473"
Jordan,40,"1,818",8,23,"20,148",122,0,0,10,238,0,50,0,0,2,0,0,17,0,0,0,0,"1,086",188,0,10,14,0,96,0,0,218,0,0,0,0,3,154,30,736,125,65,3,3,0,42,60,15,0,0,0,0,0,0,0,0,0,0,0,8,0,6,2,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,348",0,"25,348"
"Korea, North",0,0,0,1,31,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56
"Korea, South",242,"2,084",0,241,"7,294",16,0,0,8,"2,822",0,53,243,115,0,0,287,"2,425",111,0,12,0,"33,584","3,661",0,54,84,0,248,0,0,"3,000",0,0,0,168,159,"1,666",337,"10,276","5,115",241,5,0,0,"1,624","2,809",429,45,0,0,0,0,0,0,0,0,0,0,348,105,122,332,0,26,21,0,0,0,244,235,0,0,0,0,25,0,0,2,0,0,1,0,0,0,0,0,0,0,"80,919",0,"80,919"
Kuwait,37,357,0,2,"19,415",3,0,0,1,2,0,0,0,0,76,0,0,0,0,0,0,0,"4,193",409,0,14,44,0,14,0,0,11,0,0,0,0,5,4,19,101,30,0,0,0,0,2,8,19,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,777",0,"24,777"
Laos,39,91,0,2,"2,272",4,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,53,0,0,20,49,0,25,0,0,2,0,0,0,0,0,1,1,61,1,335,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,023",0,"3,023"
Lebanon,9,483,25,43,"23,466",79,0,0,9,149,0,0,0,0,12,0,0,3,0,0,0,0,519,14,0,5,61,0,97,1,0,210,0,0,0,0,4,70,36,589,66,117,1,3,0,49,32,13,0,0,0,0,0,0,0,0,0,0,0,22,6,4,4,0,101,0,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,314",0,"26,314"
Macau S.A.R.,0,0,0,0,"2,187",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,234,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,2,48,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,503",0,"2,503"
Malaysia,112,956,3,"2,070","34,286",211,0,0,59,"1,721",0,11,0,0,1,0,1,4,0,0,6,0,"2,108",97,0,26,76,1,77,4,0,493,0,0,0,0,203,126,75,858,103,46,5,0,0,636,387,28,1,0,0,0,0,0,0,0,0,0,0,12,13,3,2,0,1,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,840",0,"44,840"
Maldives,7,62,0,0,74,0,0,0,4,60,0,9,0,0,0,0,0,0,0,0,0,0,12,0,0,5,19,0,1,0,0,2,0,0,0,0,0,2,0,24,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,327
Mongolia,32,249,2,12,"6,597",3,0,0,39,0,0,4,2,0,6,0,0,8,0,0,0,0,844,148,0,7,59,0,41,0,0,28,0,0,0,0,0,9,50,602,49,14,8,0,0,2,8,21,8,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,"8,892",0,"8,892"
Nepal,8,180,8,81,"7,788",22,0,0,38,201,0,31,32,35,0,0,0,0,0,0,2,0,"1,345",230,0,15,64,0,285,9,0,512,0,0,2,0,5,237,6,258,68,46,0,0,0,50,49,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,22,4,0,0,0,0,2,0,0,0,0,0,0,3,4,0,0,0,0,0,"11,664",0,"11,664"
Oman,38,370,6,8,"2,354",902,0,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,857,151,0,19,55,0,4,0,0,6,0,0,0,0,12,18,2,98,21,0,0,0,0,13,27,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,139",0,"5,139"
Pakistan,154,"1,643",23,59,"39,701",203,0,0,33,578,0,1,1,5,1,0,8,54,0,0,2,0,"1,361",174,0,77,92,0,419,8,0,636,0,0,0,0,2,663,61,"1,834",407,318,3,6,0,127,220,18,0,0,0,0,0,0,0,0,0,0,0,13,3,9,3,0,97,0,0,0,0,5,13,0,0,0,0,57,0,0,0,0,0,1,4,0,0,0,0,0,0,"49,097",0,"49,097"
Palestinian Authority Travel Document,0,0,0,75,"4,299",138,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,265,17,0,0,0,0,34,0,0,24,0,0,0,0,0,25,14,233,25,24,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,193",0,"5,193"
Philippines,87,"1,779",270,"6,886","89,288",284,0,0,"1,117","62,689",0,92,"1,192",237,33,0,7,74,4,0,6,0,763,59,0,115,42,0,556,154,0,"2,160",0,0,2,935,63,"1,830",45,"4,178",79,"5,357",959,7,7,553,459,35,0,0,0,0,0,0,0,0,0,0,0,67,155,13,106,0,27,2,1,0,0,188,67,0,0,0,0,8,0,25,38,0,0,0,0,1,0,0,0,0,0,"183,101",0,"183,101"
Qatar,122,786,5,2,"7,447",7,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,"1,022",68,0,22,37,0,3,0,0,2,0,0,0,0,0,0,3,44,12,0,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,608",0,"9,608"
Saudi Arabia,548,"6,553",71,117,"61,940",29,0,0,9,0,0,0,0,0,604,0,0,1,0,0,0,0,"28,597","7,850",0,94,147,1,76,0,0,44,0,0,0,0,32,36,27,809,543,5,0,0,0,105,235,80,12,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"108,578",0,"108,578"
Singapore,57,"2,584",1,39,386,17,0,0,1,"1,903",0,14,0,0,1,0,7,34,0,0,3,0,"2,456",114,0,11,35,0,38,1,0,330,261,0,0,0,73,200,20,"1,006",103,30,2,0,0,258,261,81,3,0,0,0,0,0,0,0,0,0,0,17,4,4,6,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,375",0,"10,375"
Sri Lanka,18,189,29,112,"8,268",12,0,0,106,"1,356",0,0,3,1,1,0,0,5,0,0,1,0,666,105,0,34,84,0,92,11,0,244,0,0,0,0,0,120,7,160,53,23,0,0,0,47,107,58,1,0,0,0,0,0,0,0,0,0,0,6,0,3,7,0,27,0,0,0,0,18,3,0,0,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,0,"11,984",0,"11,984"
Syria,6,7,10,198,"12,354","1,084",0,0,7,47,0,0,0,0,7,0,0,1,0,0,0,0,626,86,0,60,7,0,50,0,0,60,0,0,0,0,0,76,5,161,54,120,4,0,0,23,21,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,22,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,130",0,"15,130"
Thailand,30,"1,138",10,440,"41,987",11,0,0,170,"3,223",0,26,15,0,8,0,28,320,0,0,0,0,"4,664",46,0,14,137,0,80,6,0,302,0,0,7,1,21,68,145,"8,290",100,547,101,0,0,157,91,59,0,0,0,2,0,0,0,0,1,0,0,24,1,5,7,0,16,2,3,0,0,80,0,0,0,0,0,2,0,37,61,0,0,0,0,1,0,0,0,0,0,"62,484",0,"62,484"
Timor-Leste,9,32,0,0,35,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,2,40,0,5,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,181
United Arab Emirates,38,"1,113",6,1,"13,515",10,0,0,21,0,0,0,0,0,114,0,0,0,0,0,0,0,"1,331",188,0,7,28,0,2,0,0,3,0,0,0,0,7,16,4,58,28,1,0,0,0,7,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,539",0,"16,539"
Vietnam,261,848,0,185,"49,247",548,0,0,242,696,0,71,2,0,68,0,1,1,0,0,0,0,"10,867",116,0,53,125,1,258,8,0,387,0,0,0,0,19,116,78,"1,239",168,752,97,3,1,123,107,128,0,0,0,2,0,0,0,0,0,0,0,6,8,1,3,0,56,0,0,0,0,134,0,0,0,0,0,3,0,8,19,0,0,1,0,1,0,0,0,0,0,"67,058",0,"67,058"
Yemen,19,384,19,63,"2,452",7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,517,177,0,39,89,0,65,0,0,0,0,0,0,0,0,1,11,165,6,5,0,9,5,5,16,14,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,079",0,"4,079"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Asia,"3,707","44,835",671,"14,877","2,236,295","28,765",0,0,"5,222","141,434",2,"2,251","1,931",612,"5,051",0,"3,060","14,836",170,0,174,0,"394,423","21,850",0,"1,535","3,215",25,"6,395",290,0,"126,151",261,0,12,"1,414","1,786","83,049","4,056","92,476","27,522","11,681","1,460",42,13,"33,754","40,922","4,705",128,0,0,4,0,0,0,0,1,6,0,"1,928","1,034",617,"2,689",3,"3,386",82,280,0,0,"2,023",713,0,0,0,0,360,0,151,247,3,3,15,27,29,2,0,0,0,0,"3,374,661",0,"3,374,661"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,27,89,0,10,"5,044",23,0,0,14,0,0,0,0,0,46,0,0,0,0,0,0,0,415,5,0,5,39,0,48,0,0,42,0,0,0,0,0,7,17,255,7,86,2,0,0,11,5,0,0,0,0,16,0,0,0,0,0,0,0,4,3,0,13,0,12,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,251",0,"6,251"
Andorra,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
Armenia,29,168,3,3,"4,880",8,0,0,9,0,0,2,0,0,2,0,0,18,0,0,0,0,159,15,0,9,25,0,108,1,0,44,0,0,0,0,0,31,5,241,32,133,7,1,0,13,20,2,0,0,0,0,0,0,0,0,0,0,0,16,14,5,33,1,55,8,0,0,0,6,9,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,"6,120",0,"6,120"
Austria,23,252,0,137,781,7,0,0,3,535,0,2,0,0,0,0,17,130,0,0,2,0,847,8,0,7,36,4,114,1,0,146,0,0,0,0,5,30,157,"2,119",94,18,0,0,0,255,130,71,0,0,0,2,0,0,0,0,0,0,0,117,20,17,203,0,26,3,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,328",0,"6,328"
Azerbaijan,50,242,0,8,"4,420",0,0,0,21,0,0,3,0,0,29,0,1,4,0,0,0,0,452,39,0,38,71,0,78,0,0,44,0,0,0,0,13,29,26,314,26,11,1,0,0,22,28,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,987",0,"5,987"
Belarus,16,11,0,17,"8,151",198,0,0,5,713,0,1,0,0,0,0,0,2,0,0,0,0,231,8,0,30,68,0,73,2,0,134,0,0,1,0,1,114,9,501,31,80,11,0,0,79,103,3,1,0,0,0,0,0,0,0,0,0,0,18,3,9,70,0,30,11,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,739",0,"10,739"
Belgium,37,247,0,81,968,11,0,0,3,575,0,2,0,0,2,0,6,182,0,0,1,0,929,15,0,25,52,16,177,2,0,159,0,0,0,2,7,75,204,"1,193",132,24,0,0,0,357,362,109,0,0,0,280,0,18,1,1,0,1,0,104,158,24,136,0,6,1,0,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,695",0,"6,695"
Bosnia and Herzegovina,12,162,1,2,"3,645",4,0,0,1,716,0,0,0,0,2,0,0,2,0,0,0,0,143,5,0,11,19,0,58,1,0,30,0,0,0,0,0,23,8,423,6,109,2,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,35,0,0,0,0,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,466",0,"5,466"
Bulgaria,17,91,0,67,"10,665",10,0,0,10,"1,354",0,1,1,0,2,0,0,55,0,0,0,0,409,5,0,11,38,5,85,1,0,265,0,0,9,181,1,54,57,"6,985",32,95,7,0,0,57,43,9,0,0,0,137,0,0,2,0,0,0,0,52,2,13,81,0,26,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"20,944",0,"20,944"
Croatia,27,99,1,198,"10,142",348,0,0,34,"3,323",0,0,0,0,1,0,0,5,0,0,0,0,278,2,0,5,50,1,51,0,0,74,0,0,0,4,4,17,31,653,22,23,0,0,0,53,36,9,0,0,0,4,0,2,0,1,0,0,0,22,2,3,40,0,37,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,612",0,"15,612"
Cyprus,19,38,0,7,"3,500",3,0,0,2,63,0,1,0,0,0,0,0,0,0,0,0,0,167,1,0,6,15,1,8,0,0,40,0,0,0,0,0,8,7,94,11,2,0,1,0,9,8,9,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,039",0,"4,039"
Czech Republic,39,252,0,56,"1,870",57,0,0,6,322,0,7,0,0,0,0,0,33,0,0,1,0,574,14,0,13,66,3,52,1,0,94,0,0,0,12,4,44,39,"2,671",86,25,1,0,0,207,128,10,3,0,0,55,0,2,1,1,0,0,0,58,8,25,140,0,5,13,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,001",0,"7,001"
Denmark,40,324,1,33,"1,250",4,0,0,1,534,0,1,0,0,1,0,27,124,0,0,2,0,"1,525",20,0,24,114,4,163,2,0,130,0,0,0,3,8,77,117,"2,551",256,25,1,0,0,396,466,52,0,0,0,110,0,9,0,0,0,0,0,154,30,37,149,0,6,6,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,787",0,"8,787"
Estonia,8,67,1,3,278,1,0,0,2,136,0,2,0,0,0,0,0,9,0,0,2,0,72,0,0,4,23,1,7,1,0,22,0,0,0,1,0,4,11,725,12,12,0,0,0,22,30,3,0,0,0,89,0,0,0,0,0,0,0,24,1,3,25,0,10,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"1,614",0,"1,614"
Finland,54,443,0,187,413,6,0,0,0,586,0,1,0,0,0,0,11,51,0,0,1,0,468,15,0,21,97,1,117,2,0,86,0,0,1,0,1,74,79,"1,243",202,37,4,0,0,280,375,45,12,0,0,2,0,0,0,0,0,0,0,69,28,24,163,0,29,4,7,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,249",0,"5,249"
France,142,"1,483",3,484,"3,502",152,0,0,12,"4,383",0,36,0,0,11,0,172,"2,218",0,0,12,0,"6,570",137,0,55,59,61,961,4,0,"1,782",0,0,1,3,80,522,563,"13,021",899,169,12,0,0,"2,378","2,791",289,1,0,0,113,0,16,1,5,0,0,0,692,238,189,742,3,158,37,282,0,0,69,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"45,532",0,"45,532"
Georgia,63,440,1,7,"4,006",1,0,0,6,466,0,5,0,0,0,0,0,1,0,0,0,0,306,12,0,15,44,0,69,1,0,27,0,0,0,0,0,17,37,451,31,28,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,5,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,093",0,"6,093"
Germany,231,"1,057",6,297,"7,711",35,0,0,14,"4,834",0,28,0,0,1,0,"1,317","3,811",0,0,9,0,"8,720",101,0,69,190,18,630,9,0,"1,274",0,0,0,7,87,397,841,"22,457",868,330,39,0,0,"2,206","1,596",726,22,0,0,"1,030",0,37,35,417,0,0,0,616,251,103,710,1,56,14,158,0,0,64,11,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,"63,451",0,"63,451"
Great Britain and Northern Ireland,166,"3,240",9,"1,715","18,562",266,0,0,26,"8,385",0,138,2,0,7,0,219,"2,488",3,0,66,0,"4,905",128,0,67,89,12,836,2,0,"2,699",0,0,43,"1,288",63,"1,228","1,692","19,023",414,902,61,1,0,"6,254","4,996",701,37,0,0,513,0,14,9,22,0,0,0,"2,484","1,801",573,"2,832",80,188,76,117,0,0,157,76,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,711",0,"89,711"
Greece,68,224,0,44,"1,226",9,0,0,0,"2,668",0,0,0,0,3,0,21,5,0,0,5,0,943,23,0,23,29,4,51,0,0,374,0,0,0,1,6,95,22,732,121,29,1,0,0,110,75,22,0,0,0,167,0,2,1,1,0,0,0,104,32,15,52,0,56,4,1,0,0,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,382",0,"7,382"
Hungary,29,128,1,59,492,12,0,0,2,576,0,1,0,0,1,0,3,10,0,0,1,0,394,13,0,3,58,3,38,1,0,147,0,0,3,40,5,79,47,"1,954",114,42,7,1,0,206,217,15,1,0,4,105,0,0,0,1,0,0,0,55,3,12,303,1,39,4,0,0,0,37,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,271",0,"5,271"
