Fiscal Year 2013,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Cote d'Ivoire,30,84,5,6,"3,488",3,0,0,29,4,1,6,0,0,0,0,1,0,0,0,0,0,441,4,0,46,131,0,127,3,0,25,0,0,0,0,1,5,6,95,11,31,5,0,0,8,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,2,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,614",0,"4,614"
Djibouti,4,69,0,8,250,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,15,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,374
Egypt,175,"1,620",34,340,"41,081",200,0,0,18,965,0,4,0,0,17,0,0,41,0,0,2,0,"1,188",175,0,26,90,1,149,2,0,228,0,0,12,0,2,205,69,"1,400",530,161,5,3,0,212,275,146,3,0,0,0,0,0,0,0,0,0,0,14,4,12,3,0,11,0,0,0,0,27,34,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,"49,489",0,"49,489"
Equatorial Guinea,33,147,3,0,785,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,330,1,0,24,90,0,8,0,0,1,0,0,0,0,9,0,7,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,470",0,"1,470"
Eritrea,1,2,23,126,"1,240",5,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,107,6,0,2,9,0,14,0,0,2,0,0,0,0,0,1,0,8,0,43,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,602",0,"1,602"
Ethiopia,38,233,21,180,"10,195",15,0,0,162,0,0,21,0,0,536,0,1,3,0,0,0,0,986,66,0,33,79,0,394,11,0,30,0,0,0,0,0,12,14,172,28,342,14,2,0,10,17,16,0,0,0,0,0,0,0,0,0,0,0,10,4,5,128,0,60,0,0,0,0,8,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,"13,856",0,"13,856"
Gabon,12,108,4,2,976,127,0,0,1,0,0,8,0,0,3,0,0,0,0,0,0,0,107,1,0,7,77,0,10,0,0,6,0,0,0,0,0,9,2,21,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,490",0,"1,490"
"Gambia, The",38,43,0,1,847,3,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,131,2,0,4,94,0,29,1,0,4,0,0,0,0,0,0,0,12,0,32,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,259",0,"1,259"
Ghana,56,283,5,26,"10,816",37,0,0,21,103,0,12,0,0,1,0,0,0,0,0,0,0,944,103,0,45,159,0,206,1,0,143,0,0,0,1,5,61,42,498,18,311,44,4,1,17,16,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,20,0,27,0,0,0,0,68,23,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"14,130",0,"14,130"
Guinea,26,44,0,74,"1,386",7,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,10,76,2,33,0,0,3,0,0,0,0,0,2,0,25,0,30,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,"1,814",0,"1,814"
Guinea-Bissau,3,2,0,0,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,11,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,157
Kenya,56,675,8,63,"12,624",20,0,0,37,217,0,13,0,0,2,0,0,1,0,0,0,0,"1,154",44,0,34,256,0,497,6,0,178,0,0,0,0,2,60,8,412,26,131,23,0,0,19,5,20,0,0,0,0,0,0,0,0,0,0,0,4,7,0,81,0,10,4,0,0,0,38,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,"16,740",0,"16,740"
Lesotho,5,25,0,1,137,0,0,0,4,2,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,6,41,0,6,0,0,3,0,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,267
Liberia,40,250,1,20,"2,760",1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,116,7,0,17,70,0,43,0,0,2,0,0,0,0,0,1,1,62,11,65,20,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,521",0,"3,521"
Libya,165,354,0,30,"1,590",15,0,0,1,18,0,5,0,0,19,0,0,0,0,0,0,0,905,950,0,82,78,0,14,0,0,16,0,0,0,0,2,21,4,222,49,13,0,0,0,10,17,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,593",0,"4,593"
Madagascar,35,31,0,8,736,2,0,0,34,0,0,3,0,0,264,0,0,0,0,0,0,0,60,4,0,29,30,0,117,2,0,17,0,0,0,0,0,4,3,38,5,4,1,0,0,7,3,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,446",0,"1,446"
Malawi,4,105,0,1,813,0,0,0,19,2,0,3,0,0,1,0,0,0,0,0,0,0,82,14,0,37,85,0,48,2,0,5,0,0,0,0,1,4,6,80,10,3,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,335",0,"1,335"
Mali,14,39,2,81,"1,327",581,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,220,4,0,16,69,0,45,0,0,8,0,0,0,0,0,3,7,32,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"2,519",0,"2,519"
Mauritania,31,150,0,1,920,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,66,3,0,31,54,0,25,2,0,3,0,0,0,0,0,2,0,31,0,3,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,339",0,"1,339"
Mauritius,2,33,0,9,"1,578",91,0,0,5,914,0,2,0,0,3,0,0,0,0,0,0,0,53,2,0,0,19,0,37,1,0,25,0,0,0,0,1,6,0,32,3,1,0,0,0,7,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,844",0,"2,844"
Morocco,44,601,39,108,"12,904",21,0,0,8,510,0,2,0,0,33,0,0,4,0,0,0,0,569,8,0,41,127,0,115,8,0,69,0,0,0,0,1,15,38,569,33,167,1,5,0,19,21,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,19,0,11,7,44,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,"16,177",0,"16,177"
Mozambique,37,79,2,0,"1,319",1,0,0,44,9,0,3,0,0,1,0,0,0,0,0,0,0,60,4,0,17,136,0,68,1,0,3,0,0,0,0,10,2,23,67,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1,902",0,"1,902"
Namibia,18,110,1,17,887,6,0,0,21,24,0,14,0,0,0,0,0,0,0,0,0,0,26,4,0,19,65,0,17,0,0,6,0,0,2,1,0,2,3,42,0,4,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,305",0,"1,305"
Niger,32,181,2,23,676,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,94,6,0,45,86,0,58,2,0,3,0,0,0,0,1,1,0,31,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,258",0,"1,258"
Nigeria,199,"1,035",13,93,"92,773","10,491",0,0,102,46,0,39,0,0,8,0,0,1,0,0,0,0,"4,132",336,0,83,461,0,365,5,0,456,0,0,0,0,18,152,131,640,113,638,45,6,0,176,286,264,21,0,0,0,0,0,0,0,0,0,0,7,1,1,56,0,145,3,0,0,0,124,31,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,"113,503",0,"113,503"
Rwanda,10,108,1,9,"1,206",2,0,0,13,1,0,28,0,0,0,0,0,0,0,0,0,0,476,9,0,14,20,0,53,2,0,10,0,0,0,0,0,1,2,71,6,9,3,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,108",0,"2,108"
Sao Tome and Principe,4,11,0,0,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,7,14,0,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,72
Senegal,51,222,0,8,"3,437",17,0,0,6,0,0,10,0,0,31,0,0,0,0,0,0,0,345,4,0,16,91,0,175,7,0,52,0,0,0,0,0,14,25,240,16,33,2,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,10,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,"4,876",0,"4,876"
Seychelles,1,21,0,12,103,19,0,0,1,21,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,204
Sierra Leone,11,44,5,5,"1,325",78,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,62,1,0,24,27,0,60,1,0,4,0,0,0,0,0,1,2,41,1,64,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"1,785",0,"1,785"
Somalia,1,4,0,1,115,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,8,2,19,0,0,0,0,0,0,0,0,0,0,8,6,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210
South Africa,107,496,5,217,"46,581","1,270",0,0,168,"2,094",0,60,0,0,1,0,1,6,0,0,2,0,789,35,0,35,185,0,210,1,0,312,0,0,"1,298","1,409",10,177,93,"1,861",57,61,5,1,0,589,471,65,8,0,0,0,0,0,0,0,0,0,0,108,7,10,91,0,57,10,30,0,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"59,038",0,"59,038"
South Sudan,55,84,0,6,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,12,40,0,9,0,0,2,0,0,0,0,0,0,3,48,0,22,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,508
Sudan,48,35,71,225,"1,726",679,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,166,8,0,88,66,0,60,0,0,15,0,0,0,0,0,11,4,77,5,13,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,328",0,"3,328"
Swaziland,13,38,0,0,319,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,12,6,0,3,0,0,4,0,0,0,1,0,0,7,21,3,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,480
Tanzania,81,338,0,66,"3,563",445,0,0,14,134,0,10,0,0,0,0,0,0,0,0,0,0,409,13,0,64,276,0,123,2,0,49,0,0,0,0,1,16,6,187,13,16,1,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,866",0,"5,866"
Togo,18,80,1,12,975,10,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,71,0,0,14,68,1,26,0,0,6,0,0,0,0,2,0,13,22,4,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,"1,371",0,"1,371"
Tunisia,31,393,3,39,"5,356",17,0,0,6,216,0,0,0,0,7,0,0,1,0,0,0,0,369,4,0,13,86,0,64,1,0,21,0,0,0,0,1,21,15,424,28,32,0,1,0,13,13,24,0,0,0,0,0,0,0,0,0,0,2,6,1,0,6,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,220",0,"7,220"
Uganda,31,363,7,7,"4,262",8,0,0,21,0,0,8,0,0,21,0,0,0,0,0,0,0,430,19,0,35,139,0,218,7,0,24,0,0,0,0,1,10,17,236,22,44,7,0,0,7,11,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,15,208,4,1,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,226",0,"6,226"
Zambia,30,254,1,212,"1,660",81,0,0,19,9,0,14,0,0,1,0,0,0,0,0,0,0,134,13,0,37,117,0,154,2,0,20,0,0,0,1,0,3,17,106,1,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,911",0,"2,911"
Zimbabwe,58,45,8,19,"4,226",9,0,0,189,0,0,3,0,0,247,0,0,0,0,0,0,0,455,13,0,56,115,0,219,3,0,77,0,0,0,1,3,25,14,188,20,13,3,0,0,27,19,5,0,0,0,0,0,0,0,0,0,1,0,6,0,1,6,0,37,0,7,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,131",0,"6,131"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Africa,"2,039","10,429",271,"2,227","308,760","15,223",0,0,"1,088","5,507",1,344,0,0,"1,280",0,3,72,0,0,4,0,"19,029","1,938",0,"1,349","4,653",6,"4,471",87,0,"1,962",0,0,"1,312","1,414",105,914,675,"8,792","1,106","2,539",226,27,5,"1,289","1,392",638,39,0,0,1,0,1,0,0,0,3,2,184,48,41,478,15,789,28,112,0,0,404,120,0,0,0,0,22,0,3,8,1,8,5,1,13,2,2,0,0,0,"403,507",0,"403,507"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
