Fiscal Year 1998,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,48,46,0,"1,893",468,"3,264",10,0,69,2,0,0,15,0,0,1,0,0,0,140,8,0,45,35,1,136,3,0,49,0,0,0,0,0,1,31,8,107,22,16,1,0,0,10,12,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"6,469",128,"6,597",,,
Angola,39,52,1,17,"1,395",302,0,0,11,7,0,18,0,0,0,0,0,0,0,156,24,0,24,85,0,8,1,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,15,23,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,222",0,"2,222",,,
Benin,17,39,1,58,568,102,1,0,21,0,0,2,19,0,0,0,0,0,0,54,2,0,23,31,0,58,8,0,4,0,0,0,0,0,0,3,0,66,2,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,097",3,"1,100",,,
Botswana,22,85,0,1,425,84,0,0,4,3,0,3,0,0,0,0,0,0,0,436,16,0,6,37,0,3,0,0,5,0,0,0,0,0,3,0,3,73,10,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,238",0,"1,238",,,
Burkina Faso,42,31,3,52,739,218,0,0,15,1,0,7,60,0,0,0,0,0,0,42,0,0,7,54,0,58,5,0,6,0,0,0,0,0,0,0,0,28,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,378",1,"1,379",,,
Burundi,11,36,0,13,122,44,4,0,31,0,0,1,0,0,0,0,0,0,0,35,7,0,8,35,2,43,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,35,431,,,
Cameroon,32,85,6,276,"1,315",809,0,0,26,0,0,3,0,0,0,1,0,0,0,223,4,0,22,131,0,136,11,0,50,0,0,0,0,0,0,18,8,83,5,15,4,0,0,5,12,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,300",3,"3,303",,,
Cape Verde,12,26,1,5,"2,096",573,4,0,25,24,0,8,1,0,0,0,0,0,0,9,4,0,5,21,0,2,1,0,1,0,0,0,1,0,0,2,0,3,1,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,885",0,"2,885",,,
Central African Republic,9,6,0,12,53,38,0,0,1,0,0,0,21,0,0,0,0,0,0,7,1,0,15,21,0,14,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,2,210,,,
Chad,34,55,1,16,134,264,0,0,5,0,0,0,50,0,0,0,0,0,0,51,0,0,10,46,0,22,0,0,4,0,0,0,0,0,0,0,0,18,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,1,716,,,
Comoros,2,3,0,2,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,,,
"Congo, Dem. Rep. of the (Congo Kinshasa)",13,67,0,41,"1,865",299,4,0,22,0,0,6,45,0,0,0,0,0,0,34,6,0,18,50,0,16,0,0,1,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,502",0,652,,,
"Congo, Rep. of the (Congo Brazzaville)",20,28,0,26,225,140,0,0,43,0,0,9,1,0,0,0,0,0,0,151,5,0,4,75,0,97,0,0,12,0,0,0,0,0,0,8,0,32,10,5,0,0,0,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,24,"2,804",,,
Cote d'Ivoire ,68,124,8,199,"2,912",351,0,0,49,0,0,19,75,0,0,0,0,0,0,260,6,0,33,119,0,134,19,0,22,0,0,0,0,0,0,14,17,77,11,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,83,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"4,618",9,"4,627",,,
Djibouti,25,41,1,17,36,757,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,6,0,13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907,1,908,,,
Egypt,216,"2,375",31,592,"32,397",657,193,0,232,544,1,50,133,0,0,8,0,0,0,839,122,0,43,84,0,126,2,0,349,0,0,0,0,0,6,330,28,"1,255",487,21,0,0,0,47,59,62,1,0,0,0,0,0,0,0,0,0,0,11,13,6,89,0,45,3,1,0,0,87,34,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,"41,588",129,"41,717",,,
