Fiscal Year 2015,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
El Salvador,93,705,2,301,"56,287",236,0,0,137,356,0,238,0,0,0,0,1,0,0,1,0,491,21,0,39,80,1,67,6,72,0,0,66,541,2,31,27,257,21,180,49,2,2,58,74,24,2,0,0,0,0,0,0,0,0,0,0,6,0,5,67,0,25,1,0,24,4,0,0,0,0,7,0,0,16,1,5,0,4,11,217,6,6,"60,875",0,"60,875"
Grenada,6,30,0,2,"1,482",348,0,0,7,85,0,24,0,0,0,0,0,0,0,0,0,57,0,0,5,3,0,7,0,18,0,0,0,0,0,1,0,26,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2,110",0,"2,110"
Guatemala,83,365,4,148,"48,735",40,0,0,74,134,0,116,0,0,1,0,2,0,0,0,0,446,12,0,14,19,0,61,7,87,0,0,"1,426","2,754",2,50,33,222,19,125,38,1,0,53,70,23,5,0,0,0,0,0,0,0,0,0,0,17,0,3,79,0,64,3,0,35,14,0,0,0,0,2,0,1,10,0,0,0,6,12,191,6,6,"55,618",0,"55,618"
Haiti,53,223,2,14,"34,519",12,0,0,148,141,0,205,0,0,0,0,0,0,0,0,0,351,5,0,24,55,0,49,7,10,0,0,50,1,0,2,42,144,6,606,106,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,0,121,0,0,17,4,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,"36,966",0,"36,966"
Honduras,36,578,2,890,"35,004","8,005",0,0,189,"1,771",0,63,0,0,4,2,33,0,0,0,0,715,24,0,7,15,0,50,8,98,0,0,193,650,1,54,39,214,23,157,39,0,0,28,30,3,0,0,0,0,0,0,0,0,0,0,0,2,0,5,119,0,5,6,0,17,1,0,0,0,0,2,0,1,13,0,0,0,4,1,208,0,2,"49,311",0,"49,311"
Jamaica,21,185,1,235,"83,483",22,0,0,151,"1,009",0,234,0,0,0,0,6,0,0,1,0,"1,035",31,0,10,40,0,47,4,153,0,0,2,"7,199",1,49,21,"5,842",154,418,113,2,0,31,27,22,1,0,0,0,0,0,0,0,0,0,0,35,155,0,122,0,129,4,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"101,025",0,"101,025"
Mexico,547,"2,684",28,"4,173","31,009","1,144","1,166,668","37,208",320,"2,843",0,22,0,0,18,"1,139","2,580",0,0,7,0,"17,636",676,63,130,224,0,907,16,"2,894",0,0,"102,174","51,301",43,"2,493",762,"9,044",451,"1,357",296,15,8,"4,678","6,094",308,34,0,0,4,0,0,0,0,0,0,0,452,773,145,"3,500",1,160,101,160,387,57,0,0,0,"12,996","7,717",0,5,25,4,1,1,64,53,460,26,23,"1,479,109",0,"1,479,109"
Nicaragua,38,67,3,262,"16,768",385,0,0,446,361,0,136,0,0,1,0,0,0,0,0,0,168,4,0,10,16,0,64,11,26,0,0,363,95,0,19,29,126,9,120,21,3,0,12,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,0,12,0,0,8,0,0,0,0,0,1,0,0,5,0,0,0,0,3,25,0,0,"19,656",0,"19,656"
Panama,31,683,3,113,"30,016",27,0,0,87,768,0,124,0,0,0,0,15,0,0,1,0,"1,139",9,0,16,43,0,39,2,56,0,0,0,40,3,19,23,536,17,42,12,0,0,21,22,58,3,0,0,0,0,0,0,0,0,1,0,2,0,1,50,0,0,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"34,036",0,"34,036"
Saint Kitts and Nevis,3,23,0,0,"1,541",310,0,0,10,4,0,7,0,0,0,0,0,0,0,0,0,69,4,0,4,0,0,8,0,5,0,0,0,0,0,1,1,7,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,005",0,"2,005"
Saint Lucia,3,13,0,22,"2,344",528,0,0,20,300,0,6,0,0,0,0,0,0,0,0,0,61,4,0,0,6,1,4,0,17,0,0,0,0,0,1,0,21,3,7,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,373",0,"3,373"
Saint Vincent and the Grenadines,4,49,0,146,"1,308",253,0,0,19,220,0,16,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,4,0,6,0,0,0,0,0,3,0,7,2,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,080",0,"2,080"
Trinidad and Tobago,66,214,2,316,"24,671",14,0,0,66,189,0,92,0,0,0,0,24,0,0,0,0,448,15,0,15,19,0,136,2,158,0,0,0,0,0,39,2,138,16,41,5,1,1,141,121,42,0,0,0,0,0,0,0,0,0,0,0,15,13,0,108,1,157,4,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"27,310",0,"27,310"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for North America,"1,417","6,965",60,"8,975","540,538","30,761","1,166,668","37,208","2,094","9,069",0,"1,563",1,0,103,"1,603","5,299",0,0,52,0,"25,790",909,63,448,911,2,"2,299",78,"4,060",0,0,"104,473","63,065",55,"3,045","1,331","19,075",890,"5,435","1,161",36,14,"5,588","7,028",615,51,0,0,702,0,4,2,16,0,1,0,635,974,195,"5,711",5,851,218,162,603,121,0,0,0,"13,093","7,763",0,9,77,5,6,1,83,82,"1,162",38,37,"2,091,354",0,"2,091,354"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,139,"3,751",2,104,"8,359",38,0,0,28,"2,209",0,285,1,0,1,33,393,0,"5,527","3,030","1,324","2,603",102,0,45,72,0,222,0,373,0,0,25,58,9,210,269,"5,588",309,290,12,1,0,"1,367","1,318",222,26,0,0,2,0,0,0,0,0,0,0,724,206,130,706,3,32,42,0,72,16,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,"40,290",0,"40,290"
Fiji,15,77,1,9,"3,980",13,0,0,242,141,0,68,0,0,0,0,0,0,0,2,0,32,0,0,9,7,0,65,1,4,0,0,0,0,0,6,0,38,4,7,4,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"4,742",0,"4,742"
Kiribati,13,47,0,1,68,0,0,0,8,364,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,7,0,3,0,0,0,0,0,0,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,557
Marshall Islands,6,3,0,1,11,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57
"Micronesia, Federated States of",1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
Nauru,4,9,0,1,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40
New Zealand,34,969,1,33,"2,673",36,0,0,6,709,0,560,0,0,0,2,8,0,0,45,0,643,23,0,32,86,0,77,1,199,0,0,81,36,3,81,84,"2,045",75,77,4,0,0,317,328,44,3,0,0,2,0,0,0,0,0,0,0,154,34,41,185,3,9,10,0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"9,809",0,"9,809"
Palau,6,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31
Papua New Guinea,18,93,0,22,"1,186",15,0,0,25,0,0,22,0,0,1,0,0,0,0,0,0,85,6,0,15,36,0,5,1,0,0,0,0,0,0,0,1,31,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,583",0,"1,583"
Samoa,3,30,1,63,836,53,0,0,5,92,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,180",0,"1,180"
Solomon Islands,1,9,0,0,110,3,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,2,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,167
Tonga,3,42,1,1,"2,010",24,0,0,4,7,0,37,0,0,0,0,0,0,0,0,0,13,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,47,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,277",0,"2,277"
Tuvalu,10,12,0,1,14,0,0,0,2,13,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,77
Vanuatu,3,27,0,1,68,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,6,11,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Oceania,256,"5,075",6,237,"19,350",183,0,0,369,"3,535",0,"1,029",1,0,2,35,401,0,"5,527","3,077","1,324","3,388",131,0,113,237,0,393,3,580,0,0,106,94,12,297,356,"7,819",409,383,20,1,0,"1,685","1,650",278,29,0,0,4,0,0,0,0,0,0,0,880,241,171,896,6,41,52,0,247,17,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,"60,960",0,"60,960"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,107,799,1,148,"240,115",21,0,0,56,753,0,169,0,0,0,45,595,0,0,1,0,"1,450",126,0,34,193,0,423,7,399,0,0,4,81,7,232,122,"3,729",192,87,7,2,0,641,868,45,1,0,0,0,0,0,0,0,0,1,0,212,59,100,374,0,166,99,0,36,7,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,"252,525",0,"252,525"
Bolivia,57,75,3,74,"21,182",3,0,0,55,170,0,42,0,0,0,2,3,0,0,0,0,475,13,0,15,41,0,194,14,80,0,0,0,0,0,35,13,316,17,40,6,0,0,28,32,16,0,0,0,0,0,0,0,0,0,0,0,6,0,7,31,0,54,1,0,7,0,0,0,0,0,1,0,1,2,0,0,0,2,0,5,0,0,"23,118",0,"23,118"
Brazil,187,"2,719",18,"3,183","870,008",119,0,0,160,"2,728",0,"2,698",0,0,3,9,154,0,0,5,0,"14,344","2,444",0,102,233,0,427,30,"1,258",0,0,13,50,58,805,760,"14,274","1,661",544,58,5,1,"3,406","4,151",293,22,0,0,2,0,0,0,0,0,0,0,"1,011",169,317,"1,226",3,161,90,125,149,79,0,0,0,0,15,0,0,5,0,0,0,7,2,15,0,0,"930,306",0,"930,306"
Chile,53,"1,357",0,236,"3,588",13,0,0,23,897,0,810,0,0,0,37,141,0,0,4,0,"1,924",375,0,37,97,0,146,8,164,500,0,16,33,1,473,64,"2,091",306,64,3,0,0,183,306,42,0,0,0,0,0,0,0,0,0,0,0,48,24,19,55,0,14,17,0,27,16,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,"14,223",0,"14,223"
Colombia,112,"3,539",9,569,"345,233",46,0,0,290,"1,356",2,18,0,0,0,73,393,0,0,5,0,"6,267",316,0,61,56,0,397,45,718,0,0,0,1,5,295,107,"4,633",336,840,279,7,5,523,600,430,2,0,0,0,0,0,0,0,0,0,0,140,51,53,338,0,19,29,0,107,24,0,0,0,0,25,0,0,0,0,0,0,0,0,4,0,0,"368,358",0,"368,358"
Ecuador,106,631,5,249,"150,458",14,0,0,285,446,0,80,0,0,11,2,35,0,0,0,0,"1,681",91,0,17,75,0,104,14,150,0,0,2,7,11,68,70,"1,963",53,180,48,2,0,80,75,158,0,0,0,0,0,0,0,0,0,0,0,21,0,6,25,0,32,0,1,22,1,0,0,0,0,6,0,0,4,2,3,0,6,8,122,0,0,"157,430",0,"157,430"
Guyana,16,50,1,6,"30,060",38,0,0,71,198,0,65,0,0,1,0,0,0,0,0,0,96,1,0,0,0,0,23,0,9,0,0,0,0,0,2,5,24,3,55,10,4,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,757",0,"30,757"
Paraguay,30,203,3,199,"10,342",1,0,0,10,23,0,152,0,0,0,4,6,0,0,0,0,349,38,0,31,84,0,45,12,22,0,0,0,0,1,18,10,478,9,17,4,0,0,8,14,8,0,0,0,0,0,0,0,0,0,0,0,4,0,2,10,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"12,145",0,"12,145"
Peru,97,942,7,"1,289","97,936",16,0,0,296,"1,738",0,199,0,0,1,0,10,0,0,0,0,"1,829",95,0,54,94,0,192,74,274,0,0,"1,019",23,2,110,92,"4,470",64,288,41,1,0,121,154,110,0,0,0,0,0,0,0,0,0,0,0,28,1,6,67,2,77,10,3,32,4,0,0,0,0,5,0,3,13,0,0,0,1,3,25,0,0,"111,918",0,"111,918"
Suriname,10,55,0,2,"5,831",0,0,0,15,9,0,65,0,0,0,0,0,0,0,0,0,39,0,0,6,39,0,2,0,3,0,0,0,0,0,2,0,26,1,1,0,0,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,121",0,"6,121"
Uruguay,21,190,1,191,"26,551",7,0,0,7,102,0,1,0,0,0,0,10,0,0,0,0,193,16,0,32,14,1,117,6,51,0,0,38,0,1,10,11,226,29,12,1,0,0,39,67,3,0,0,0,0,0,0,0,0,0,0,0,24,2,3,34,0,2,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"28,021",0,"28,021"
Venezuela,47,47,1,"1,435","223,854",124,0,0,82,556,0,3,0,0,6,1,456,0,0,2,0,"5,005",486,0,92,293,0,152,6,529,0,0,0,0,3,369,90,418,103,137,16,1,0,772,"1,199",85,8,0,0,0,0,0,0,0,0,1,0,177,271,137,717,8,3,177,0,25,11,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,"237,926",0,"237,926"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for South America,843,"10,607",49,"7,581","2,025,158",402,0,0,"1,350","8,976",2,"4,302",0,0,22,173,"1,803",0,0,17,0,"33,652","4,001",0,481,"1,219",1,"2,222",216,"3,657",500,0,"1,092",195,89,"2,419","1,344","32,648","2,774","2,265",473,22,6,"5,804","7,470","1,208",33,0,0,2,0,0,0,0,0,2,0,"1,671",577,650,"2,877",13,528,427,129,421,143,0,0,0,0,93,0,4,24,2,3,0,18,14,174,0,0,"2,172,848",0,"2,172,848"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Nationality,0,0,1,19,"2,554",38,0,0,4,534,0,0,0,0,0,0,0,0,0,0,0,163,18,0,0,0,0,2,0,7,0,0,0,0,0,0,1,35,1,30,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,427",0,"3,427"
United Nations Laissez-Passer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,107
Totals for Unknown,0,0,1,19,"2,554",38,0,0,4,534,0,0,0,0,0,0,0,0,0,0,0,163,18,0,0,0,0,109,0,7,0,0,0,0,0,0,1,35,1,30,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,534",0,"3,534"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Totals,"10,909","100,563","1,113","43,421","7,199,807","63,387","1,166,668","37,208","11,736","280,664",18,"9,786","3,103",634,"6,339","7,425","41,162",127,"5,527","3,656","1,324","644,233","33,632",63,"5,407","16,313",393,"21,792",711,"172,748","1,051",0,"108,144","69,684","1,669","124,484","14,447","332,540","42,289","30,947","4,391",182,39,"78,537","86,067","11,058",404,0,25,"5,445",1,248,30,498,0,14,4,"13,865","5,792","4,023","24,262",97,"8,426","1,193","1,901","4,572","1,684",0,0,0,"13,093","8,515",0,111,376,10,10,1,121,126,"1,419",42,39,"10,891,745",0,"10,891,745"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
