Fiscal Year 2015,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
Lithuania,36,187,1,33,241,1,0,0,1,436,0,0,0,0,0,1,25,0,0,3,0,232,13,0,4,29,0,10,0,37,0,0,0,73,0,15,7,"1,377",23,29,4,0,0,46,58,3,0,0,1,7,0,3,0,0,0,0,0,47,3,4,24,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,037",0,"3,037"
Luxembourg,4,31,0,0,97,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,69,0,0,8,12,1,12,0,9,0,0,0,0,0,4,3,49,3,0,0,0,0,20,10,6,0,0,0,2,0,7,0,0,0,0,0,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,378
Macedonia,29,135,0,4,"3,253",4,0,0,3,386,0,0,0,0,0,0,4,0,0,0,0,80,4,0,2,31,0,16,1,25,0,0,0,12,0,6,4,"1,388",12,54,3,2,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,505",0,"5,505"
Malta,10,25,0,0,115,1,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,20,1,2,0,4,0,0,0,0,0,1,6,19,1,3,0,0,0,24,7,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,311
Moldova,4,65,0,23,"4,259",16,0,0,4,74,0,1,0,0,0,0,3,0,0,0,0,75,9,0,2,16,0,51,1,39,0,0,40,83,1,24,3,"2,122",5,55,8,0,0,15,23,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,8,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,045",0,"7,045"
Monaco,6,4,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45
Montenegro,15,102,0,12,"3,267",1,0,0,1,"1,537",0,0,0,0,0,0,1,0,0,0,0,104,0,0,7,21,0,2,0,15,0,0,0,3,0,4,6,457,3,10,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,597",0,"5,597"
Netherlands,62,481,3,446,"3,946",10,0,0,0,"3,644",0,0,0,0,0,27,319,0,0,10,0,"1,633",39,0,31,209,13,217,2,259,0,0,4,19,8,106,169,"3,284",198,139,1,1,0,"1,019",946,171,3,0,0,195,0,8,1,1,0,0,0,283,139,74,385,5,10,4,1,19,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"18,553",0,"18,553"
Norway,39,203,0,71,"1,748",2,0,0,2,987,0,1,0,0,0,8,170,0,0,0,0,"2,283",36,0,19,37,0,55,0,56,0,0,0,1,6,20,143,"1,704",175,34,3,0,0,238,201,149,8,0,2,194,0,26,0,1,0,0,0,105,39,19,144,0,13,0,128,17,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"9,106",0,"9,106"
Poland,58,357,0,707,"81,861",30,0,0,41,"2,955",0,5,0,0,0,12,101,0,0,2,0,657,20,0,15,68,11,56,2,252,0,0,2,73,4,108,154,"4,959",235,136,7,0,0,561,413,36,0,0,1,427,0,22,1,48,0,0,0,120,29,17,328,0,122,5,16,58,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"95,097",0,"95,097"
