Fiscal Year 2009,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Great Britain and Northern Ireland,173,"2,880",4,"1,904","19,795",305,0,0,18,"4,921",0,152,2,0,171,"1,983",0,31,0,"4,356",122,0,62,111,24,893,1,0,"2,901",0,2,39,842,62,"1,151","1,804","16,485",462,771,43,71,8,"5,554","4,605",848,11,0,0,669,0,20,7,21,0,2,0,"1,917","1,126",453,"2,837",76,170,47,137,0,0,74,37,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,0,"81,188",0,"81,188"
Greece,75,249,0,12,"31,718",44,0,0,1,"1,465",0,3,2,0,19,3,0,0,0,793,24,0,23,81,12,46,0,0,289,0,0,0,0,1,33,93,640,94,10,0,3,0,52,37,21,0,0,0,475,0,13,0,4,0,0,0,55,6,4,44,0,76,3,2,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"36,533",0,"36,533"
Hungary,26,134,1,41,"2,494",6,0,0,8,642,0,2,2,0,0,3,0,0,0,380,23,0,5,58,6,38,1,0,154,0,0,3,3,4,65,47,"1,908",102,26,2,12,1,78,95,8,2,0,0,180,0,6,0,0,0,0,0,45,16,10,264,0,59,8,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"6,980",0,"6,980"
Iceland,10,9,0,4,176,1,0,0,1,35,0,0,0,0,0,0,0,0,0,167,32,0,10,30,0,24,1,0,44,0,0,0,0,0,22,8,127,57,3,0,0,0,19,36,21,3,0,0,1,0,0,0,0,0,0,0,17,6,4,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,0,887
Ireland,25,222,1,113,"1,460",17,0,0,3,618,0,2,0,0,18,196,0,2,0,537,7,0,8,60,3,132,0,0,454,0,1,8,39,30,100,200,"6,731",98,56,0,8,0,591,333,253,2,0,0,0,0,0,0,0,0,0,0,169,59,9,471,9,259,19,5,0,0,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"13,342",0,"13,342"
Italy,100,706,1,387,"4,020",64,0,0,2,"2,108",0,11,1,0,190,551,0,3,0,"3,510",79,0,39,194,14,520,0,0,867,0,0,0,14,37,167,230,"5,079",363,62,3,17,1,779,535,189,0,0,0,552,0,25,12,1,0,0,0,386,117,48,235,4,65,19,161,0,0,31,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"22,514",0,"22,514"
Kazakhstan,33,470,9,52,"5,802",259,0,0,11,0,0,0,15,0,1,3,0,0,0,"1,417",53,0,21,42,0,63,2,0,43,0,0,0,0,7,21,38,"3,270",46,40,8,6,1,19,31,10,0,0,0,0,0,0,0,0,0,0,0,9,2,5,9,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,829",0,"11,829"
Kosovo,20,87,0,11,"1,430",90,0,0,2,4,0,0,0,0,0,0,0,0,0,91,5,0,0,31,0,23,0,0,12,0,0,0,0,0,3,18,281,8,31,0,30,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,194",0,"2,194"
Kyrgyzstan,15,207,0,5,"1,132",4,0,0,8,0,0,4,5,0,0,0,0,0,0,142,17,0,16,24,0,89,0,0,24,0,0,0,0,0,11,13,850,30,26,6,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,664",0,"2,664"
Latvia,9,93,1,20,795,150,0,0,5,"1,893",0,0,0,0,0,0,0,0,0,179,3,0,6,14,1,14,0,0,41,0,0,0,0,0,6,11,190,7,14,0,2,0,8,6,13,0,0,4,27,0,0,0,3,0,0,0,14,1,0,12,0,16,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,564",0,"3,564"
Liechtenstein,2,3,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60
Lithuania,24,183,1,19,"1,131",5,0,0,7,489,0,4,0,0,0,10,0,2,0,171,12,0,9,9,0,12,1,0,71,0,0,0,3,0,20,4,826,20,16,2,5,2,6,9,6,1,0,0,2,0,0,0,0,0,0,0,20,1,9,37,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,156",0,"3,156"
Luxembourg,12,23,0,5,35,5,0,0,0,15,0,0,0,0,0,0,0,0,0,54,5,0,5,14,1,18,0,0,3,0,0,0,0,1,0,9,54,2,2,0,0,0,8,1,13,0,0,0,2,0,3,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,296
Macedonia,42,231,0,77,"2,553",402,0,0,1,650,0,0,0,0,0,2,0,0,0,127,6,0,11,43,0,38,0,0,30,0,0,0,10,0,9,45,"1,395",7,41,3,18,0,5,5,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,1,0,82,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,848",0,"5,848"
Malta,6,26,0,5,448,0,0,0,1,48,0,0,0,0,0,0,0,0,0,10,0,0,1,14,0,8,0,0,3,0,0,0,0,0,0,4,22,3,2,0,0,0,15,4,10,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,636
Moldova,8,88,0,8,"2,973",13,0,0,55,1,0,0,61,0,1,5,0,0,0,261,11,0,4,22,0,42,0,0,56,0,1,25,22,0,31,1,"3,260",18,62,16,13,1,12,7,1,0,0,0,0,0,0,0,0,0,0,0,14,0,2,25,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,125",0,"7,125"
Monaco,7,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41
Montenegro,8,34,0,4,"1,014",82,0,0,0,672,0,1,0,0,0,1,0,0,0,77,0,0,5,16,0,6,0,0,7,0,0,0,0,0,1,5,171,2,8,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,131",0,"2,131"
Netherlands,49,480,1,305,"1,670",43,0,0,8,"3,236",0,11,1,0,22,335,0,2,0,"1,452",11,0,31,125,10,273,3,0,344,0,0,5,8,8,146,343,"2,955",204,80,5,22,0,791,800,450,6,0,2,271,0,19,1,3,0,0,0,137,36,34,252,0,44,6,0,0,0,11,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"15,059",0,"15,059"
Norway,40,232,2,529,"1,579",129,0,0,6,"1,254",0,0,0,0,220,135,0,0,0,"1,351",11,0,23,152,0,112,1,0,82,0,0,0,1,4,28,133,"2,150",236,18,0,6,0,129,160,107,22,0,0,195,0,7,0,0,0,0,0,65,9,14,120,0,41,2,56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,364",0,"9,364"
Poland,64,381,1,641,"65,153",119,0,0,340,"1,494",0,3,1,0,8,37,0,1,0,948,23,0,22,86,7,90,6,0,377,0,0,3,45,24,145,181,"3,980",160,136,10,11,4,240,164,33,0,0,0,249,0,16,4,17,0,0,0,57,4,17,389,0,134,8,0,0,0,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"75,856",0,"75,856"
Portugal,33,134,1,127,903,65,0,0,298,"1,076",0,8,0,0,0,7,0,0,0,548,10,0,17,80,5,76,1,0,127,0,0,2,1,15,35,55,702,88,21,0,2,0,136,120,63,0,0,0,130,0,1,1,0,0,0,0,35,15,12,40,0,5,1,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,007",0,"5,007"
Romania,50,243,1,467,"21,449",39,0,0,88,"4,367",0,14,0,0,0,11,0,0,0,532,24,0,23,76,1,148,4,0,419,0,0,166,323,7,152,75,"2,048",71,183,15,67,14,81,53,3,0,0,3,198,0,8,0,0,0,0,0,40,5,7,30,0,59,3,0,0,0,7,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"31,587",0,"31,587"
Russia,284,"2,422",2,271,"106,214",247,0,0,87,"15,785",0,33,2,0,3,12,0,1,0,"3,998",172,0,325,408,2,705,0,0,695,0,0,0,3,16,403,605,"19,879",285,775,190,70,26,383,360,45,1,0,0,3,0,0,0,0,0,0,0,210,11,43,"1,522",0,398,34,1,0,0,10,2,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,"156,958",0,"156,958"
San Marino,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
Serbia  ,15,114,0,15,"5,583",371,0,0,2,717,0,0,0,0,0,6,0,0,0,593,21,0,11,28,0,49,0,0,125,0,0,0,122,1,34,29,"1,656",9,29,5,13,3,23,22,5,1,0,0,1,0,0,0,0,0,0,0,23,0,3,15,0,53,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,705",,"9,705"
Serbia and Montenegro,15,175,0,57,"5,371",263,0,0,4,687,0,3,0,0,2,2,0,0,0,140,3,0,1,40,0,51,0,0,114,0,0,0,13,0,14,31,296,10,15,0,11,1,20,12,3,0,0,0,0,0,0,0,0,0,0,0,16,1,1,19,0,67,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,465",0,"7,465"
Slovakia,44,210,0,30,"1,926",14,0,0,2,498,0,0,6,0,0,13,0,0,0,417,8,0,20,26,0,35,2,0,86,0,0,2,24,3,29,21,"1,979",14,17,2,3,0,31,18,7,0,0,4,22,0,1,0,0,0,0,0,23,2,0,68,2,2,1,8,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,631",0,"5,631"
Slovenia,16,34,1,177,94,1,0,0,0,147,0,0,0,0,15,8,0,0,0,79,2,0,4,35,1,13,2,0,32,0,0,0,8,1,8,9,149,15,5,0,0,0,6,12,4,0,0,0,77,0,0,2,0,0,0,0,9,4,0,20,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,996
Spain,96,667,3,505,"3,209",90,0,0,13,"2,183",0,7,3,0,59,450,0,1,0,"3,926",65,0,60,117,16,532,1,0,776,0,0,0,10,19,199,553,"5,130",591,41,3,7,0,709,692,135,1,0,0,260,0,8,1,2,1,0,0,219,86,52,380,0,140,17,10,0,0,29,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"22,089",0,"22,089"
Sweden,24,980,7,234,"1,226",91,0,0,13,"1,214",0,11,0,0,36,325,0,1,0,"2,207",25,0,22,134,15,181,3,0,293,0,1,1,9,10,111,169,"3,067",212,60,2,11,2,483,548,162,10,0,0,3,0,0,0,0,0,0,0,156,42,49,333,0,30,13,16,0,0,12,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"12,560",0,"12,560"
Switzerland,58,413,2,162,"4,224",38,0,0,10,566,0,1,3,0,10,162,0,0,0,"3,435",36,0,25,39,0,219,2,0,222,0,0,0,2,9,72,106,"1,494",130,25,1,6,0,362,281,168,4,0,0,1,0,0,0,0,0,0,0,92,23,23,149,0,4,1,0,0,0,13,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"12,598",0,"12,598"
Tajikistan,9,166,0,5,358,179,0,0,0,0,0,0,0,0,0,0,0,0,0,435,13,0,13,21,0,51,0,0,11,0,0,0,0,0,5,9,422,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,733",0,"1,733"
Turkey,106,732,6,197,"43,061",182,0,0,19,"2,942",0,88,18,0,55,245,0,0,0,"6,198",337,0,57,134,1,113,7,0,"1,466",0,0,0,97,8,538,162,"11,085",601,79,2,44,3,96,102,32,0,0,0,422,0,32,1,6,0,0,0,42,2,6,23,1,134,0,14,0,0,5,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"69,513",0,"69,513"
Turkmenistan,15,38,0,40,406,0,0,0,1,13,0,0,0,0,0,0,0,0,0,121,25,0,18,32,0,22,0,0,19,0,0,0,0,0,19,9,281,4,5,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,072",0,"1,072"
Ukraine,49,464,0,122,"20,924",777,0,0,27,"9,029",0,1,33,0,0,22,0,1,0,629,49,0,38,61,0,148,1,0,220,0,0,37,101,4,131,78,"9,119",97,689,188,70,30,80,75,6,0,0,0,0,0,0,0,0,0,0,0,43,8,10,268,0,38,7,0,0,0,10,9,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,"43,698",0,"43,698"
Uzbekistan,26,80,0,5,"3,217",10,0,0,8,205,0,14,0,0,0,0,0,0,0,247,37,0,12,14,0,106,1,0,43,0,0,0,4,0,38,0,499,22,51,10,5,4,9,10,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,7,0,20,1,0,0,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"4,725",0,"4,725"
Vatican City,8,22,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Europe,"2,538","20,920",81,"8,327","434,507","6,714",0,0,"1,245","77,293",0,571,304,0,"2,087","8,782",0,74,0,"58,882","1,677",0,"1,377","3,561",221,"7,876",62,0,"15,158",0,8,303,"1,873",452,"5,018","7,693","162,410","6,612","4,248",591,744,118,"16,397","14,542","3,911",80,0,36,"5,976",0,264,65,183,3,2,0,"5,402","2,118","1,162","10,647",94,"2,754",281,807,0,0,380,130,0,0,0,0,111,0,1,2,0,0,2,0,0,0,0,0,0,"907,677",0,"907,677"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,7,16,0,2,"2,641",604,0,0,3,5,0,1,0,0,0,0,0,0,0,121,5,0,2,0,0,3,0,0,9,0,0,0,0,0,2,0,17,2,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,450",0,"3,450"
"Bahamas, The",24,102,1,1,"8,634",44,0,0,11,115,0,25,2,0,0,1,0,0,0,"1,084",28,0,6,1,0,16,0,0,122,0,0,0,0,1,17,1,30,8,8,2,1,0,18,12,90,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,425",0,"10,425"
Barbados,22,78,0,3,"9,634","1,945",0,0,55,21,0,21,0,0,0,0,0,0,0,184,7,0,7,5,0,26,0,0,77,0,0,0,61,1,15,2,93,6,4,0,1,0,6,1,10,0,0,0,0,0,0,0,0,0,0,0,6,6,0,12,0,4,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"12,319",0,"12,319"
Belize,3,103,0,5,"4,678",20,0,0,224,32,0,89,0,0,0,0,0,0,0,144,5,0,1,0,0,10,0,0,25,0,0,2,188,0,8,0,52,3,12,10,4,4,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"5,635",0,"5,635"
Canada,209,144,0,8,148,5,0,0,3,22,0,0,5,0,200,"1,111",0,14,0,175,18,0,36,20,0,718,1,0,45,0,0,4,2,1,94,40,42,27,649,61,207,35,60,105,2,0,0,1,751,0,2,3,13,0,0,0,13,6,6,22,1,5,3,0,0,0,5,1,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0,0,"5,079",0,"5,079"
Costa Rica,21,197,6,84,"33,381",156,0,0,238,354,1,38,0,0,0,4,0,0,0,487,20,0,9,6,0,109,4,0,123,0,0,276,225,0,52,29,537,34,62,21,40,9,107,83,16,0,0,0,0,0,0,0,0,0,0,0,9,1,2,10,0,1,7,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,774",0,"36,774"
Cuba,123,26,0,"1,132","2,012","15,424",0,0,16,6,0,3,0,0,0,1,0,0,0,16,1,0,140,100,0,69,0,0,2,0,0,0,0,0,1,25,42,2,286,85,11,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,6,7,2,49,0,8,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,624",0,"19,624"
Dominica,4,11,0,4,"1,666",333,0,0,15,25,0,7,0,0,0,0,0,0,0,116,5,0,0,0,0,10,1,0,19,0,0,0,0,0,6,0,8,1,7,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,269",0,"2,269"
Dominican Republic,80,816,21,"1,894","59,248","2,402",0,0,268,397,0,203,13,0,1,6,0,0,0,608,14,0,31,31,0,36,11,0,182,0,0,21,228,1,93,143,742,27,817,269,268,151,61,121,13,0,0,0,0,0,0,0,0,0,0,0,17,2,5,"1,395",0,20,92,0,0,0,22,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"70,780",0,"70,780"
El Salvador,92,450,5,825,"12,794","4,281",0,0,247,192,0,154,0,0,0,1,0,0,0,348,5,0,26,14,2,84,5,0,62,0,0,20,308,1,36,26,215,8,132,29,35,9,22,34,5,0,0,0,0,0,0,0,0,0,0,0,2,0,3,104,0,17,5,0,0,0,11,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,"20,637",0,"20,637"
