Fiscal Year 2009,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Grenada,8,32,0,1,"2,821",458,0,0,6,46,0,12,0,0,0,1,0,0,0,100,0,0,0,2,0,10,1,0,21,0,0,0,0,0,1,0,28,2,5,0,2,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,570",0,"3,570"
Guatemala,74,218,7,163,"41,966",17,0,0,33,302,0,179,0,0,0,3,0,0,0,393,15,0,17,18,1,89,7,0,94,0,0,807,"2,428",3,41,28,335,31,88,10,41,9,42,67,17,0,0,0,0,0,0,0,0,0,0,0,16,6,2,137,0,11,0,0,0,0,25,7,0,0,0,0,3,0,1,3,0,1,0,0,0,0,0,0,0,"47,755",0,"47,755"
Haiti,44,43,5,62,"22,716",76,0,0,336,222,0,280,0,0,0,0,0,0,0,300,2,0,12,11,0,58,3,0,22,0,0,296,154,0,6,99,205,6,518,135,55,32,7,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,0,208,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"25,983",0,"25,983"
Honduras,18,158,3,170,"19,198","4,935",0,0,214,"1,277",0,47,12,0,8,5,0,1,0,483,15,0,5,6,0,102,3,0,90,0,0,8,414,9,29,87,204,18,63,18,49,15,22,24,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,98,0,1,5,0,0,0,7,6,0,0,0,0,0,0,0,14,2,1,0,0,2,0,0,0,0,"27,853",0,"27,853"
Jamaica,20,188,8,221,"49,105",81,0,0,303,"1,787",0,156,0,0,0,6,0,0,0,"1,160",73,0,9,5,0,89,3,0,489,0,6,0,"3,161",3,216,22,"3,322",47,316,86,57,22,32,36,18,0,0,0,1,0,0,0,0,0,0,0,48,173,1,234,3,340,8,23,0,0,14,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"61,899",0,"61,899"
Mexico,558,"1,846",38,"5,364","14,222","1,990","372,758","334,497",548,"2,990",0,21,60,0,799,"1,700",0,0,0,"6,281",544,773,94,142,0,702,15,0,"2,190",0,0,"55,693","30,006",141,"1,662",813,"5,536",484,"1,374",286,"1,009",302,"1,770","2,604",222,17,0,0,3,0,0,1,0,0,0,0,401,551,158,"4,161",2,281,85,117,0,0,294,99,0,0,0,"4,105","2,509",0,0,3,1,0,1,0,0,0,0,0,0,"862,823",0,"862,823"
Nicaragua,33,184,10,106,"11,292",112,0,0,398,800,0,68,5,0,0,0,0,0,0,155,9,0,19,25,0,50,5,0,32,0,0,128,67,1,11,11,276,10,85,13,38,5,4,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86,0,1,2,1,0,0,6,4,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,"14,067",0,"14,067"
Panama,71,420,8,127,"23,597",37,0,0,166,793,0,175,1,0,0,2,0,2,0,547,14,0,18,23,0,36,4,0,102,0,0,8,33,2,38,28,345,14,49,20,13,5,27,33,47,0,0,0,0,0,0,0,0,0,0,0,4,1,1,100,0,2,4,0,0,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"26,927",0,"26,927"
Saint Kitts and Nevis,1,20,0,1,"1,661",433,0,0,1,3,0,7,0,0,0,0,0,0,0,85,2,0,2,2,0,5,0,0,17,0,0,0,0,0,2,0,6,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,263",0,"2,263"
Saint Lucia,10,33,0,22,"3,386",574,0,0,15,116,0,24,0,0,0,0,0,0,0,135,6,0,3,8,0,11,0,0,25,0,0,0,4,0,2,1,14,2,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"4,402",0,"4,402"
Saint Vincent and the Grenadines,4,16,0,99,"2,039",394,0,0,22,350,0,13,0,0,0,0,0,0,0,63,3,0,1,3,0,5,2,0,14,0,0,0,1,0,4,0,14,4,4,2,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,074",0,"3,074"
Trinidad and Tobago,51,154,2,16,"20,175",39,0,0,235,487,1,81,1,0,0,31,0,0,0,736,17,0,7,6,0,178,2,0,276,0,0,2,0,5,71,14,130,17,30,3,9,1,92,85,44,2,0,0,0,0,0,0,0,0,0,0,6,17,2,140,1,44,2,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"23,221",0,"23,221"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for North America,"1,477","5,255",114,"10,310","347,014","34,360","372,758","334,497","3,357","10,342",2,"1,604",99,0,"1,008","2,872",0,17,0,"13,721",808,773,445,428,3,"2,416",67,0,"4,038",0,6,"57,265","37,280",169,"2,407","1,369","12,193",753,"4,515","1,050","1,843",607,"2,281","3,229",528,20,0,1,755,0,2,4,13,0,0,0,539,771,185,"6,634",7,946,215,142,0,0,435,155,0,0,0,"4,124","2,542",0,1,48,3,2,1,0,4,0,0,0,0,"1,290,829",0,"1,290,829"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,166,"3,632",0,98,"8,118",30,0,0,21,"2,469",0,199,1,0,43,354,"2,191","1,190",561,"1,506",41,0,22,18,0,295,0,0,442,0,0,40,243,16,186,379,"5,005",199,210,24,32,10,"1,062","1,018",106,15,0,0,1,0,0,0,0,0,0,1,449,117,88,799,11,28,40,76,0,0,42,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,"31,617",0,"31,617"
Fiji,2,43,2,51,"2,114",14,0,0,748,181,0,6,0,0,0,0,0,1,0,22,3,0,3,23,0,43,0,0,6,0,0,0,0,0,2,5,27,3,16,0,23,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,352",0,"3,352"
Kiribati,15,27,0,3,40,0,0,0,44,383,0,134,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,666
Marshall Islands,4,1,0,0,36,2,0,0,26,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,72
"Micronesia, Federated States of",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Nauru,2,5,0,1,5,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
New Zealand,32,527,1,115,"2,149",18,0,0,3,712,0,103,1,0,1,6,0,22,0,404,21,0,13,43,0,111,1,0,232,0,0,171,134,4,115,94,"1,511",87,56,2,0,1,252,219,44,2,0,0,0,0,0,0,0,0,0,0,89,18,20,137,0,26,21,22,0,0,22,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"7,567",0,"7,567"
Palau,6,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
Papua New Guinea,3,33,0,77,193,223,0,0,58,0,0,16,24,0,0,0,0,0,0,41,3,0,3,25,0,5,0,0,1,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0,728
Samoa,0,11,0,13,782,3,0,0,21,63,0,18,0,0,0,0,0,0,0,17,0,0,1,6,0,4,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,968
Solomon Islands,1,17,0,2,36,1,0,0,9,1,0,7,0,0,0,0,0,0,0,1,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97
Tonga,5,117,0,11,616,1,0,0,19,10,0,17,0,0,0,0,0,0,0,8,4,0,8,1,0,4,4,0,2,0,0,0,0,0,0,0,9,18,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0,895
Tuvalu,2,9,0,2,13,0,0,0,6,94,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,146
Vanuatu,5,17,0,2,32,1,0,0,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Oceania,244,"4,443",3,375,"14,137",293,0,0,965,"3,913",0,514,26,0,44,360,"2,191","1,213",561,"2,004",72,0,52,159,0,479,5,0,684,0,0,211,377,21,303,478,"6,590",309,284,26,62,14,"1,321","1,238",153,17,0,0,1,0,0,0,0,0,0,1,540,140,108,937,11,56,61,98,0,0,112,13,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,"46,237",0,"46,237"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,97,"1,138",3,203,"118,663",187,0,0,146,901,0,"1,115",0,0,44,112,0,1,0,"1,076",61,0,41,138,3,598,15,0,753,0,0,11,199,16,372,205,"4,947",206,89,9,17,3,413,567,15,2,0,0,0,0,0,0,0,0,0,0,162,38,45,484,0,103,99,16,0,0,45,14,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"133,382",0,"133,382"
Bolivia,60,220,1,144,"12,813",106,0,0,282,168,0,129,0,0,13,11,0,0,0,420,12,0,38,39,0,241,11,0,130,0,0,3,172,2,54,15,355,21,31,5,17,6,30,49,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,17,0,22,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"15,661",0,"15,661"
Brazil,187,"3,693",50,"1,932","74,923","350,627",0,0,"5,792","2,578",0,"2,474",207,0,15,40,0,3,0,"9,160",382,0,129,219,0,"1,031",61,0,"1,466",0,0,35,254,72,737,653,"19,331",866,552,103,108,26,"1,796","2,146",152,4,0,0,1,0,0,0,0,0,1,0,610,43,146,936,0,207,72,25,0,0,113,60,0,0,0,0,18,0,0,0,0,0,1,0,1,0,0,0,0,"484,038",0,"484,038"
Chile,68,"1,717",5,482,"34,754","1,115",0,0,122,"1,186",0,623,0,0,30,20,0,1,0,"1,074",201,0,57,118,2,253,11,0,204,319,0,43,150,1,380,105,"4,179",236,68,12,22,4,156,217,9,0,0,0,0,0,0,0,0,0,1,0,38,5,16,51,1,3,7,31,0,0,37,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"48,152",0,"48,152"
Colombia,72,"3,414",18,"2,311","184,707",483,0,0,"1,030","1,350",0,78,0,0,30,99,0,3,0,"3,912",201,0,98,23,0,610,45,0,"1,181",0,0,0,22,15,582,179,"4,983",253,926,341,197,81,365,485,50,3,0,0,2,0,0,0,0,0,0,0,84,11,36,458,0,35,31,2,0,0,93,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"208,920",0,"208,920"
Ecuador,124,454,5,341,"43,968",229,0,0,404,453,0,190,1,0,2,13,0,0,0,960,34,0,6,79,0,173,12,0,236,0,0,4,6,6,90,52,"1,873",57,118,28,57,11,75,96,15,0,0,0,0,0,0,0,0,0,0,0,17,0,12,36,0,20,0,0,0,0,14,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"50,285",0,"50,285"
Guyana,7,51,1,5,"5,424",104,0,0,198,364,0,19,1,0,0,0,0,0,0,65,11,0,3,0,0,48,1,0,45,0,0,0,1,0,18,9,21,4,79,24,29,9,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"6,561",0,"6,561"
Paraguay,22,306,7,111,"4,472",53,0,0,140,25,0,154,0,0,5,5,0,0,0,207,6,0,34,71,0,60,13,0,35,0,0,0,0,0,17,13,412,7,19,1,6,2,9,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"6,246",0,"6,246"
Peru,82,860,34,"1,441","36,316","8,019",0,0,"3,337","2,749",1,120,0,0,0,9,0,0,0,"1,005",61,0,50,12,0,463,100,0,497,0,0,910,39,5,251,85,"7,077",97,454,91,132,34,125,185,27,1,0,0,0,0,0,0,0,0,0,0,22,3,6,86,0,103,13,7,0,0,50,8,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,"64,974",0,"64,974"
Suriname,13,80,0,2,"2,857",8,0,0,13,10,0,68,0,0,6,0,0,0,0,40,0,0,2,22,0,6,0,0,6,0,0,0,0,0,0,0,19,3,2,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,168",0,"3,168"
Uruguay,51,482,4,95,"12,917",350,0,0,39,240,1,90,0,0,2,3,0,0,0,129,14,0,9,131,0,184,6,0,81,0,0,39,2,4,41,9,267,24,22,2,1,0,43,42,0,0,0,0,0,0,0,0,0,0,0,0,14,1,7,12,0,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,369",0,"15,369"
Venezuela,101,162,1,791,"108,344",549,0,0,64,609,0,23,1,0,2,47,0,1,0,"2,543",135,0,65,297,0,194,7,0,770,0,0,0,1,10,512,115,576,68,90,18,39,11,677,"1,155",35,5,0,0,1,0,0,0,0,0,0,0,113,269,65,874,0,42,212,0,0,0,11,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"119,621",0,"119,621"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for South America,884,"12,577",129,"7,858","640,158","361,830",0,0,"11,567","10,633",2,"5,083",210,0,149,359,0,9,0,"20,591","1,118",0,532,"1,149",5,"3,861",282,0,"5,404",319,0,"1,045",846,131,"3,054","1,440","44,040","1,842","2,450",634,625,187,"3,692","4,964",321,15,0,0,4,0,0,0,0,0,2,0,"1,065",373,339,"2,967",1,540,437,82,0,0,379,132,0,0,0,0,55,0,0,3,0,0,2,0,1,0,0,0,0,"1,156,377",0,"1,156,377"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Nationality,0,0,0,29,"1,996",151,0,0,9,31,0,0,0,0,0,1,0,0,0,79,8,0,0,2,0,4,0,0,10,0,0,0,0,0,9,3,50,14,25,2,2,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,7,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,473",0,"2,473"
United Nations Laissez-Passer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,192
Totals for Unknown,0,0,0,29,"1,996",151,0,0,9,31,0,0,0,0,0,1,0,0,0,79,8,0,0,2,0,196,0,0,10,0,0,0,0,0,9,3,50,14,25,2,2,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,7,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,665",0,"2,665"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Totals,"10,313","91,326","1,186","42,261","2,924,368","443,100","372,758","334,497","27,589","205,893",18,"10,780","23,634",0,"6,432","24,033","2,191","1,421",561,"331,208","21,817",773,"5,467","12,509",329,"24,660",911,0,"110,367",621,128,"60,112","44,847","2,084","60,009","15,219","313,597","31,944","27,679","4,188","7,210","1,568","64,696","59,579","9,257",250,0,37,"6,741",0,266,69,196,3,10,2,"9,368","4,702","2,396","23,920",119,"8,847","1,124","1,626",0,0,"2,771","1,160",0,0,0,"4,124","3,203",0,8,81,3,3,8,0,5,0,0,0,0,"5,804,182",0,"5,804,182"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
