Fiscal Year 2004,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,43,243,0,925,795,955,0,0,14,1,0,0,37,0,0,0,0,0,0,48,2,0,74,124,0,100,0,0,36,0,0,0,0,0,0,28,41,131,15,36,0,41,2,11,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,"3,727",0,"3,727",,,
Angola,66,141,4,710,400,540,0,0,17,27,0,6,19,0,0,0,0,0,0,298,9,0,26,90,0,9,0,0,8,0,0,0,0,0,0,6,21,55,21,1,0,0,0,49,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,645",0,"2,645",,,
Benin,12,64,5,9,670,23,0,0,28,0,0,2,1,0,1,0,0,0,0,95,3,0,27,47,0,43,4,0,13,0,0,0,0,0,0,6,11,37,4,2,2,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,123",0,"1,123",,,
Botswana,6,92,3,22,772,35,0,0,5,7,0,0,0,0,0,0,0,0,0,87,7,0,18,23,0,16,1,0,21,0,0,0,0,0,0,3,3,50,9,2,0,3,0,7,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,218",0,"1,218",,,
Burkina Faso,42,32,3,1,613,362,0,0,1,0,0,41,2,0,0,0,0,0,0,219,8,0,20,91,0,79,3,0,14,0,0,0,1,0,0,14,8,24,1,7,0,4,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,617",0,"1,617",,,
Burundi,26,30,2,1,375,11,0,0,54,0,0,11,0,0,0,0,0,0,0,40,0,0,7,44,0,91,1,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,705,,,
Cameroon,33,160,8,80,"4,297","1,184",0,0,26,6,0,1,0,0,0,9,0,0,0,570,21,0,33,111,0,90,6,0,68,0,0,0,2,0,1,36,5,139,28,39,2,21,9,15,13,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,0,1,0,0,0,0,26,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,17,6,"7,085",0,"7,085",,,
Cape Verde,4,30,2,8,"1,004",145,0,0,4,39,0,15,0,0,0,0,0,0,0,21,0,0,9,22,0,7,1,0,0,0,0,0,0,0,0,0,0,6,2,50,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,15,"1,438",0,"1,438",,,
Central African Republic,23,11,1,3,60,4,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,9,20,1,13,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,166,,,
Chad,19,87,0,3,216,167,0,0,7,0,0,0,0,0,0,0,0,0,0,87,0,0,14,38,0,18,0,0,4,0,0,0,0,0,0,11,0,20,4,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,703,0,703,,,
Comoros,1,7,0,0,11,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,46,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,79,,,
"Congo, Dem. Rep. of the (Congo Kinshasa)",42,122,0,74,"1,403",96,0,0,33,2,0,5,0,0,0,1,0,0,0,104,13,0,17,220,0,131,0,0,20,0,0,0,0,0,0,4,3,44,16,8,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,2,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,"2,412",0,"2,412",,,
"Congo, Rep. of the (Congo Brazzaville)",73,84,1,17,355,46,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,25,72,0,27,2,0,1,0,0,0,0,0,0,0,0,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,741,,,
