Fiscal Year 1997,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Comoros,0,4,0,2,5,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6,17,0,3,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,,,
"Congo, Dem. Rep. of the (Congo Kinshasa)",36,20,0,15,264,123,0,0,7,0,0,1,51,0,0,0,0,0,0,32,0,0,14,11,0,11,0,0,3,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,7,611,,,
"Congo, Rep. of the (Congo Brazzaville)",16,24,2,39,"1,988",332,0,0,121,0,0,4,0,0,0,0,0,0,0,168,6,0,6,55,0,84,0,0,8,0,0,0,0,0,0,10,0,29,4,5,0,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,0,66,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,016",159,"3,175",,,
Cote d'Ivoire ,49,86,16,104,"2,481","1,127",4,0,79,1,0,21,63,0,0,0,0,0,0,197,3,0,33,90,1,129,20,0,17,0,0,0,0,0,0,12,11,80,5,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,711",45,"4,756",,,
Djibouti,16,25,1,8,23,265,0,0,2,0,0,18,0,0,0,0,0,0,0,5,0,0,5,7,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,398,,,
Egypt,189,"2,012",33,487,"30,988",819,334,0,273,843,0,54,107,0,2,0,0,0,0,771,116,0,45,83,0,142,2,0,303,0,0,0,0,0,5,263,56,"1,302",572,31,0,0,0,45,89,34,0,0,0,0,0,0,0,0,0,2,0,5,0,2,122,0,6,3,0,0,0,49,43,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"40,234",462,"40,696",,,
Equatorial Guinea,13,6,0,63,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,164,,,
Eritrea,10,50,8,176,401,574,0,0,13,0,0,0,0,0,0,0,0,0,0,27,0,0,2,6,0,3,1,0,1,0,0,0,0,0,0,0,0,27,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,309",34,"1,343",,,
Ethiopia,15,42,13,429,"2,304","1,179",2,0,38,1,0,2,11,0,0,1,0,0,0,263,21,0,8,32,0,228,22,0,34,0,0,0,1,0,0,5,0,139,10,21,3,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,849",448,"5,297",,,
Gabon,33,89,2,4,628,148,0,0,3,5,0,0,12,0,0,0,0,0,0,92,1,0,9,99,0,9,8,0,4,0,0,0,0,0,0,1,0,4,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,160",1,"1,161",,,
"Gambia, The",25,45,2,15,"1,127",101,0,0,27,0,0,3,0,0,0,0,0,0,0,166,8,0,9,3,0,34,3,0,3,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,586",0,"1,586",,,
Ghana,20,194,6,"1,300","4,994","3,077",0,0,99,308,0,24,1,0,1,0,0,0,0,569,20,0,36,163,0,101,14,0,72,0,0,0,0,0,1,30,13,286,69,66,10,0,0,4,12,6,0,0,0,0,0,0,0,0,0,0,0,1,1,6,45,0,14,2,0,0,0,22,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"11,590",3,"11,593",,,
Guinea,50,134,3,48,"2,730",315,0,0,28,3,0,0,14,0,0,0,0,0,0,209,2,0,40,101,0,38,3,0,5,0,0,0,0,0,0,6,0,55,1,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,799",35,"3,834",,,
Guinea-Bissau,17,24,2,10,84,37,0,0,6,0,0,0,1,0,0,0,0,0,0,5,0,0,10,25,0,3,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,251,,,
Kenya,66,117,30,193,"3,899","1,447",0,0,26,3,0,0,4,0,0,1,0,0,0,"2,616",151,0,41,87,0,174,17,0,118,0,0,0,1,0,0,107,0,270,61,17,3,0,0,9,15,84,2,0,0,0,0,0,0,0,0,0,0,2,0,0,34,0,3,0,8,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,627",1,"9,628",,,
Lesotho,1,11,0,1,105,21,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,5,30,0,4,0,0,0,0,0,0,3,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210,,,
Liberia,0,0,1,161,645,907,0,0,5,2,0,0,0,0,0,0,0,0,0,161,20,0,1,29,1,34,1,0,5,0,0,0,0,0,0,9,1,18,8,12,1,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,040",16,"2,056",,,
Libya,1,1,0,27,73,159,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,61,38,0,8,0,0,6,0,0,0,0,0,0,5,0,3,1,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,411,,,
Madagascar,35,28,5,59,183,214,0,0,12,24,0,0,0,0,1,0,0,0,0,30,0,0,13,47,0,27,3,0,3,0,0,0,0,0,0,4,0,62,7,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,6,796,,,
Malawi,23,44,0,4,422,57,0,0,4,0,0,0,0,0,0,0,0,0,0,126,16,0,8,67,0,18,2,0,2,0,0,0,0,0,0,4,0,69,19,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,891,,,
Mali,17,56,1,471,"1,191",674,0,0,76,0,0,5,16,0,0,0,0,0,0,83,5,0,22,47,1,111,1,0,12,0,0,0,2,0,0,1,6,62,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2,955",44,"2,999",,,
Mauritania,20,16,1,83,152,228,0,0,6,4,0,1,10,0,0,0,0,0,0,50,1,0,14,49,0,34,3,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,685,2,687,,,
Mauritius,11,22,0,16,926,522,0,0,5,105,0,0,0,0,0,0,0,0,0,58,4,0,7,16,0,30,2,0,14,0,0,0,0,0,0,3,0,27,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,777",0,"1,777",,,
Morocco,46,552,71,356,"11,593","1,629",11,0,38,144,0,12,201,0,0,4,0,0,0,620,9,0,18,104,0,43,30,0,75,0,0,0,4,0,3,24,20,299,51,40,0,0,0,11,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,8,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,109",334,"16,443",,,
Mozambique,28,64,11,14,371,27,0,0,23,3,0,9,0,0,0,0,0,0,0,38,1,0,14,26,0,30,5,0,0,0,0,0,0,0,0,0,0,65,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,743,,,
Namibia,29,105,5,26,304,39,0,0,2,0,0,2,0,0,0,0,0,0,0,21,6,0,3,6,0,9,1,0,3,0,0,0,0,0,0,0,0,117,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,693,,,
Niger,35,34,1,176,91,159,0,0,21,1,0,0,19,0,0,0,0,0,0,43,3,0,17,45,0,21,0,1,4,0,0,0,0,0,0,0,0,26,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,2,706,,,
Nigeria,72,68,5,258,"21,114",848,0,0,82,5,1,8,28,0,0,0,0,0,0,743,31,0,59,77,0,120,6,3,217,0,0,0,0,0,1,195,20,241,41,298,14,0,0,46,62,26,1,0,0,0,0,0,0,0,0,0,0,5,0,1,7,0,256,0,1,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,077",0,"25,077",,,
Rwanda,3,19,4,4,396,42,0,0,13,0,0,22,0,0,0,0,0,0,0,67,18,0,3,36,0,17,1,0,1,0,0,0,0,0,0,1,0,20,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,36,705,,,
Sao Tome and Principe,2,5,0,0,19,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,47,,,
Senegal,77,115,9,207,"4,218","1,278",0,0,118,0,0,11,46,0,0,0,0,0,0,379,6,0,42,75,0,166,11,0,27,0,0,0,0,0,0,4,3,191,16,6,0,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,19,2,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,068",66,"7,134",,,
Seychelles,1,6,0,14,92,70,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,6,209,,,
Sierra Leone,3,13,3,9,"1,313",445,0,0,35,0,0,1,1,0,0,0,0,0,0,71,5,0,11,10,0,60,4,0,12,0,0,0,1,0,0,11,1,21,3,8,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,053",3,"2,056",,,
Somalia,0,0,0,32,163,312,0,0,7,0,0,0,4,0,0,0,0,0,0,12,5,0,0,1,0,42,0,0,0,0,0,0,0,0,0,0,0,4,0,9,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,24,619,,,
South Africa,96,378,5,260,"59,149","3,589",4,0,438,653,1,82,56,0,1,14,0,0,0,717,77,0,31,37,0,59,4,4,"1,292",0,0,0,52,0,20,"1,302",60,"2,312",206,30,4,0,0,401,456,32,3,0,0,0,0,0,0,0,0,0,0,42,1,9,61,0,128,10,0,0,0,75,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"72,219",2,"72,221",,,
Sudan,22,58,26,693,419,"1,403",2,0,26,4,1,3,30,0,0,0,0,0,0,200,18,0,15,25,0,100,4,0,36,0,0,0,0,0,0,13,1,35,25,6,0,0,0,2,3,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,189",173,"3,362",,,
Swaziland,21,11,1,2,150,19,0,0,2,0,0,0,0,0,0,1,0,0,0,20,0,0,17,35,0,2,1,0,3,0,0,0,0,0,0,0,0,22,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,1,311,,,
Tanzania,23,11,2,331,719,"1,184",0,0,27,5,0,1,22,0,0,0,0,0,0,556,33,0,41,63,0,73,5,0,36,0,0,0,0,0,1,9,1,196,18,4,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,391",0,"3,391",,,
Togo,19,27,8,18,540,177,0,0,29,0,0,8,9,0,0,0,0,0,0,83,5,0,10,38,0,28,8,0,6,0,0,0,1,0,0,0,0,27,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,052",11,"1,063",,,
Tunisia,58,198,4,95,"3,327","3,235",9,0,12,39,0,0,49,0,0,0,0,0,0,148,4,0,22,59,0,51,7,0,28,0,0,0,0,0,0,11,1,108,24,2,0,0,0,9,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"7,515",115,"7,630",,,
Uganda,34,95,7,14,"1,476",233,0,0,9,41,0,4,2,0,0,0,0,0,0,224,25,0,13,54,0,85,1,0,15,0,0,0,0,0,0,1,1,114,25,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,510",0,"2,510",,,
Zambia,21,64,2,8,"1,254",186,0,0,7,2,0,0,11,0,0,0,0,0,0,180,13,0,43,44,0,41,5,0,8,0,0,0,0,0,0,9,1,118,9,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,045",0,"2,045",,,
Zimbabwe,50,127,6,33,"3,532",205,0,0,8,19,0,1,4,0,0,0,0,0,0,446,61,0,25,95,0,103,8,1,48,0,0,0,2,0,0,28,6,140,26,3,0,0,0,8,10,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,032",0,"5,032",,,
Totals for Africa,"1,541","5,456",323,"8,394","173,356","33,826",371,0,"1,996","2,292",3,333,981,0,6,23,0,0,0,"11,136",744,0,968,"2,428",21,"2,719",233,9,"2,532",0,0,0,68,0,35,"2,128",222,"6,934","1,320",660,42,0,0,581,761,282,13,0,0,0,0,0,0,0,0,2,0,73,12,28,366,2,612,20,210,0,0,351,141,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,"264,568","2,642","267,210",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,1,1,46,361,"1,451",0,0,17,0,0,0,0,0,0,0,0,0,0,13,3,0,3,6,4,14,1,0,3,0,0,0,1,0,0,4,0,8,3,58,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,029",256,"2,285",,,
Bahrain,15,257,0,4,"1,229","1,102",0,0,1,45,0,0,4,0,0,0,0,0,0,214,17,0,6,12,0,2,0,0,3,0,0,0,0,0,0,1,0,21,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,947",1,"2,948",,,
Bangladesh,24,219,24,569,"3,870","5,221",0,0,69,680,0,17,2,0,0,0,0,0,0,752,125,0,43,113,0,197,22,0,302,0,0,0,6,0,0,167,5,126,64,6,0,0,0,13,29,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"12,688",0,"12,688",,,
Bhutan,0,12,0,20,43,61,0,0,0,3,0,0,6,0,0,0,0,0,0,19,0,0,0,25,0,11,4,0,0,0,0,0,0,0,0,1,0,7,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,1,224,,,
Brunei,14,10,7,1,136,40,0,0,6,1,0,2,81,0,0,0,0,0,0,9,1,0,18,20,0,1,1,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,15,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,397,,,
Burma,23,11,7,286,34,865,0,0,721,10,0,0,"1,039",0,0,0,0,0,0,128,1,0,7,24,0,77,3,0,35,0,0,0,0,0,0,26,0,30,14,10,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,415",37,"3,452",,,
Cambodia,29,57,0,107,435,"2,026",0,0,10,0,0,0,0,0,0,1,0,0,0,92,0,0,5,38,0,6,0,0,2,0,0,0,0,0,0,3,0,41,2,74,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,020",30,"3,050",,,
China - mainland,425,455,2,"144,278","1,770","44,664",8,0,"8,124",53,13,971,"2,763",0,6,15,0,0,0,"11,909","3,943",0,76,360,0,228,16,8,"3,206",0,0,3,795,0,80,"2,107",234,"5,206","2,850",819,30,0,0,"3,048","2,781",65,0,0,0,0,0,0,0,0,0,0,0,69,8,43,408,5,182,15,130,0,0,22,1,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,"242,243","8,260","250,503",,,
China - Taiwan,0,2,0,153,"312,840","1,490",582,0,423,"1,607",0,2,10,0,770,198,0,0,0,"14,794",723,0,0,0,0,9,0,0,"1,420",0,0,0,2,0,6,577,191,967,593,38,5,0,0,292,407,122,2,0,0,0,0,0,0,0,0,0,0,4,14,2,3,0,99,0,0,0,0,116,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"338,470","6,431","344,901",,,
Hong Kong S.A.R.,2,4,0,58,"3,903",900,54,0,9,13,0,0,0,0,0,0,0,0,0,132,2,0,0,0,0,0,0,0,18,0,0,0,0,0,1,4,1,16,1,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,136",58,"5,194",,,
India,149,700,90,"17,091","66,139","78,280",1,0,750,"10,664",0,272,492,0,1,9,0,0,0,"10,532",752,0,103,306,0,706,78,2,"31,684",0,0,0,498,0,44,"17,693",137,"2,874","1,437",572,15,0,0,"1,628","1,695",382,7,0,0,0,0,0,0,0,0,0,0,63,328,39,69,0,"2,697",13,3,0,0,618,92,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"249,713",2,"249,715",,,
