Fiscal Year 2007,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Japan,263,"6,820",11,"1,222","2,999",177,0,0,24,"2,586",0,59,0,0,"1,791","10,262",0,11,0,"21,900",933,0,71,46,0,293,1,0,"3,516",0,0,0,193,12,363,"1,286","1,404","6,913","3,002",295,14,33,6,"4,996","6,618",770,11,0,0,0,0,0,0,0,0,0,0,397,125,123,513,1,468,25,191,0,0,149,56,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,"80,982",0,"80,982"
Jordan,33,"1,787",1,47,"12,540",138,0,0,8,243,0,65,1,0,0,2,0,0,0,696,158,0,9,46,0,77,1,0,257,0,0,0,1,0,1,156,10,793,112,73,0,310,27,22,38,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,1,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"17,682",0,"17,682"
"Korea, North",0,0,0,0,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,150
"Korea, South",254,"2,701",11,218,"350,100","1,033",0,0,279,"4,763",1,215,1,0,705,"2,896",0,5,0,"45,915","7,254",0,29,145,0,188,2,0,"3,788",0,0,1,156,1,108,"2,735",729,"10,671","6,781",318,24,48,6,"1,475","2,734",323,61,0,0,1,0,0,0,0,0,0,0,133,158,79,269,0,312,23,70,0,0,402,481,0,0,0,0,32,0,0,2,0,0,0,0,0,0,0,0,0,"448,636",0,"448,636"
Kuwait,33,495,0,24,"9,414",57,0,0,6,8,0,0,62,0,0,0,0,0,0,746,152,0,31,55,0,3,0,0,8,0,0,0,0,0,15,18,4,69,33,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,246",0,"11,246"
Laos,24,62,0,1,"2,750",11,0,0,2,0,0,13,0,0,0,0,0,0,0,36,3,0,29,32,0,17,1,0,3,0,0,0,0,0,0,1,0,24,8,552,36,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,676",0,"3,676"
Lebanon,17,259,7,70,"18,144",452,0,0,16,184,0,1,41,0,0,4,0,0,0,544,16,0,10,111,0,91,2,0,368,0,0,0,6,0,3,105,38,591,65,179,3,73,3,38,44,5,0,0,0,0,0,0,0,0,0,0,0,22,23,5,5,0,112,0,0,0,0,12,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"21,683",0,"21,683"
Macau S.A.R.,0,0,0,0,980,9,0,0,4,1,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,46,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,223",0,"1,223"
Malaysia,104,724,4,"1,085","30,233",190,0,0,72,"2,123",0,46,1,0,3,5,0,7,0,"1,569",99,0,35,116,0,44,3,0,926,0,0,0,0,0,78,215,101,678,116,46,4,9,1,573,362,14,0,0,0,0,0,0,0,0,0,0,0,9,2,2,6,0,4,0,0,0,0,25,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"39,649",0,"39,649"
Maldives,0,19,0,0,51,0,0,0,0,35,0,0,0,0,0,0,0,0,0,13,0,0,1,4,0,14,0,0,2,0,0,0,0,0,0,0,1,13,8,0,0,0,0,0,0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,216
Mongolia,8,143,0,212,"1,796",486,0,0,16,0,0,0,3,0,0,9,0,0,0,812,80,0,6,53,0,33,0,0,25,0,0,0,2,0,0,14,26,239,49,12,3,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,12,0,32,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,101",0,"4,101"
Nepal,12,204,6,53,"6,152",47,0,0,20,488,2,99,0,0,0,0,0,0,0,"3,216",231,0,16,33,0,207,11,0,446,0,0,2,171,0,5,295,9,239,53,27,2,28,5,44,39,31,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,46,0,0,0,0,163,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"12,419",0,"12,419"
Oman,35,314,0,5,927,303,0,0,0,33,0,0,0,0,0,0,0,0,0,123,11,0,14,37,0,3,0,0,5,0,0,0,0,0,0,0,0,99,23,0,0,0,0,9,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,956",0,"1,956"
Pakistan,112,"1,501",11,116,"29,463",405,0,0,9,567,0,24,9,0,53,55,0,3,0,"1,239",207,0,84,143,0,279,8,0,"1,233",0,0,0,5,0,14,946,21,975,330,320,11,424,42,114,156,4,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,87,3,0,0,0,18,16,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,"39,145",0,"39,145"
Palestinian Authority Travel Document,0,0,0,7,"2,254",18,0,0,1,1,0,0,0,0,0,0,0,0,0,222,8,0,0,0,0,29,0,0,19,0,0,0,0,0,0,11,1,181,40,15,0,21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,836",0,"2,836"
Philippines,37,"1,546",185,"12,636","77,744","2,310",0,0,"2,005","76,670",2,137,309,0,30,"1,004",0,8,0,"1,006",76,0,234,97,0,695,180,0,"4,279",0,24,12,"2,639",13,44,"4,112",104,"1,733",486,"6,444","1,213","1,202",307,"1,171",778,37,1,0,0,0,0,0,1,1,0,0,0,64,226,11,170,0,69,6,2,0,0,474,179,0,0,0,0,11,0,1,9,0,0,0,0,0,0,0,0,0,"202,734",0,"202,734"
Qatar,82,277,5,2,"1,521",6,0,0,1,0,0,0,45,0,0,0,0,0,0,271,21,0,38,92,0,1,0,0,1,0,0,0,0,0,2,0,5,24,6,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,408",0,"2,408"
Saudi Arabia,247,"3,046",14,141,"12,628","2,862",0,0,2,2,0,0,472,0,0,0,0,0,0,"5,776","2,119",0,48,105,0,34,0,0,18,0,0,0,0,0,24,35,2,230,214,1,0,2,0,86,304,25,6,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,450",0,"28,450"
Singapore,40,"1,489",0,87,977,33,0,0,4,"2,244",0,2,1,0,2,20,0,0,0,"1,434",94,0,10,41,0,50,0,0,532,416,0,0,1,0,42,312,42,"1,010",103,21,1,12,0,327,334,21,0,0,0,0,0,0,0,0,0,0,0,19,7,2,8,0,3,2,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,758",0,"9,758"
Sri Lanka,27,223,28,147,"8,707",93,0,0,72,854,12,63,1,0,0,5,0,1,0,882,122,0,57,15,0,126,32,0,336,0,0,0,5,0,4,158,14,186,49,21,2,15,0,184,124,50,3,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,21,0,0,0,0,39,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,"12,693",0,"12,693"
Syria,3,9,1,38,"5,560",105,0,0,0,16,0,0,9,0,0,0,0,0,0,148,14,0,43,21,0,58,1,0,95,0,0,0,0,0,0,120,3,159,66,168,2,44,8,4,11,2,1,0,0,0,0,0,0,0,0,0,0,4,9,4,5,0,23,0,0,0,0,6,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"6,770",0,"6,770"
Thailand,70,692,20,582,"41,873",209,0,0,192,"4,064",0,35,7,0,56,231,0,4,0,"4,515",68,0,18,92,2,61,10,0,534,0,0,10,16,1,7,102,94,"12,754",116,"1,117",147,191,53,168,118,27,0,0,0,1,0,0,0,0,0,0,0,18,0,9,4,0,39,0,5,0,0,175,9,0,0,0,0,7,0,7,16,0,0,0,0,0,0,0,0,0,"68,546",0,"68,546"
Timor-Leste,6,12,0,2,25,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,8,16,0,1,0,0,0,0,0,0,0,0,0,0,2,16,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,98
United Arab Emirates,35,434,0,6,"3,857",10,0,0,2,0,0,0,35,0,0,0,0,0,0,564,35,0,12,47,0,0,0,0,2,0,0,0,0,0,0,2,4,39,12,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,102",0,"5,102"
Vietnam,201,679,5,351,"21,398","3,799",0,0,53,275,0,42,87,0,0,3,0,1,0,"6,152",97,0,65,164,0,138,4,0,202,0,0,0,19,0,3,60,93,"1,291",133,"2,123",166,145,28,159,55,2,0,0,0,0,0,0,0,0,0,0,0,6,0,4,41,3,232,3,0,0,0,309,4,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,"38,602",0,"38,602"
Yemen,46,203,1,30,951,10,0,0,1,23,0,0,1,0,0,0,0,0,0,119,22,0,41,55,0,29,0,0,13,0,0,0,0,0,0,11,2,126,17,10,0,128,96,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,942",0,"1,942"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Asia,"2,977","34,412",440,"21,684","1,697,630","49,232",0,0,"10,015","129,524",20,"2,120","16,452",0,"3,859","14,832",0,118,0,"195,140","17,167",0,"1,569","3,018",42,"4,952",385,0,"116,516",416,24,39,"5,658",44,"1,674","68,034","4,183","72,447","20,925","16,773","2,165","4,308",842,"54,398","39,350","4,974",128,0,0,2,0,0,1,1,0,1,0,"1,223","1,083",472,"2,505",6,"4,701",103,412,0,0,"5,088","1,462",0,0,0,0,643,0,11,38,4,2,0,0,0,0,0,0,0,"2,636,244",0,"2,636,244"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,33,240,0,224,"5,187",40,0,0,21,0,0,1,24,0,0,0,0,0,0,361,15,0,13,63,0,54,0,0,92,0,0,0,18,0,0,9,10,241,9,52,1,21,0,9,10,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,4,0,11,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,772",0,"6,772"
Andorra,1,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,5,12,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51
Armenia,17,103,3,4,"3,199",12,0,0,9,1,0,0,2,0,0,3,0,0,0,122,15,0,2,38,0,63,0,0,64,0,0,0,3,0,0,51,3,403,34,56,2,12,3,14,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,37,0,168,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,471",0,"4,471"
Austria,62,289,0,14,874,9,0,0,7,506,0,3,0,0,20,74,0,0,0,612,7,0,23,42,5,124,2,0,218,0,0,0,50,22,12,94,95,"1,818",70,20,1,7,0,265,152,44,1,0,0,0,0,0,0,0,0,0,0,104,7,7,310,0,28,3,2,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"6,024",0,"6,024"
Azerbaijan,32,248,1,39,"1,869",4,0,0,13,46,0,0,5,0,0,2,0,0,0,281,8,0,24,40,0,62,0,0,34,0,0,0,0,0,1,18,6,519,18,19,6,1,0,19,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3,354",0,"3,354"
Belarus,26,17,0,390,"1,808","3,972",0,0,6,718,0,2,0,0,0,1,0,0,0,198,9,0,33,58,0,69,0,0,131,0,0,0,0,0,1,97,5,"1,746",22,132,27,7,0,28,37,1,0,0,0,0,0,0,0,0,0,0,0,17,2,3,74,0,2,6,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"9,650",0,"9,650"
Belgium,34,198,1,89,523,18,0,0,21,574,0,15,3,0,14,157,0,1,0,584,18,0,32,56,16,150,1,0,243,0,0,0,15,0,10,87,173,"1,019",102,27,0,5,0,352,442,73,0,0,0,651,0,22,0,7,0,0,0,50,38,17,193,0,15,2,0,0,0,7,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"6,066",0,"6,066"
Bosnia and Herzegovina,13,117,1,21,"6,137",128,0,0,1,378,0,2,2,0,1,2,0,0,0,162,3,0,4,16,0,51,0,0,69,0,0,0,2,0,0,10,18,456,5,37,4,17,1,13,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58,0,0,0,0,13,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"7,757",0,"7,757"
Bulgaria,46,109,0,66,"11,849",239,0,0,21,"3,130",0,1,3,0,1,14,0,0,0,810,26,0,17,38,0,79,1,0,529,0,0,3,808,328,4,137,22,"9,897",37,63,3,7,0,25,25,10,0,0,0,149,0,1,0,0,0,0,0,38,2,8,248,0,34,2,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"28,838",0,"28,838"
Croatia,32,240,0,107,"11,068",688,0,0,11,"3,969",0,3,1,0,1,8,0,0,0,326,3,0,11,80,0,50,0,0,133,0,0,0,8,0,7,39,96,632,25,24,4,3,0,21,12,6,0,0,0,0,0,0,0,0,0,0,0,21,0,11,46,0,40,2,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,740",0,"17,740"
Cyprus,9,25,0,4,"3,584",495,0,0,2,24,0,0,0,0,0,0,0,0,0,274,4,0,13,20,0,12,0,0,74,0,0,0,0,0,0,3,3,176,4,1,0,0,0,7,3,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,761",0,"4,761"
Czech Republic,35,412,3,355,"21,079","3,417",0,0,22,285,0,4,118,0,2,21,0,0,0,659,15,0,17,89,2,52,0,0,162,0,0,0,175,1,5,60,87,"3,404",103,38,2,3,0,140,85,20,0,0,0,100,0,9,0,0,0,0,0,32,6,5,235,0,14,19,1,0,0,9,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"31,315",0,"31,315"
Denmark,22,291,2,222,"1,804",28,0,0,15,728,0,0,0,0,85,6,0,0,0,623,28,0,27,79,9,194,3,0,208,0,0,30,10,0,8,93,185,"1,915",205,17,1,1,0,478,527,107,7,0,0,145,0,4,0,0,0,0,0,71,31,27,141,0,21,3,0,0,0,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"8,415",0,"8,415"
Estonia,14,134,1,299,"5,451",570,0,0,36,201,0,1,0,0,0,0,0,0,0,84,3,0,4,28,0,7,0,0,44,0,0,2,8,0,0,12,25,452,22,11,1,5,2,7,15,3,0,0,0,76,0,1,0,0,0,0,0,6,0,0,9,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,540",0,"7,540"
Finland,31,318,6,300,125,182,0,0,1,"1,207",0,0,0,0,39,96,0,1,0,343,4,0,28,127,4,71,4,0,103,0,0,1,8,0,6,52,102,"1,170",121,22,0,0,0,267,317,15,1,0,0,3,0,0,0,0,0,0,0,65,22,19,172,0,26,31,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,442",0,"5,442"
France,251,"2,108",7,270,"5,381",98,0,0,19,"4,161",0,284,2,0,214,"1,597",0,2,0,"4,604",111,0,67,278,38,944,3,0,"2,190",0,0,2,49,0,109,589,631,"11,623",751,114,6,20,2,"2,390","2,980",176,3,0,1,25,0,28,7,3,0,1,0,431,88,121,717,0,195,11,221,0,0,74,23,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,"44,042",0,"44,042"
Georgia,58,426,0,12,"2,125",7,0,0,2,"1,391",0,0,0,0,0,0,0,0,0,202,12,0,33,16,0,72,1,0,68,0,0,0,2,0,0,51,48,439,46,7,1,0,0,4,7,1,1,0,0,0,0,0,0,0,0,0,0,10,0,7,154,0,11,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,219",0,"5,219"
Germany,260,"1,222",7,296,"9,089",92,0,0,49,"3,839",0,42,6,0,"1,155","3,602",0,12,0,"5,989",86,0,122,212,17,515,3,0,"2,100",0,0,2,67,3,94,624,"1,185","24,657",844,325,23,56,4,"3,047","2,338",441,4,0,0,"1,091",0,41,40,88,0,0,0,477,144,118,993,1,83,14,131,0,0,115,36,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"65,809",0,"65,809"
Great Britain and Northern Ireland,330,"2,798",5,"2,000","22,885",517,0,0,27,"7,281",0,117,7,0,183,"2,387",0,32,0,"4,697",158,0,54,116,21,814,0,0,"4,475",0,1,35,"1,511",38,135,"1,917","2,007","16,999",496,881,70,148,23,"6,604","5,933","1,007",21,0,0,583,1,18,1,24,0,0,0,"1,718","1,099",411,"2,797",136,216,29,131,1,0,274,128,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,"94,336",0,"94,336"
Greece,115,366,0,51,"31,190",64,0,0,7,"1,790",0,1,5,0,19,2,0,0,0,825,14,0,46,108,3,45,1,0,338,0,0,0,1,0,2,29,127,689,72,20,1,10,1,45,27,25,0,0,0,558,0,11,0,0,0,0,0,61,8,5,34,0,159,4,1,0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"36,891",0,"36,891"
Hungary,52,125,1,45,"20,925",61,0,0,62,597,0,2,114,0,1,5,0,0,0,384,12,0,8,55,4,57,1,0,186,0,0,4,30,2,15,98,76,"1,626",175,30,5,2,0,129,107,7,0,0,0,144,0,7,0,0,0,0,0,40,2,9,248,0,35,3,0,0,0,29,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"25,531",0,"25,531"
Iceland,7,7,0,4,360,0,0,0,4,191,0,0,2,0,0,0,0,0,0,199,51,0,2,34,0,13,2,0,39,0,0,0,1,0,0,23,3,141,47,6,1,1,0,28,50,53,0,0,0,0,0,0,0,0,0,0,0,31,22,13,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,354",0,"1,354"
Ireland,32,251,1,117,"1,530",10,0,0,8,820,0,1,0,0,21,92,0,2,0,458,6,0,10,60,2,109,1,0,633,0,0,10,65,5,30,146,223,"8,167",114,88,4,8,1,709,503,232,8,0,0,1,0,0,0,0,0,0,0,121,54,17,373,5,283,8,6,0,0,40,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"15,389",0,"15,389"
Italy,102,666,0,585,"7,632",156,0,0,23,"2,244",0,10,0,0,276,443,0,4,0,"3,351",38,0,40,219,21,440,1,0,974,0,0,0,40,1,49,237,206,"4,650",286,70,3,18,0,751,488,151,0,0,0,512,1,39,14,1,0,0,0,306,174,45,453,1,68,4,126,0,0,79,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,"26,010",0,"26,010"
Kazakhstan,44,408,0,"2,066",962,"2,488",0,0,10,0,0,0,7,0,0,3,0,0,0,899,23,0,43,82,0,68,1,0,76,0,0,0,0,0,9,23,26,"4,686",60,53,8,7,3,37,46,0,4,0,0,0,0,0,0,0,0,0,0,3,0,4,11,0,2,2,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,173",0,"12,173"
Kyrgyzstan,21,186,0,7,920,18,0,0,5,0,0,2,3,0,0,2,0,0,0,184,14,0,18,14,0,74,0,0,22,0,0,0,0,0,2,12,5,729,33,41,11,9,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2,357",0,"2,357"
Latvia,31,246,2,36,"5,622",59,0,0,9,"1,707",0,2,0,0,0,2,0,0,0,175,7,0,4,47,1,9,1,0,54,0,0,0,5,0,1,15,26,221,13,25,8,3,3,11,9,5,0,0,0,2,0,0,0,0,0,0,0,8,0,0,32,0,4,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,416",0,"8,416"
Liechtenstein,2,1,0,1,13,0,0,0,0,5,0,0,0,0,0,1,0,0,0,18,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,69
Lithuania,28,244,1,34,"6,223",36,0,0,13,505,0,4,0,0,0,10,0,0,0,222,3,0,3,23,1,9,1,0,118,0,0,0,41,14,0,32,23,"1,662",12,35,5,3,0,10,5,1,0,0,2,6,0,2,0,0,0,0,0,7,0,5,55,0,17,1,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"9,427",0,"9,427"
Luxembourg,11,17,0,2,48,11,0,0,0,28,0,0,1,0,0,5,0,0,0,34,2,0,6,14,0,12,0,0,8,0,0,0,0,0,0,5,7,41,2,1,0,0,0,12,4,5,0,0,0,3,0,4,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,290
Macedonia,14,154,1,989,"2,314",127,0,0,6,"1,072",0,2,0,0,0,1,0,0,0,103,6,0,19,40,0,36,0,0,33,0,0,0,11,2,0,6,28,"1,336",8,25,1,20,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,18,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,417",0,"6,417"
Malta,4,22,0,3,"2,617",3,0,0,2,60,0,1,0,0,0,0,0,0,0,6,0,0,4,17,0,12,0,0,8,0,0,0,0,0,3,3,3,28,1,6,0,1,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,826",0,"2,826"
Moldova,11,89,1,12,"2,537",19,0,0,77,0,0,0,103,0,0,12,0,0,0,280,6,0,6,17,0,55,0,0,79,0,0,17,247,3,32,68,2,"5,763",14,58,15,9,3,4,9,4,0,0,0,0,0,0,0,0,0,0,0,6,5,4,10,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,591",0,"9,591"
Monaco,1,5,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24
Netherlands,50,362,0,531,"1,427",24,0,0,5,"3,743",0,6,3,0,28,440,0,0,0,"1,183",20,0,25,102,6,187,2,0,516,0,0,10,45,4,25,210,219,"3,051",161,52,1,12,3,952,975,269,3,0,1,218,0,12,1,7,0,0,0,138,140,48,322,1,6,3,5,0,0,40,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"15,610",0,"15,610"
Norway,66,263,3,650,"1,988",111,0,0,10,"1,676",0,1,1,0,194,233,0,0,0,978,16,0,22,193,0,94,0,0,120,0,0,1,6,0,6,38,122,"1,697",243,23,1,2,0,164,196,53,2,0,0,154,2,6,0,0,0,0,0,40,8,5,165,0,90,3,163,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,831",0,"9,831"
Poland,78,397,1,"1,120","76,397","4,270",0,0,462,"2,651",0,12,4,0,11,29,0,2,0,"1,294",25,0,24,94,4,70,7,0,541,0,0,20,268,116,61,250,246,"12,844",245,181,32,20,2,219,150,27,0,0,0,314,0,9,0,15,0,0,0,64,7,11,254,0,163,6,0,0,0,140,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"103,183",0,"103,183"
Portugal,56,249,5,66,"1,339",92,0,0,181,"1,318",0,18,7,0,0,7,0,0,0,520,20,0,44,107,9,61,0,0,162,0,0,2,9,1,9,28,95,627,66,17,0,2,0,126,78,27,0,0,0,68,0,10,2,0,0,0,0,21,28,9,61,0,6,3,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,566",0,"5,566"
Romania,67,723,4,184,"25,248",159,0,0,108,"4,738",0,7,0,0,0,12,0,0,0,748,52,0,45,86,0,121,4,0,603,0,0,157,"1,720",920,70,272,95,"6,275",145,249,26,44,2,88,83,9,0,0,0,47,0,8,0,0,0,0,0,37,3,7,21,0,40,6,2,0,0,40,28,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"43,310",0,"43,310"
