Fiscal Year 2007,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Lesotho,11,50,1,32,49,28,0,0,3,0,0,12,0,0,0,0,0,0,0,9,0,0,1,22,0,11,2,0,5,0,0,0,0,4,0,0,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,259
Liberia,23,142,2,54,"1,490",16,0,0,3,2,0,5,0,0,0,0,0,0,0,51,0,0,2,50,0,32,7,0,3,0,0,0,0,0,0,3,0,33,0,35,14,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,997",0,"1,997"
Libya,58,26,0,29,848,17,0,0,0,0,0,0,17,0,0,0,0,0,0,265,357,0,83,96,0,17,0,0,10,0,0,0,0,0,1,0,1,105,47,15,0,3,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2,010",0,"2,010"
Madagascar,29,39,0,24,437,48,0,0,42,0,0,0,66,0,0,0,0,0,0,41,0,0,47,60,0,92,5,0,6,0,0,0,0,0,0,1,2,52,7,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,013",0,"1,013"
Malawi,26,87,7,2,559,8,0,0,9,0,0,2,0,0,0,0,0,0,0,71,27,0,30,29,1,33,1,0,8,0,0,0,0,0,0,10,8,95,8,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,036",0,"1,036"
Mali,11,49,0,38,"1,544",352,0,0,2,0,0,6,0,0,0,0,0,0,0,319,10,0,4,56,0,65,0,0,11,0,0,1,1,0,0,1,2,90,10,8,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,642",0,"2,642"
Mauritania,17,74,2,5,232,8,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,12,55,0,40,0,0,0,0,0,0,0,0,0,2,4,17,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,503
Mauritius,9,35,0,9,"1,024",98,0,0,0,338,0,6,0,0,0,0,0,0,0,58,2,0,4,11,0,44,2,0,37,0,0,0,1,0,0,13,2,35,5,3,0,3,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,760",0,"1,760"
Morocco,43,611,23,81,"6,900",584,0,0,8,217,0,2,69,0,1,2,0,0,0,388,3,0,23,103,0,73,12,0,102,0,0,0,0,0,0,37,23,459,24,276,5,159,17,17,11,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,22,0,10,4,51,0,0,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"10,377",0,"10,377"
Mozambique,36,127,3,1,429,8,0,0,6,1,1,3,0,0,1,0,0,0,0,33,6,0,16,96,0,35,1,0,1,0,0,0,0,0,0,1,11,37,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,0,862
Namibia,19,52,0,4,653,12,0,0,5,30,0,1,0,0,0,2,0,0,0,26,3,0,29,27,0,17,2,0,3,0,0,7,8,0,0,3,2,106,2,2,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,031",0,"1,031"
Niger,33,123,2,12,743,22,0,0,7,0,0,10,0,0,0,0,0,0,0,101,3,0,36,35,0,53,1,0,11,0,0,0,0,0,0,2,0,27,4,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,231",0,"1,231"
Nigeria,203,544,10,"1,387","34,244","7,681",0,0,38,73,0,47,2,0,0,0,0,0,0,"2,259",92,0,110,168,0,258,8,0,547,0,0,0,1,0,20,204,60,474,84,632,43,250,41,129,226,30,0,0,0,0,0,0,0,0,0,0,0,5,0,1,31,0,9,0,0,0,0,310,19,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,"50,251",0,"50,251"
Rwanda,17,104,3,2,905,10,0,0,32,3,0,10,0,0,0,0,0,0,0,230,10,0,8,8,0,73,2,0,7,0,0,0,0,0,0,5,0,38,3,13,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,499",0,"1,499"
Sao Tome and Principe,4,11,1,0,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,23,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,79
Senegal,54,154,3,68,"2,947",77,0,0,16,2,0,18,6,0,0,0,0,0,0,214,2,0,27,56,0,178,6,0,61,0,0,0,0,0,1,26,15,146,11,28,3,14,3,7,6,2,0,0,0,0,0,0,0,0,0,2,0,1,9,0,11,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,212",0,"4,212"
Seychelles,0,16,1,6,91,17,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,179
Sierra Leone,12,31,1,70,"1,338",80,0,0,2,0,0,4,0,0,0,0,0,0,0,40,0,0,21,43,0,51,1,0,15,0,0,0,0,0,0,2,3,37,3,68,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,862",0,"1,862"
Somalia,1,0,0,3,110,13,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,16,1,0,0,0,0,0,0,0,0,0,0,6,0,29,1,38,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,253,0,253
