Fiscal Year 1999,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,32,35,7,"1,433","1,506","2,601",0,0,49,3,0,2,29,0,0,0,0,0,0,161,5,0,46,115,0,147,4,0,53,0,0,0,0,0,1,33,28,88,21,20,0,0,0,8,9,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"6,454",0,"6,454",,,
Angola,53,83,3,1,"1,888",272,0,0,10,0,0,1,6,0,0,0,0,0,0,273,14,0,20,59,0,20,0,0,2,0,0,0,0,0,7,1,4,39,26,1,0,0,0,20,31,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,843",0,"2,843",,,
Benin,50,104,6,44,744,132,0,0,25,0,0,8,12,0,0,0,0,0,0,81,9,0,50,18,0,57,6,0,5,0,0,0,0,0,0,2,0,60,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,433",0,"1,433",,,
Botswana,9,82,0,5,298,327,0,0,10,1,1,9,1,0,0,0,0,0,0,180,22,0,9,18,0,16,1,0,5,0,0,0,0,0,0,2,0,119,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,153",0,"1,153",,,
Burkina Faso,26,13,1,13,772,157,0,0,5,1,0,4,43,0,0,0,0,0,0,75,2,0,20,88,0,74,3,0,8,0,0,0,0,0,0,0,0,27,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"1,353",0,"1,353",,,
Burundi,25,20,1,17,159,76,0,0,40,0,0,0,0,0,0,0,0,0,0,39,1,0,7,25,0,72,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,506,,,
Cameroon,81,81,12,170,"2,419","1,260",0,0,26,0,0,4,0,0,1,0,0,0,0,423,24,0,11,138,0,124,8,0,62,0,0,0,0,0,0,36,5,116,29,14,1,0,0,9,10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,5,3,1,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,106",0,"5,106",,,
Cape Verde,10,17,3,21,"2,018",641,0,0,6,51,0,13,2,0,0,0,0,0,0,21,0,0,13,24,1,4,2,0,0,0,0,0,0,0,0,1,0,2,2,37,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,909",0,"2,909",,,
Central African Republic,6,21,0,6,71,31,0,0,5,0,0,0,10,0,0,0,0,0,0,16,5,0,12,23,0,14,1,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,232,,,
