Fiscal Year 2005,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,44,163,1,"1,253",989,916,0,0,11,0,0,0,31,0,0,0,0,0,0,46,1,0,49,151,0,86,0,0,28,0,0,0,0,0,0,17,24,146,18,44,2,19,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,"4,075",0,"4,075",,,
Angola,79,100,6,822,788,631,0,0,32,25,0,12,12,0,0,1,0,0,0,269,17,0,46,100,0,10,2,0,5,0,0,0,0,0,4,6,14,88,19,1,0,0,0,51,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,240",0,"3,240",,,
Benin,5,100,0,25,718,42,0,0,8,0,0,2,2,0,0,0,0,0,0,105,4,0,31,78,0,53,10,0,7,0,0,0,0,0,1,7,14,29,10,3,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,268",0,"1,268",,,
Botswana,23,68,3,0,972,10,0,0,20,13,0,0,0,0,0,0,0,0,0,74,8,0,9,54,0,7,5,0,12,0,0,0,0,0,0,9,2,58,9,3,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,385",0,"1,385",,,
Burkina Faso,34,26,2,3,"1,131",84,0,0,8,0,0,14,0,0,0,0,0,0,0,268,2,0,13,110,0,83,0,0,12,0,0,0,0,0,0,6,4,39,3,7,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,861",0,"1,861",,,
Burundi,36,48,1,3,459,14,0,0,48,0,0,3,0,0,0,0,0,0,0,69,6,0,11,51,0,90,1,0,2,0,0,0,0,0,0,0,7,9,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,864,,,
Cameroon,32,200,4,91,"5,283",296,0,0,30,2,0,0,0,0,1,1,0,0,0,573,21,0,55,91,0,143,5,0,63,0,0,0,1,0,0,23,11,168,43,40,3,11,3,13,7,3,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0,16,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,276",0,"7,276",,,
Cape Verde,6,40,2,4,"1,302",96,0,0,5,106,0,0,0,0,0,0,0,0,0,19,0,0,3,45,0,5,1,0,1,0,0,0,0,0,0,1,11,4,3,50,10,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,"1,733",0,"1,733",,,
Central African Republic,6,47,0,2,91,3,0,0,4,1,0,1,0,0,0,0,0,0,0,22,0,0,4,32,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,234,,,
Chad,33,79,4,8,248,145,0,0,3,0,0,27,0,0,0,0,0,0,0,116,1,0,8,42,0,24,0,0,6,0,0,0,0,0,0,4,0,21,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,779,0,779,,,
