Fiscal Year 2008,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,26,180,2,"1,515","1,196","2,035",0,0,21,0,0,0,58,0,0,0,0,0,0,324,1,0,60,93,0,78,3,0,21,0,0,0,0,5,12,8,210,3,44,1,14,0,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"5,947",0,"5,947"
Angola,87,72,10,412,"1,838",352,0,0,92,43,0,3,5,0,0,0,0,0,0,384,35,0,18,174,0,4,1,0,7,0,0,0,0,13,1,0,64,12,3,2,0,0,56,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,798",0,"3,798"
Benin,9,111,2,10,"1,189",11,0,0,8,0,0,38,0,0,0,0,0,0,0,222,2,0,39,140,0,42,1,0,9,0,0,0,0,0,1,9,48,0,2,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,910",0,"1,910"
Botswana,15,59,4,7,986,11,0,0,53,21,0,1,0,0,0,0,0,1,0,96,27,0,7,38,0,26,2,0,14,0,0,1,0,0,4,0,61,9,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,466",0,"1,466"
Burkina Faso,33,63,1,5,"1,424",8,0,0,11,0,1,22,1,0,0,0,0,0,0,361,1,0,33,113,0,88,3,0,13,0,0,0,0,0,6,18,46,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,264",0,"2,264"
Burundi,12,74,4,2,520,7,0,0,55,0,5,6,0,0,0,0,0,0,0,60,0,0,8,64,0,124,1,0,2,0,0,0,0,0,0,7,8,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972,0,972
Cameroon,36,193,5,11,"5,947",64,0,0,16,6,1,2,1,0,0,1,0,0,0,652,11,0,41,91,1,155,1,0,67,0,0,0,0,0,32,24,174,18,33,1,8,1,16,22,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,12,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"7,669",0,"7,669"
Cape Verde,4,36,2,5,"1,918",45,0,0,5,34,0,2,0,0,0,0,0,0,0,33,2,0,3,33,0,9,0,0,0,0,0,0,0,0,2,0,20,0,99,17,2,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,294",0,"2,294"
Central African Republic,24,18,1,0,115,1,0,0,1,2,0,1,1,0,0,0,0,0,0,17,0,0,15,31,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,240
Chad,31,73,2,2,315,4,0,0,1,0,0,0,0,0,0,0,0,0,0,66,1,0,15,27,0,33,0,0,8,0,0,0,0,0,4,0,16,1,0,0,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,0,609
Comoros,16,31,0,3,32,1,0,0,2,2,0,0,0,0,0,0,0,0,0,8,1,0,5,22,0,9,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,137
"Congo, Dem. Rep. of the (Congo Kinshasa)",25,75,0,50,"2,268",52,0,0,39,3,5,2,0,0,0,0,0,0,0,159,9,0,12,451,0,140,0,0,20,0,0,0,0,0,3,1,84,16,6,0,2,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,13,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,512",0,"3,512"
"Congo, Rep. of the (Congo Brazzaville)",48,58,0,2,588,13,0,0,4,1,0,0,0,0,0,0,0,0,0,43,0,0,50,67,1,25,1,0,2,0,0,0,0,0,0,1,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,934
Cote d'Ivoire,42,76,9,3,"2,331",29,0,0,18,3,0,13,0,0,0,0,0,1,0,364,7,0,49,149,0,128,9,0,36,0,0,0,0,0,10,6,64,6,12,1,5,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,14,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,415",0,"3,415"
Djibouti,25,50,0,7,248,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,7,0,16,0,0,0,0,0,0,0,0,0,0,9,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,385
Egypt,113,"1,377",5,191,"23,725",154,0,0,9,591,0,60,26,0,1,24,0,2,0,536,134,0,37,96,0,196,2,0,235,0,0,7,2,6,214,76,"1,925",665,195,4,97,12,87,115,43,0,0,0,0,0,0,0,0,0,0,0,12,1,11,2,0,9,0,0,0,0,108,79,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,"31,197",0,"31,197"
Equatorial Guinea,37,105,22,11,347,2,0,0,1,1,0,0,0,0,0,0,0,0,0,97,0,0,19,16,0,5,0,0,4,0,0,0,0,6,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,687
Eritrea,4,10,2,119,402,27,0,0,3,0,0,0,1,0,0,0,0,0,0,57,0,0,3,9,0,22,1,0,2,0,0,0,0,0,0,0,6,0,48,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,739,0,739
Ethiopia,35,97,5,131,"6,982",59,0,0,87,0,0,20,352,0,4,3,0,0,0,806,75,0,39,39,1,285,5,0,34,0,0,0,1,2,25,10,143,28,335,15,162,9,5,13,4,0,0,0,0,0,0,0,0,0,0,0,10,7,0,13,0,36,0,1,0,0,32,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"9,951",0,"9,951"
Gabon,26,120,1,2,743,31,0,0,5,0,0,0,5,0,0,0,0,0,0,171,3,0,2,24,0,29,0,0,7,0,0,0,0,0,3,3,12,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,196",0,"1,196"
"Gambia, The",6,30,0,8,"1,246",12,0,0,5,0,0,2,1,0,0,0,0,0,0,82,4,0,4,36,0,43,1,0,10,0,0,0,0,1,3,1,8,4,12,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,544",0,"1,544"
Ghana,27,555,1,119,"13,646",278,0,0,48,151,0,4,1,0,0,0,0,0,0,"1,114",86,0,20,77,0,226,10,0,184,0,0,0,4,1,77,56,"1,353",37,263,33,55,22,13,15,11,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,0,48,1,2,0,0,158,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"18,722",0,"18,722"
Guinea,30,102,6,22,"1,679",31,0,0,5,1,0,11,0,0,0,0,0,0,0,46,3,0,24,135,0,39,0,0,4,0,0,0,0,0,2,5,27,2,23,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,36,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,255",0,"2,255"
Guinea-Bissau,1,18,0,2,55,6,0,0,5,0,0,0,2,0,0,0,0,0,0,9,0,0,1,25,0,10,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,149
Kenya,54,435,10,469,"13,626",89,0,0,51,124,0,14,1,0,2,3,0,0,0,"1,998",74,0,33,245,2,478,16,0,278,0,0,0,1,1,81,9,454,62,59,10,25,13,18,17,16,0,0,0,0,0,0,0,0,0,0,0,9,5,1,42,0,21,1,0,0,0,77,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"18,939",0,"18,939"
Lesotho,8,22,3,80,45,27,0,0,12,0,0,0,0,0,0,0,0,0,0,10,0,0,5,30,0,11,1,0,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,272
Liberia,25,159,2,106,933,49,0,0,5,1,0,1,0,0,0,1,0,0,0,63,1,0,5,29,0,40,1,0,8,0,0,0,0,0,0,3,38,5,24,4,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,529",0,"1,529"
Libya,77,102,0,31,"1,064",9,0,0,0,0,0,3,4,0,0,0,0,0,0,"1,676","1,947",0,79,82,0,24,0,0,2,0,0,0,0,5,13,0,139,96,8,0,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,375",0,"5,375"
Madagascar,29,100,0,5,672,5,0,0,33,0,0,1,138,0,0,0,0,0,0,79,9,0,43,89,0,102,6,0,11,0,0,0,0,0,4,4,50,4,4,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,403",0,"1,403"
Malawi,16,82,6,1,681,23,0,0,45,4,0,2,0,0,0,0,0,0,0,83,22,0,12,111,0,44,6,0,8,0,0,0,1,1,6,7,102,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,295",0,"1,295"
Mali,29,102,1,66,"1,646",441,0,0,2,0,0,4,0,0,0,0,0,0,0,393,9,0,16,61,4,54,2,0,11,0,0,0,3,0,1,14,77,4,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,18,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,021",0,"3,021"
Mauritania,18,105,2,0,373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,11,49,0,41,0,0,0,0,0,0,0,0,0,2,23,2,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,659
Mauritius,19,39,0,8,"1,193",92,0,0,7,586,0,1,0,0,0,0,0,0,0,61,3,0,0,19,0,41,1,0,26,0,0,0,1,1,7,0,48,6,3,0,1,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,179",0,"2,179"
Morocco,52,446,26,82,"10,753","1,368",0,0,23,263,0,1,69,0,0,6,0,0,0,613,9,0,41,116,0,66,13,0,93,0,0,0,0,2,22,45,471,37,273,1,103,4,14,16,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,4,1,69,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"15,125",0,"15,125"
Mozambique,28,86,2,0,567,6,0,0,23,2,0,12,0,0,0,0,0,0,0,43,5,0,36,148,0,62,0,0,0,0,0,0,0,0,0,14,45,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,085",0,"1,085"
Namibia,22,83,2,3,652,1,0,0,9,21,0,0,0,0,0,0,0,0,0,37,0,0,17,57,0,11,0,0,4,0,0,9,24,0,0,3,84,6,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,059",0,"1,059"
Niger,32,44,0,15,570,13,0,0,5,0,0,11,0,0,0,0,0,0,0,94,1,0,25,52,0,68,0,0,8,0,0,0,0,0,1,0,25,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,977
Nigeria,113,890,15,440,"45,542","6,084",0,0,45,98,0,39,2,0,1,4,0,0,0,"2,377",125,0,68,265,0,300,7,0,501,0,0,0,1,20,210,88,678,89,543,54,156,22,146,215,89,4,0,0,0,0,0,0,0,0,0,0,10,0,10,67,1,41,0,0,0,0,365,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"59,748",0,"59,748"
Rwanda,11,126,4,3,883,8,0,0,19,2,0,5,0,0,0,0,0,0,0,309,13,0,7,22,0,47,1,0,3,0,0,0,0,6,2,1,72,2,5,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,582",0,"1,582"
Sao Tome and Principe,2,21,0,2,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70
Senegal,54,232,3,11,"4,129",69,0,0,16,0,0,23,7,0,0,1,0,0,0,264,4,0,32,105,3,198,9,0,62,0,0,0,0,1,21,20,142,13,34,0,9,1,9,5,3,0,0,0,0,0,0,0,0,0,1,0,4,13,0,20,0,38,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"5,561",0,"5,561"
Seychelles,1,21,2,9,80,11,0,0,1,38,0,1,0,0,0,0,0,0,0,2,0,0,3,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,188
Sierra Leone,18,47,2,42,"1,387",76,0,0,15,35,0,1,0,0,0,0,0,0,0,56,2,0,11,57,0,36,0,0,9,0,0,0,0,0,3,4,35,5,75,13,8,1,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,965",0,"1,965"
Somalia,0,0,0,3,112,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,19,11,0,0,0,0,0,0,0,0,0,0,10,3,19,1,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,227
South Africa,112,738,8,205,"47,577",140,0,0,100,"2,411",0,53,2,0,2,12,0,2,0,674,61,0,14,366,0,191,2,0,425,0,0,"1,375","1,963",25,324,70,"2,549",91,70,4,25,3,675,696,39,8,0,0,0,0,0,0,0,0,0,0,67,22,19,194,1,82,4,266,0,0,85,44,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,"61,801",0,"61,801"
Sudan,95,64,2,263,"1,508",56,0,0,7,0,0,0,3,0,0,0,0,0,0,115,9,0,52,131,3,80,0,0,10,0,0,0,0,0,6,25,28,3,12,0,19,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,502",0,"2,502"
