Fiscal Year 2008,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Swaziland,3,16,2,30,129,8,0,0,14,2,0,0,0,0,0,0,0,0,0,36,3,0,11,76,0,11,1,0,2,0,0,0,0,0,0,6,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,379
Tanzania,63,386,2,194,"3,290",238,0,0,95,0,0,0,78,0,0,0,0,0,0,462,46,0,78,227,1,141,5,0,71,0,0,0,2,0,21,16,214,24,19,1,8,1,5,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,774",0,"5,774"
Togo,13,63,0,5,993,15,0,0,4,0,0,0,1,0,0,0,0,0,0,92,3,0,14,81,0,36,3,0,13,0,0,0,0,0,3,1,25,1,10,3,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,395",0,"1,395"
Tunisia,31,179,3,77,"2,675",98,0,0,1,67,0,1,9,0,0,1,0,0,0,163,14,0,2,40,0,62,1,0,32,0,0,0,0,3,9,8,235,12,12,0,4,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"3,763",0,"3,763"
Uganda,38,178,6,19,"3,978",7,0,0,47,0,0,6,12,0,0,0,0,0,0,448,38,0,29,143,0,231,7,0,43,0,0,0,0,0,21,5,180,19,31,4,4,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,0,2,0,0,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,670",0,"5,670"
Zambia,19,140,1,80,985,107,0,0,13,15,0,13,0,0,0,0,0,0,0,109,8,0,20,119,0,168,2,0,14,0,1,0,0,0,5,7,74,10,11,2,3,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,954",0,"1,954"
Zimbabwe,35,15,6,24,"3,179",90,0,0,144,2,0,0,138,0,0,0,0,0,0,358,51,0,49,76,0,194,3,0,87,0,0,1,3,0,36,3,172,28,3,0,0,0,32,13,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,20,1,6,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,795",0,"4,795"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Africa,"1,729","8,504",194,"4,912","218,986","12,371",0,0,"1,230","4,531",12,379,918,0,10,56,0,6,0,"16,356","2,860",0,"1,225","4,768",35,"4,505",129,0,"2,401",0,1,"1,393","2,006",99,"1,199",587,"10,328","1,342","2,319",182,790,113,"1,141","1,298",256,14,0,0,1,0,0,0,0,0,1,0,143,51,51,504,3,542,14,369,0,0,"1,122",246,0,0,0,0,49,0,0,2,0,1,0,0,0,0,0,0,0,"312,284",0,"312,284"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,42,542,0,3,846,82,0,0,4,0,0,0,0,0,0,0,0,0,0,152,12,0,17,7,0,89,0,0,1,0,0,0,0,0,3,7,407,8,190,3,27,3,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,454",0,"2,454"
Bahrain,26,351,3,16,"1,447",849,0,0,1,8,0,0,2,0,0,0,0,0,0,177,16,0,14,45,0,5,0,0,4,0,0,0,0,0,6,2,106,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,086",0,"3,086"
Bangladesh,18,279,7,83,"5,413",123,0,0,27,559,0,2,3,0,0,1,0,0,0,593,75,0,63,91,0,304,10,0,252,0,0,0,2,4,153,21,251,75,12,0,53,4,19,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,44,0,0,0,0,25,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,"8,627",0,"8,627"
Bhutan,10,203,0,3,287,19,0,0,4,8,0,8,0,0,0,0,0,0,0,86,9,0,19,36,0,22,2,0,1,0,0,0,0,0,0,0,24,14,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,803
Brunei,2,54,1,2,94,22,0,0,1,8,0,29,0,0,0,0,0,0,0,10,0,0,19,29,0,20,12,0,0,0,0,0,0,0,1,3,10,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,324
Burma,52,4,0,284,430,713,0,0,274,0,0,0,"2,005",0,0,0,0,0,0,275,10,0,19,23,0,65,2,0,47,0,0,0,0,4,15,1,60,7,46,1,20,1,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,397",0,"4,397"
Cambodia,25,106,0,11,"2,209",16,0,0,9,0,0,0,0,0,0,0,0,0,0,225,4,0,32,83,0,35,3,0,5,0,0,0,0,0,3,1,107,9,796,54,45,9,1,3,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,824",0,"3,824"
China - mainland,495,"2,132",8,916,"361,638","9,160",0,0,"6,102",7,1,920,"12,147",0,5,19,0,10,0,"56,258","2,684",0,75,595,1,531,17,0,"9,141",0,0,2,341,446,"2,870",848,"20,578","5,214","1,923",323,480,125,"2,313","1,742","1,128",1,0,0,0,0,0,0,0,0,0,0,137,123,59,794,4,859,1,39,0,0,66,8,0,0,0,0,146,0,0,1,0,0,0,0,0,0,0,0,0,"503,433",0,"503,433"
China - Taiwan,4,0,0,23,"142,901",187,0,0,476,"1,936",0,2,0,0,730,271,0,0,0,"14,640",525,0,0,0,0,19,0,0,"1,945",0,0,0,8,32,494,167,"4,937",561,89,7,18,0,381,352,174,9,0,0,0,0,0,0,0,0,0,0,47,204,14,199,0,101,1,0,0,0,108,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,"171,588",0,"171,588"
Hong Kong S.A.R.,1,0,0,15,"43,812",51,0,0,8,"1,047",0,0,0,0,0,0,0,2,0,"2,401",43,0,0,4,0,15,0,0,299,0,0,0,1,0,60,76,"1,274",26,58,2,3,0,88,50,14,0,0,0,0,0,0,0,0,0,0,0,28,270,2,21,0,56,0,49,0,0,22,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"49,802",0,"49,802"
India,174,"2,278",38,"1,646","360,372","2,195",0,0,523,"24,058",2,365,540,0,1,16,0,48,0,"36,149","1,741",0,86,211,0,"1,181",51,0,"72,517",0,1,0,298,529,"44,277",213,"6,914","1,901",634,14,410,26,"40,139","25,054","2,513",16,0,0,0,0,0,0,0,0,1,0,164,470,106,54,0,"2,457",13,3,0,0,"2,097",230,0,0,0,0,140,0,2,3,0,0,0,0,0,0,0,0,0,"632,871",0,"632,871"
Indonesia,204,"1,324",88,"1,368","21,074","1,592",0,0,112,"8,139",0,64,85,0,2,6,0,4,0,"1,768",97,0,236,241,0,233,32,0,783,0,0,0,448,26,172,52,"1,332",185,143,13,21,3,237,294,16,0,0,0,0,0,0,0,0,0,0,0,11,1,2,15,0,3,0,5,0,0,38,14,0,0,0,0,6,0,3,6,0,0,0,0,0,0,0,0,0,"40,498",0,"40,498"
