Fiscal Year 2006,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Djibouti,18,42,0,27,86,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,3,8,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,231
Egypt,211,"2,316",7,128,"23,151",97,0,25,669,0,12,12,0,0,30,0,0,0,474,146,0,55,49,1,140,3,0,316,0,0,5,4,0,6,307,62,"1,558",476,80,0,96,19,72,108,32,3,0,0,0,0,0,0,0,0,0,0,19,24,9,0,0,47,1,0,0,0,155,50,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,"30,989",0,"30,989"
Equatorial Guinea,36,204,10,5,209,7,0,1,0,0,1,0,0,0,0,0,0,0,82,2,0,15,9,0,18,0,0,1,0,0,0,0,0,38,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,643
Eritrea,4,7,4,80,"1,004",20,0,0,0,0,2,2,0,0,0,0,0,0,62,2,0,5,7,0,12,0,0,2,0,0,0,0,0,0,3,0,10,0,29,0,12,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,291",0,"1,291"
Ethiopia,73,73,11,105,"5,515",118,0,88,0,1,17,264,0,0,10,0,0,0,428,42,0,21,35,0,253,6,0,41,0,0,0,3,0,2,17,0,114,24,215,12,213,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,"7,768",0,"7,768"
Gabon,51,143,1,2,539,90,0,0,0,0,1,7,0,0,0,0,0,0,155,5,0,11,61,0,24,1,0,1,0,0,0,0,0,1,4,2,14,2,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,125",0,"1,125"
"Gambia, The",14,29,0,35,893,120,0,6,0,0,1,2,0,0,0,0,0,0,97,4,0,5,37,0,42,0,0,7,0,0,0,0,0,0,3,1,13,0,13,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,341",0,"1,341"
Ghana,41,217,5,35,"8,138",391,0,16,82,0,8,1,0,0,0,0,0,0,616,71,0,27,105,0,166,4,0,230,0,0,0,92,0,1,80,40,454,33,190,25,52,21,10,20,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,29,0,0,0,0,130,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"11,392",0,"11,392"
Guinea,31,81,1,26,"2,093",352,0,4,0,0,5,0,0,0,0,0,0,0,77,1,0,27,66,0,27,0,0,13,0,0,0,0,0,0,0,0,30,0,12,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,923",0,"2,923"
Guinea-Bissau,3,11,0,3,71,17,0,1,0,0,4,0,0,0,0,0,0,0,5,0,0,1,22,0,6,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,149
Kenya,60,333,15,53,"11,040",105,0,34,65,1,5,0,0,1,1,0,0,0,"2,312",104,0,35,180,0,360,20,0,344,0,0,0,0,0,0,95,4,290,62,46,10,30,8,29,33,12,0,0,0,1,0,0,0,0,0,0,0,7,0,0,38,0,29,2,0,0,0,87,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"15,892",0,"15,892"
Lesotho,8,36,1,17,62,57,0,1,0,0,1,0,0,0,0,0,0,0,15,1,0,10,30,0,5,2,0,0,0,0,0,5,1,0,0,3,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,276
Liberia,27,104,1,102,662,22,0,8,3,0,4,0,0,0,0,0,0,0,42,0,0,3,16,0,30,1,0,3,0,0,0,0,0,0,0,0,19,0,28,9,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,120",0,"1,120"
Libya,89,22,0,8,599,10,0,0,0,0,0,0,0,0,0,0,0,0,113,75,0,78,46,0,9,0,0,3,0,0,0,0,0,0,3,0,24,1,6,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,092",0,"1,092"
Madagascar,23,54,0,74,293,151,0,16,0,1,4,144,0,0,1,0,0,0,40,1,0,53,62,0,65,4,0,4,0,0,0,0,0,0,8,4,61,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,070",0,"1,070"
Malawi,6,105,8,5,651,18,0,12,0,0,5,0,0,0,0,0,0,0,53,23,0,10,38,0,36,0,0,10,0,0,0,0,0,0,5,6,65,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,079",0,"1,079"
Mali,13,87,2,180,"2,548","1,012",0,3,0,0,4,1,0,0,0,0,0,0,276,10,0,21,92,0,72,0,0,16,0,0,0,0,0,0,8,10,74,9,16,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,487",0,"4,487"
Mauritania,23,49,6,29,233,75,0,0,0,0,2,2,0,0,0,0,0,0,20,0,0,12,18,51,37,0,0,2,0,0,0,0,0,0,1,0,10,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,575
Mauritius,0,46,0,8,"1,040",136,0,7,204,0,4,1,0,0,0,0,0,0,58,1,0,13,15,0,36,1,0,26,0,0,1,0,0,0,10,3,31,11,3,0,3,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,679",0,"1,679"
Morocco,34,422,29,66,"8,221",109,0,7,243,0,1,11,0,0,3,0,0,0,304,8,0,30,130,0,71,17,0,153,0,0,0,4,0,0,43,40,464,19,221,9,150,11,15,6,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,16,2,57,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"10,946",0,"10,946"
Mozambique,34,75,1,8,378,36,0,25,2,0,3,0,0,0,0,0,0,0,39,5,0,15,112,0,33,0,0,3,0,0,0,0,0,1,0,14,47,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,840
Namibia,17,57,2,1,532,11,0,5,20,0,0,0,0,0,1,0,0,0,33,5,0,36,32,0,13,2,0,5,0,0,10,4,0,1,6,0,103,3,2,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,926,0,926
Niger,36,141,5,63,617,51,0,2,0,0,14,2,0,0,0,0,0,0,124,2,0,18,35,0,48,1,0,7,0,0,0,0,0,0,0,0,30,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,209",0,"1,209"
Nigeria,98,938,3,"2,138","20,635","7,956",0,38,48,0,22,1,0,0,1,0,0,0,"1,658",61,0,81,264,0,244,2,0,483,0,0,0,0,0,8,169,48,467,92,674,45,306,57,136,191,24,0,0,0,0,0,0,0,0,0,0,0,3,0,1,18,0,23,1,0,0,0,279,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,"37,234",0,"37,234"
Rwanda,7,84,1,0,784,14,0,39,1,0,3,1,0,0,0,0,0,0,125,3,0,6,14,0,31,5,0,12,0,0,0,0,0,0,4,0,38,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,192",0,"1,192"
Sao Tome and Principe,3,27,0,1,21,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,71
Senegal,34,207,4,21,"3,397",72,0,19,1,0,9,8,0,0,1,0,0,0,197,1,0,34,32,0,158,4,0,80,0,0,0,0,0,1,33,12,145,19,30,1,22,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,26,1,29,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,635",0,"4,635"
Seychelles,0,21,0,11,103,14,0,0,18,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,186
Sierra Leone,8,24,2,9,974,199,0,3,0,0,8,0,0,0,0,0,0,0,38,2,0,7,44,0,46,1,0,17,0,0,0,0,0,0,14,0,30,3,48,7,7,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,522",0,"1,522"
Somalia,0,0,0,4,88,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,1,0,5,0,18,1,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,205
South Africa,99,688,10,572,"41,754","2,063",0,116,"2,233",0,84,3,0,1,13,0,2,0,647,27,0,43,276,0,146,4,0,636,0,0,"1,054","1,856",46,34,547,63,"2,785",127,55,2,20,6,720,458,38,0,0,0,0,0,0,0,0,0,0,0,56,14,19,62,1,245,8,30,0,0,78,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"57,767",0,"57,767"
Sudan,62,105,4,129,"1,180",59,0,6,0,0,2,0,0,0,0,0,0,0,95,1,0,50,102,0,82,1,0,11,0,0,0,0,0,0,7,7,26,0,10,1,17,8,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"1,980",0,"1,980"
Swaziland,11,80,3,0,243,12,0,2,5,0,0,0,0,0,0,0,0,0,28,0,0,3,7,0,4,0,0,4,0,0,0,0,0,0,0,3,19,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,432
Tanzania,41,121,2,452,"1,971",547,0,38,0,1,4,11,0,0,1,0,0,0,485,28,0,49,200,1,139,9,0,68,0,0,0,0,0,0,20,11,126,18,6,0,3,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,429",0,"4,429"
Togo,21,19,0,15,642,60,0,5,0,0,3,1,0,0,0,0,0,0,89,9,0,5,65,0,22,0,0,14,0,0,0,0,0,0,1,0,33,3,8,1,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,038",0,"1,038"
