Fiscal Year 2006,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Brunei,9,10,0,9,32,4,0,0,3,0,0,1,0,0,0,0,0,0,6,0,0,9,18,0,7,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,127
Burma,37,2,1,212,412,614,0,312,1,0,8,"2,254",0,0,0,0,0,0,208,0,0,14,25,0,72,4,0,45,0,0,0,0,0,0,14,2,39,5,38,0,16,4,3,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,366",0,"4,366"
Cambodia,22,116,0,11,"2,181",35,0,10,0,0,5,0,0,1,0,0,0,0,217,10,0,26,54,0,20,2,0,6,0,0,0,0,0,0,4,0,78,17,"1,156",150,50,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,225",0,"4,225"
China - mainland,512,"2,367",1,"1,145","262,810","26,514",0,"4,986",7,1,820,"11,813",0,4,17,0,2,0,"28,444","2,755",0,136,390,0,453,17,0,"9,451",0,0,0,117,0,286,"3,563",751,"11,425","3,673","2,164",344,916,252,"1,865","1,321",568,0,0,0,0,0,0,0,0,0,0,0,93,86,42,839,0,881,4,40,0,0,68,7,0,0,0,0,133,0,2,0,0,0,0,0,0,0,0,0,0,"382,085",0,"382,085"
China - Taiwan,0,2,0,39,"160,848",236,0,683,"1,831",0,5,1,0,"1,032",322,0,2,0,"16,727",671,0,0,0,0,17,0,0,"2,537",0,1,0,15,0,23,717,223,"2,839",669,56,2,10,0,286,313,147,6,0,0,0,0,0,0,0,0,0,0,34,85,0,37,0,55,1,0,0,0,114,35,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,"190,634",0,"190,634"
Hong Kong S.A.R.,0,0,0,17,"41,813",62,0,14,700,0,0,0,0,0,1,0,0,0,"2,354",27,0,1,0,0,14,0,0,405,0,0,0,12,0,12,70,133,"1,145",22,54,10,13,6,77,60,21,0,0,0,0,0,0,0,0,0,0,0,13,285,0,15,0,41,0,33,0,0,18,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"47,454",0,"47,454"
India,157,"1,895",40,"1,529","218,208","2,176",0,302,"16,733",1,488,347,0,0,17,0,26,0,"26,342","1,213",0,84,153,0,"1,016",47,0,"64,887",0,0,0,153,0,211,"38,999",116,"4,367","1,565",792,24,459,49,"31,787","19,077",576,2,0,0,0,0,0,0,0,0,0,0,127,137,56,11,0,"1,989",8,0,0,0,"1,141",236,0,0,0,0,128,0,3,8,1,0,0,0,0,0,2,0,2,"437,687",0,"437,687"
Indonesia,199,"1,390",107,644,"35,988",218,0,66,"5,858",0,40,0,0,3,2,0,2,0,"2,799",99,0,159,177,2,205,40,0,890,0,0,16,532,0,14,271,27,"1,135",140,113,9,22,1,214,282,27,2,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,23,0,4,0,0,46,44,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,"51,825",0,"51,825"
Iran,2,35,2,396,"4,495","4,235",0,21,2,1,0,0,0,0,18,0,0,0,646,105,0,94,126,0,176,0,0,165,0,0,0,0,0,0,155,13,208,149,316,11,127,17,18,14,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,"11,575",0,"11,575"
Iraq,64,519,2,12,"1,572",93,0,4,1,0,3,0,0,0,0,0,0,0,90,22,0,39,103,0,14,0,0,50,0,0,0,0,0,0,66,8,232,29,206,13,74,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"3,255",0,"3,255"
Israel,220,"2,226",0,48,"108,315",191,0,33,128,0,14,712,0,522,12,0,13,0,"1,189",107,0,17,19,0,33,1,0,"1,179",0,0,1,183,0,15,918,101,"3,488","1,287",50,3,15,3,908,"1,546",35,0,0,0,0,0,0,0,0,0,0,0,153,11,58,471,0,101,5,1,0,0,394,285,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"125,018",0,"125,018"
Japan,302,"6,623",11,477,"3,810",55,0,73,"3,378",0,71,0,0,"2,181","11,666",0,5,0,"23,417","1,018",0,35,33,0,298,3,0,"3,795",0,0,0,218,4,350,"1,453","1,410","6,887","3,035",256,15,32,6,"5,059","6,725",775,4,0,0,0,0,0,0,0,0,0,0,352,101,91,427,0,239,24,167,0,0,146,58,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,"85,119",0,"85,119"
Jordan,39,"1,422",3,36,"10,921",87,0,8,191,0,53,0,0,2,2,0,0,0,593,134,0,13,49,0,75,0,0,266,0,0,0,2,0,1,161,6,632,118,55,0,167,41,30,36,5,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,"15,165",0,"15,165"
"Korea, North",0,0,0,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,148
"Korea, South",258,"2,571",8,154,"343,822",585,0,280,"4,316",0,254,0,0,748,"2,521",0,2,0,"42,681","6,733",0,46,135,0,117,3,0,"3,924",0,0,1,262,0,92,"3,014",745,"10,154","6,552",275,28,67,10,"1,168","2,203",379,67,0,0,0,0,0,0,0,0,0,0,113,139,57,196,0,418,14,35,0,0,399,467,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"436,028",0,"436,028"
Kuwait,57,661,0,8,"7,382",33,0,3,0,0,4,58,0,0,0,0,0,0,662,156,0,43,31,0,12,0,0,9,0,0,0,0,0,0,6,1,67,23,0,0,0,0,3,8,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,235",0,"9,235"
Laos,28,37,0,8,159,"2,242",0,5,0,0,15,0,0,0,0,0,0,0,27,4,0,24,32,0,13,0,0,1,0,0,0,0,0,0,2,0,22,4,547,37,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,294",0,"3,294"
Lebanon,25,288,4,89,"13,090",389,0,10,69,0,3,36,0,0,0,0,0,0,504,19,0,8,101,0,83,1,0,338,0,0,0,1,0,5,102,52,435,40,150,1,82,4,23,31,11,0,0,0,0,0,0,0,0,0,0,0,15,10,4,26,0,8,0,0,0,0,8,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"16,083",0,"16,083"
Macau S.A.R.,0,0,0,0,816,3,0,7,0,0,0,0,0,0,0,0,0,0,137,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,38,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,039",0,"1,039"
Malaysia,89,806,5,621,"29,077",301,0,124,"2,071",0,55,3,0,1,6,0,2,0,"1,347",83,0,7,128,0,54,0,0,967,0,0,0,0,0,138,234,100,607,106,55,7,7,2,637,453,37,0,0,0,0,0,1,0,0,0,0,0,9,5,1,3,0,3,0,1,0,0,26,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"38,185",0,"38,185"
Maldives,2,18,0,1,33,1,0,0,22,0,0,0,0,0,0,0,0,0,9,1,0,2,19,0,12,0,0,5,0,0,0,0,0,0,5,0,27,2,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180
Mongolia,27,146,0,250,"2,118",388,0,20,0,0,2,2,0,1,2,0,0,0,"1,197",120,0,12,56,0,43,0,0,38,0,0,0,38,0,0,24,38,318,44,12,3,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,5,2,3,16,0,82,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,037",0,"5,037"
Nepal,11,321,16,34,"5,015",48,0,8,514,0,40,1,0,0,1,0,0,0,"3,401",202,0,12,29,0,194,6,0,390,0,0,5,232,0,1,232,3,200,57,30,2,28,7,22,32,49,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,22,0,0,0,0,106,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,285",0,"11,285"
Oman,34,298,1,12,603,392,0,0,46,0,2,0,0,0,0,0,0,0,120,25,0,8,23,0,2,0,0,8,0,0,0,0,0,2,7,0,98,20,0,0,0,0,9,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,734",0,"1,734"
Pakistan,130,"1,607",13,123,"28,937",427,0,17,662,0,27,4,0,45,65,0,1,0,"1,216",154,0,106,125,0,309,4,0,"1,293",0,0,0,3,0,4,"1,089",59,804,335,331,5,489,86,143,166,8,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,140,3,0,0,0,13,21,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,"39,096",0,"39,096"
Palestinian Authority Travel Document,0,0,0,9,"3,796",23,0,1,0,0,0,0,0,0,1,0,0,0,403,9,0,0,0,1,15,0,0,22,0,0,0,1,0,0,23,8,204,40,16,0,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,597",0,"4,597"
Philippines,72,"1,734",163,"12,383","49,639","4,569",0,"1,457","59,506",0,124,13,0,75,785,0,3,0,764,54,0,139,151,0,597,136,0,"2,823",0,7,22,"1,590",50,23,"2,891",96,"1,564",351,"4,991",825,"1,453",364,"1,020",740,21,0,0,0,1,0,0,1,0,0,0,0,69,207,3,170,0,56,0,1,0,0,311,62,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,5,"152,102",0,"152,102"
Qatar,64,430,3,9,"1,010",1,0,4,0,0,0,32,0,0,0,0,0,0,187,19,0,34,88,0,0,0,0,0,0,0,0,0,0,0,1,3,23,7,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,921",0,"1,921"
Saudi Arabia,396,"2,182",6,176,"8,048","2,368",0,2,0,0,1,272,0,0,0,0,0,0,"9,240","2,053",0,45,75,2,52,0,0,29,0,0,0,0,0,2,15,2,211,174,3,0,0,0,45,107,20,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,532",0,"25,532"
Singapore,35,"1,935",0,44,"1,734",45,0,4,"1,990",0,7,0,0,2,34,0,1,0,"1,402",95,0,11,49,0,39,0,0,599,286,0,0,1,0,13,319,42,895,139,23,2,7,2,299,255,19,0,0,0,0,0,0,0,0,0,0,0,9,6,8,7,0,3,3,0,0,0,16,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"10,384",0,"10,384"
Sri Lanka,26,370,37,96,"9,740",121,0,103,985,6,24,2,0,0,8,0,0,0,971,122,0,47,83,0,108,25,0,442,0,0,0,0,0,0,171,3,165,50,24,0,22,4,164,110,32,2,0,0,0,0,0,0,0,0,0,0,3,0,1,8,0,35,0,0,0,0,59,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,"14,185",0,"14,185"
Syria,3,10,0,35,"4,647",70,0,2,6,0,0,6,0,0,0,0,0,0,147,14,0,37,17,0,45,1,0,78,0,0,0,0,0,0,131,3,175,56,124,2,65,2,7,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"5,719",0,"5,719"
Thailand,56,973,20,428,"37,529",148,0,343,"4,865",0,33,2,0,55,208,0,2,0,"4,540",71,0,10,81,1,49,9,0,573,0,0,11,11,0,6,119,128,"9,185",131,969,138,213,56,125,90,30,1,0,0,0,0,0,0,0,0,0,0,11,6,13,0,0,99,0,21,0,0,155,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,"61,521",0,"61,521"
Timor-Leste,9,23,0,3,26,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,7,0,5,1,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96
United Arab Emirates,58,412,3,12,"3,371",6,0,0,0,0,0,38,0,0,0,0,0,0,436,56,0,13,39,0,0,0,0,5,0,0,0,0,0,0,0,1,47,14,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,517",0,"4,517"
Vietnam,171,498,1,"2,531","5,231","9,796",0,55,343,0,42,31,0,0,0,0,0,0,"3,718",62,0,43,111,0,113,0,0,134,0,0,48,15,0,3,52,28,983,117,"3,155",272,285,92,148,62,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,181,3,0,0,0,141,11,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,1,"28,490",0,"28,490"
Yemen,20,211,0,26,"1,249",24,0,0,1,0,2,0,0,0,0,0,0,0,130,26,0,30,40,0,19,0,0,3,0,0,0,0,0,0,2,1,90,28,9,1,196,197,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"2,314",0,"2,314"
Totals for Asia,"3,243","33,037",452,"21,734","1,417,532","56,814",0,"8,986","104,630",9,"2,173","15,810",0,"4,672","15,703",0,61,0,"177,061","16,301",0,"1,396","2,732",34,"4,615",310,0,"95,723",286,8,104,"3,386",54,"1,202","55,055","4,120","59,405","19,062","16,119","1,913","5,021","1,252","44,092","33,728","2,822",97,0,0,1,0,1,1,0,0,0,0,"1,051","1,098",350,"2,234",0,"4,480",71,305,0,0,"3,338","1,253",0,0,0,0,547,0,7,21,1,0,0,0,0,0,2,5,8,"2,245,528",0,"2,245,528"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,34,241,0,61,"5,002",50,0,12,0,0,1,11,0,0,4,0,0,0,333,8,0,8,38,0,58,0,0,83,0,0,0,25,0,0,13,18,249,3,30,2,11,0,3,10,2,0,0,0,0,0,0,0,0,0,0,0,5,4,1,4,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"6,337",0,"6,337"
Andorra,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,10,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26
Armenia,18,99,3,5,"3,748",26,0,21,0,0,0,7,0,0,4,0,0,0,162,9,0,14,43,0,82,1,0,73,0,0,0,5,0,0,57,10,392,32,52,1,21,3,8,5,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,15,0,71,3,0,0,0,4,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"5,009",0,"5,009"
Austria,29,232,4,21,861,7,0,11,787,0,1,0,0,18,93,0,1,0,535,11,0,17,74,4,125,3,0,222,0,0,1,60,11,15,67,95,"1,798",87,9,0,6,0,260,146,50,0,0,0,2,0,2,0,0,0,0,0,89,14,17,350,0,19,0,6,0,0,11,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"6,176",0,"6,176"
Azerbaijan,55,309,0,64,"1,442",11,0,5,9,0,0,5,0,0,0,0,2,0,240,3,0,23,20,0,57,0,0,38,0,0,0,0,0,2,14,30,464,13,22,6,4,1,17,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"2,881",0,"2,881"
Belarus,26,40,0,562,"1,357","4,338",0,15,590,0,0,0,0,0,0,0,0,0,196,8,0,34,36,0,71,1,0,125,0,0,0,2,0,4,89,4,"1,909",33,131,41,19,6,13,13,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,49,0,4,7,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,"9,749",0,"9,749"
Belgium,30,228,2,129,643,14,0,10,407,0,6,5,0,10,118,0,0,0,460,11,0,21,45,11,151,4,0,282,0,0,1,20,0,7,75,182,959,108,24,4,1,0,322,336,63,0,0,0,408,0,32,0,1,0,0,0,40,45,26,127,0,15,1,1,0,0,17,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"5,418",0,"5,418"
Bosnia and Herzegovina,15,145,2,110,"5,903",198,0,8,354,0,11,7,0,4,1,0,0,0,172,4,0,2,26,0,52,0,0,61,0,0,0,8,1,0,6,10,403,8,26,0,14,1,15,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,39,0,0,0,0,10,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,635",0,"7,635"
Bulgaria,40,153,0,43,"8,375","2,829",0,44,"3,897",0,0,15,0,2,7,0,0,0,949,40,0,25,51,1,74,2,0,540,0,0,7,"1,108",237,3,163,49,"9,521",55,50,4,7,0,24,24,7,0,0,0,141,0,8,0,0,0,0,0,31,0,12,47,0,47,1,0,0,0,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"28,643",0,"28,643"
Croatia,25,224,3,90,"9,922",81,0,20,"3,827",0,0,3,0,2,3,0,0,0,307,7,0,26,64,1,53,0,0,135,0,0,0,5,2,19,38,71,651,16,15,1,2,0,26,9,5,0,0,0,4,0,0,0,0,0,0,0,9,1,2,20,0,37,1,0,0,0,15,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"15,747",0,"15,747"
Cyprus,10,71,0,4,"3,275",436,0,3,35,0,0,0,0,0,0,0,0,0,317,4,0,10,19,0,12,0,0,77,0,0,0,0,1,0,6,7,205,1,1,0,1,0,8,5,8,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,531",0,"4,531"
Czech Republic,43,344,2,440,"20,473","4,579",0,17,336,0,5,205,0,2,10,0,1,0,624,10,0,36,107,0,47,0,0,213,0,0,0,167,2,13,56,77,"3,545",107,41,4,3,0,86,81,10,3,0,1,110,0,4,0,0,0,0,0,31,15,11,182,0,42,24,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"32,118",0,"32,118"
Denmark,47,331,4,204,"1,644",21,0,10,874,0,0,1,0,95,2,0,1,0,577,12,0,12,108,8,140,8,0,237,0,0,18,8,0,12,108,161,"1,858",163,16,0,4,0,432,403,99,0,0,0,139,0,8,0,2,2,0,0,78,29,29,59,0,16,9,3,0,0,19,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"8,016",0,"8,016"
Estonia,13,181,0,142,"4,322",629,0,6,214,0,1,0,0,1,4,0,0,0,95,2,0,6,31,5,8,0,0,24,0,0,1,6,0,1,12,11,424,21,13,2,4,1,10,15,4,0,0,1,33,0,4,0,0,0,0,0,8,0,1,32,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,302",0,"6,302"
Finland,46,265,8,248,176,190,0,1,872,0,0,0,0,54,96,0,2,0,308,12,0,16,160,5,85,3,0,114,0,0,1,12,0,4,62,90,"1,096",122,15,0,0,0,301,300,18,0,0,0,0,0,0,0,0,0,0,0,42,2,6,155,0,28,33,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,961",0,"4,961"
France,293,"2,017",4,305,"52,829",392,0,124,"4,190",1,"1,291",6,0,133,"1,181",0,3,0,"4,503",91,0,120,261,32,"1,044",5,0,"2,373",0,0,2,94,0,74,752,644,"10,998",771,90,4,19,7,"2,121","2,605",190,2,0,0,18,0,29,17,1,0,0,0,421,97,92,735,0,111,24,211,0,0,89,24,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,"91,454",0,"91,454"
Georgia,57,431,0,7,"2,390",47,0,837,395,0,3,809,0,0,1,0,0,0,196,16,0,25,16,0,77,1,0,68,0,0,0,0,0,0,63,39,596,41,15,1,0,0,2,5,4,1,0,0,0,0,0,0,0,0,0,0,12,0,12,9,0,0,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,185",0,"6,185"
Germany,244,"1,020",4,165,"8,829",114,0,16,"4,349",0,54,1,0,"1,069","3,487",0,3,0,"5,595",65,0,101,172,9,441,2,0,"2,395",0,0,2,113,5,76,731,"1,016","23,207",749,265,19,60,11,"3,020","2,299",405,0,0,0,"1,303",0,60,35,75,0,0,0,429,101,80,656,0,40,17,123,0,0,126,34,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,"63,201",0,"63,201"
Great Britain and Northern Ireland,190,"2,713",4,"2,303","25,333","1,371",0,60,"8,493",0,80,3,0,314,"2,567",0,16,0,"4,696",136,0,65,136,15,859,1,0,"4,805",0,0,39,"1,504",36,131,"2,124","2,273","16,110",515,879,56,172,29,"6,352","5,635","1,054",24,0,0,406,0,35,5,32,0,0,0,"1,555",939,342,"2,962",60,253,59,120,36,0,281,152,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,"98,367",0,"98,367"
Greece,79,304,1,102,"26,762",74,0,9,"2,891",0,4,5,0,9,1,0,0,0,841,9,0,10,124,8,38,0,0,314,0,0,0,0,0,3,51,104,648,74,12,0,4,0,65,25,39,0,0,0,508,0,5,1,0,0,0,0,60,61,6,42,1,115,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,423",0,"33,423"
Hungary,32,238,0,42,"18,885",62,0,56,576,0,0,21,0,0,0,0,0,0,371,13,0,9,67,2,61,1,0,199,0,0,2,55,0,11,127,61,"1,413",175,26,4,3,0,80,85,4,0,0,0,36,0,16,0,0,0,0,0,25,6,8,183,0,93,6,0,0,0,39,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,"23,104",0,"23,104"
Iceland,7,9,1,7,271,1,0,0,178,0,0,0,0,0,0,0,0,0,186,61,0,3,20,0,20,0,0,45,0,0,2,3,0,1,25,9,185,69,5,2,2,0,22,31,66,13,0,0,1,0,1,0,0,0,0,0,21,8,7,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,295",0,"1,295"
Ireland,21,215,0,124,"1,816",72,0,4,750,0,9,0,0,18,102,0,2,0,472,6,0,13,52,5,106,0,0,638,0,0,16,65,6,29,135,169,"7,680",116,86,3,10,0,673,406,203,0,0,0,2,0,0,0,0,0,0,0,122,55,22,359,7,302,3,7,44,0,59,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"15,009",0,"15,009"
Italy,101,659,2,629,"34,683",505,0,57,"2,940",0,23,3,0,293,520,0,4,0,"3,106",57,0,69,143,18,447,0,0,"1,088",0,0,0,38,1,42,258,231,"4,699",318,85,0,17,2,771,484,180,0,0,0,420,0,24,23,3,0,0,0,322,110,40,157,1,47,2,157,0,0,141,19,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"53,947",0,"53,947"
Kazakhstan,39,393,0,"1,542","1,002","1,963",0,23,0,0,2,5,0,0,4,0,0,0,647,16,0,23,22,0,61,1,0,85,0,0,0,0,0,2,31,29,"3,408",20,39,9,3,2,31,47,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,12,0,0,3,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,481",0,"9,481"
Kyrgyzstan,16,271,0,58,347,339,0,15,0,0,0,7,0,0,1,0,0,0,130,12,0,19,20,0,71,2,0,13,0,0,0,0,0,0,5,0,327,11,36,16,8,2,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"1,754",0,"1,754"
Latvia,12,230,0,40,"4,378",55,0,13,"2,079",0,0,1,0,0,1,0,0,0,198,6,0,3,47,1,21,0,0,61,0,0,1,2,0,2,21,16,253,8,32,5,3,0,15,11,10,0,0,0,0,0,1,0,0,0,0,0,10,1,0,22,0,4,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,571",0,"7,571"
Liechtenstein,1,0,0,7,9,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
Lithuania,32,256,0,50,"4,689",98,0,23,577,0,3,1,0,0,5,0,0,0,252,8,0,6,30,0,3,1,0,103,0,0,0,73,20,1,42,9,"1,995",11,28,8,8,5,7,8,0,0,0,0,13,0,1,0,2,0,0,0,15,0,1,48,0,20,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,462",0,"8,462"
