Fiscal Year 2011,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Cote d'Ivoire,23,58,6,15,"1,869",27,0,0,16,1,0,1,0,0,0,0,0,0,0,0,320,6,0,17,81,0,108,2,0,23,0,0,0,0,0,7,11,68,6,10,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,689",0,"2,689"
Djibouti,17,55,0,27,377,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,50,0,19,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,576
Egypt,242,"2,009",36,157,"37,604",111,0,0,9,503,0,23,32,0,0,50,0,0,0,0,"1,049",197,0,66,54,0,146,5,0,273,0,0,7,0,6,259,55,"1,331",400,119,2,8,3,162,216,136,2,0,0,0,0,0,0,0,0,0,0,21,29,8,1,0,41,0,0,0,0,33,33,0,0,0,0,7,0,0,0,0,0,0,1,3,0,0,0,0,0,"45,449",0,"45,449"
Equatorial Guinea,20,93,6,1,646,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142,0,0,17,44,0,8,25,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,027",0,"1,027"
Eritrea,1,16,26,119,404,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,2,10,1,18,0,0,2,0,0,0,0,0,1,0,10,0,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,762
Ethiopia,76,141,20,136,"8,069",43,0,0,56,0,0,28,442,0,0,2,0,0,0,0,769,82,0,33,69,0,321,6,0,35,0,0,0,1,0,29,8,136,24,277,15,7,0,7,8,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,60,0,29,0,0,0,0,5,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,"10,950",0,"10,950"
Gabon,50,196,2,1,746,90,0,0,2,0,0,13,3,0,0,0,0,0,0,0,188,1,0,7,17,0,14,0,0,10,0,0,0,0,0,0,11,13,4,1,1,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,392",0,"1,392"
"Gambia, The",0,60,0,38,"1,237",76,0,0,4,0,0,4,2,0,0,0,0,0,0,0,350,0,0,5,64,0,57,0,0,3,0,0,0,0,0,1,3,28,2,25,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,972",0,"1,972"
Ghana,28,275,3,60,"9,840",150,0,0,39,116,0,4,1,0,0,1,0,0,0,0,783,97,0,8,116,0,213,4,0,170,0,0,0,2,11,66,68,623,45,230,32,13,8,10,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,30,0,0,0,0,47,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,138",0,"13,138"
Guinea,26,38,4,60,"1,099",49,0,0,7,1,0,1,0,0,0,0,0,0,0,0,28,0,0,10,90,0,24,0,0,6,0,0,0,0,0,0,5,29,0,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1,531",0,"1,531"
