Fiscal Year 2011,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Cambodia,24,141,0,281,"1,801",9,0,0,17,0,0,28,5,0,0,0,0,0,0,0,218,1,0,39,79,0,36,3,0,12,0,0,0,0,0,3,3,143,7,285,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,13,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"3,212",0,"3,212"
China - mainland,494,"2,623",6,278,"699,701","1,733",0,0,"1,276","12,083",0,820,"1,761",0,6,22,3,0,7,0,"153,026","2,865",0,87,717,0,692,16,0,"10,849",0,0,1,0,149,"3,444",868,"31,758","8,666","1,279",181,10,4,"3,241","2,660","1,348",2,0,0,1,0,1,0,0,0,0,0,123,26,43,"1,287",0,732,9,40,0,0,28,2,0,0,0,0,56,0,0,0,0,0,3,4,8,1,0,0,0,0,"945,040",0,"945,040"
China - Taiwan,0,0,0,80,"125,383",109,0,0,177,"2,201",0,0,0,0,811,235,0,0,3,0,"11,200",385,0,2,0,0,15,0,0,"1,705",0,0,0,0,34,492,151,"4,585",574,101,4,3,0,302,299,238,7,0,0,0,0,0,0,0,0,0,0,58,216,10,129,0,156,1,0,0,0,42,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"149,731",0,"149,731"
Hong Kong S.A.R.,0,2,0,10,"37,878",3,0,0,7,753,0,0,0,0,1,3,0,0,0,0,"2,681",31,0,0,2,0,15,0,0,269,0,0,0,0,9,55,94,"1,216",37,46,11,0,0,83,80,21,0,0,0,0,0,0,0,0,0,0,0,24,252,1,51,0,5,0,39,0,0,27,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,714",0,"43,714"
India,198,"3,009",32,"2,096","304,167","2,110",0,0,365,"22,179",0,604,139,0,0,18,0,0,45,0,"25,649","1,196",0,128,259,1,"1,428",36,0,"72,438",0,1,0,2,597,"46,969",159,"6,905","2,027",525,19,32,2,"26,920","29,897",873,7,0,0,0,0,0,0,0,0,0,0,137,295,42,61,0,"1,752",14,2,0,0,489,172,0,0,0,0,57,0,82,112,0,0,7,4,9,0,0,0,0,0,"554,267",0,"554,267"
Indonesia,133,"2,023",68,667,"42,273",43,0,0,49,"10,458",1,84,6,0,1,2,0,0,1,0,"2,275",112,0,195,247,0,297,20,0,674,0,0,0,53,14,201,82,"1,465",188,131,18,1,0,200,284,40,5,0,0,0,0,0,0,0,0,0,0,13,0,3,3,0,66,2,1,0,0,22,6,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,"62,434",0,"62,434"
Iran,0,5,2,954,"9,428","8,479",0,0,22,4,0,0,0,0,0,27,0,0,1,0,"2,475",403,0,91,252,0,185,0,0,170,0,0,0,0,0,107,11,498,245,362,24,3,0,27,17,15,1,0,0,0,0,0,0,0,0,0,0,4,1,0,18,0,10,1,0,0,0,3,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,864",0,"23,864"
Iraq,168,732,9,53,"5,234",30,0,0,3,6,0,0,0,0,0,0,0,0,0,0,292,60,0,43,107,0,28,0,0,11,0,0,0,0,0,11,6,934,201,101,3,6,0,13,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,096",0,"8,096"
Israel,200,"2,519",0,81,"122,467",656,0,0,18,625,0,54,20,0,202,18,0,0,8,0,999,91,0,30,31,0,42,0,0,774,0,0,0,4,12,594,84,"2,906","1,407",42,4,0,0,"1,068","1,953",26,2,0,0,0,0,0,0,0,0,0,0,166,10,55,290,0,60,0,0,0,0,53,66,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,"137,645",0,"137,645"
Japan,331,"7,308",4,208,"2,280",14,0,0,8,"3,253",0,"1,181",1,0,"1,656","9,161",0,0,10,0,"16,811",713,0,48,133,0,421,0,0,"2,054",0,0,0,292,155,928,"1,088","7,007","2,750",438,16,7,0,"4,572","5,869",551,13,0,0,1,0,0,0,0,0,0,0,478,97,105,618,0,282,31,166,0,0,108,33,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,"71,218",0,"71,218"
Jordan,29,"2,178",11,260,"12,329",103,0,0,10,183,0,109,2,0,0,20,0,0,1,0,891,216,0,12,43,0,92,0,0,208,0,0,0,0,1,126,7,827,169,64,1,14,1,26,39,11,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,5,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,004",0,"18,004"
"Korea, North",0,0,0,0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,111
"Korea, South",244,"2,293",1,632,"13,857",137,0,0,12,"4,549",0,110,2,0,448,"3,260",0,0,6,0,"45,638","6,936",0,45,100,0,239,0,0,"3,501",0,0,0,103,55,"2,176",379,"10,890","5,499",237,12,1,0,"1,422","2,450",362,48,0,0,0,0,0,0,0,0,0,0,257,60,73,445,1,37,14,0,0,0,230,214,0,0,0,0,16,0,0,0,0,0,2,0,1,0,0,0,0,0,"106,994",0,"106,994"
Kuwait,26,315,0,6,"15,491",5,0,0,1,2,0,0,52,0,0,0,0,0,0,0,"1,599",306,0,9,24,0,2,0,0,6,0,0,0,0,3,3,0,70,23,1,0,0,0,13,30,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,003",0,"18,003"
Laos,37,79,0,6,729,5,0,0,6,0,0,13,0,0,0,1,0,0,0,0,36,1,0,23,77,0,27,2,0,1,0,0,0,0,0,0,1,54,1,234,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,371",0,"1,371"
Lebanon,8,459,20,59,"15,085",53,0,0,4,95,0,0,10,0,0,3,0,0,0,0,406,18,0,0,78,0,85,1,0,267,0,0,0,0,4,67,39,600,70,134,1,7,0,37,21,16,0,0,0,0,0,0,0,0,0,0,0,14,11,2,6,0,126,0,0,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,816",0,"17,816"
Macau S.A.R.,0,0,0,0,"1,407",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,95,2,2,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,732",0,"1,732"
Malaysia,141,885,0,273,"34,779",199,0,0,19,"1,736",0,21,2,0,1,9,0,0,2,0,"2,032",66,0,35,93,0,81,5,0,556,0,0,0,0,69,189,74,987,102,35,6,0,0,733,404,13,0,0,0,0,0,0,0,0,0,0,0,15,4,1,5,0,12,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"43,598",0,"43,598"
Maldives,5,85,0,0,112,1,0,0,0,18,0,3,0,0,0,0,0,0,0,0,5,0,0,1,32,0,2,0,0,3,0,0,0,0,0,2,0,41,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,331
Mongolia,21,247,0,349,"4,232",8,0,0,44,0,0,5,11,0,0,4,0,0,0,0,678,74,0,24,121,0,58,1,0,31,0,0,0,0,0,17,31,"1,021",53,16,5,0,0,1,0,33,1,0,0,0,0,0,0,0,0,0,0,1,0,3,29,0,12,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,142",0,"7,142"
Nepal,15,205,5,161,"5,611",34,0,0,43,288,0,71,0,0,0,0,0,0,1,0,"1,364",182,0,16,96,0,315,10,0,516,0,1,4,1,3,289,3,302,71,54,2,4,0,51,31,26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,21,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"9,825",0,"9,825"
Oman,40,435,3,11,"1,359",429,0,0,1,76,0,4,0,0,0,0,0,0,0,0,226,33,0,23,39,0,5,0,0,7,0,0,0,0,0,8,2,97,15,0,0,0,0,15,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,869",0,"2,869"
Pakistan,125,"2,000",16,94,"25,156",192,0,0,11,500,0,21,14,0,2,29,0,0,2,0,918,99,0,91,91,0,423,9,0,592,0,0,0,0,3,643,50,"1,600",324,315,4,23,2,129,167,11,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,94,1,0,0,0,10,11,0,0,0,0,27,0,0,1,0,0,1,0,0,0,0,0,0,0,"33,808",0,"33,808"
Palestinian Authority Travel Document,0,1,0,106,"3,072",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,15,0,0,0,1,29,0,0,17,0,0,0,0,0,9,7,254,29,19,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"3,809",0,"3,809"
Philippines,92,"1,830",247,"4,955","75,653",301,0,0,"1,183","49,652",0,104,"3,166",0,12,60,0,0,2,0,706,56,0,134,61,0,692,130,0,"2,369",0,2,25,"1,039",20,"2,230",59,"2,448",96,"4,651",766,57,16,"1,117",651,41,2,0,0,0,0,0,0,0,0,0,0,55,93,3,76,0,19,3,0,0,0,140,77,0,0,0,0,16,0,15,23,0,0,0,0,5,0,0,0,0,0,"155,150",0,"155,150"
Qatar,87,592,2,5,"4,199",2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,666,55,0,34,47,0,0,0,0,2,0,0,0,0,2,0,1,46,3,0,0,0,0,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,765",0,"5,765"
Saudi Arabia,449,"5,503",78,160,"47,127",37,0,0,8,0,0,5,597,0,0,0,0,0,0,0,"27,738","7,019",0,80,94,0,67,0,0,25,0,0,0,0,40,30,3,545,544,2,0,0,0,113,320,103,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"90,728",0,"90,728"
Singapore,42,"2,947",0,37,399,19,0,0,0,"2,268",0,25,3,0,3,34,0,0,4,0,"1,940",112,0,12,21,0,59,0,0,394,171,0,0,0,35,204,13,"1,136",147,18,0,0,0,284,287,63,0,0,0,0,0,0,0,0,0,0,0,14,10,1,16,0,3,0,0,0,0,11,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,743",0,"10,743"
Sri Lanka,28,229,23,100,"7,843",22,0,0,95,"1,259",0,1,1,0,0,2,0,0,0,0,699,117,0,40,88,0,80,24,0,228,0,0,0,0,0,131,7,172,58,12,0,0,0,91,88,48,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,5,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,"11,517",0,"11,517"
Syria,1,5,5,40,"7,153",61,0,0,0,18,0,0,43,0,0,0,0,0,0,0,233,29,0,50,11,0,62,0,0,81,0,0,0,0,0,76,1,186,55,118,2,6,1,5,12,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,82,0,0,0,0,4,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,366",0,"8,366"
Thailand,56,"1,419",15,338,"35,572",25,0,0,101,"2,618",0,80,5,0,45,287,0,0,3,0,"4,251",47,0,4,144,1,51,4,0,330,0,1,9,2,15,83,80,"10,055",88,640,86,6,3,111,85,35,0,0,0,2,0,0,0,0,0,0,0,14,9,1,37,0,11,0,3,0,0,35,0,0,0,0,0,6,0,26,44,0,0,0,0,2,0,0,0,0,0,"56,885",0,"56,885"
Timor-Leste,18,42,0,1,34,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,9,0,0,6,36,0,3,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,174
United Arab Emirates,43,998,0,9,"8,638",16,0,0,0,0,0,0,51,0,0,0,0,0,0,0,983,121,0,3,64,0,0,0,0,0,0,0,0,0,0,0,1,78,13,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,036",0,"11,036"
Vietnam,265,943,1,69,"34,280",408,0,0,265,290,0,66,0,0,0,8,0,0,2,0,"9,456",101,0,74,121,0,161,4,0,321,0,0,0,0,9,111,50,"1,935",139,872,73,17,3,123,86,57,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,66,0,0,0,0,99,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,"50,483",0,"50,483"
Yemen,30,191,13,57,"1,299",4,0,0,0,12,0,0,2,0,0,1,0,0,0,0,237,96,0,39,55,0,50,0,0,7,0,0,0,0,0,2,0,139,9,11,0,36,39,1,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,345",0,"2,345"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Asia,"3,573","44,106",570,"12,836","1,718,180","16,884",0,0,"4,304","115,551",1,"3,451","9,063",0,"3,189","13,206",3,0,101,0,"318,719","21,751",0,"1,606","3,725",47,"6,216",290,0,"98,650",171,5,39,"1,496","1,232","59,336","3,444","91,940","23,727","11,026","1,278",246,72,"40,751","45,846","4,091",133,0,0,4,0,1,1,0,0,0,0,"1,396","1,087",345,"3,109",1,"3,656",78,256,0,0,"1,429",644,0,0,0,0,253,0,123,185,0,0,17,9,36,1,0,0,0,0,"2,693,486",0,"2,693,486"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,24,157,1,7,"4,859",1,0,0,10,0,0,0,17,0,0,4,0,0,0,0,406,7,0,5,46,0,68,1,0,69,0,0,0,0,0,6,12,262,11,65,2,2,0,5,2,1,0,0,0,15,0,0,0,0,0,0,0,1,0,0,2,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,077",0,"6,077"
Andorra,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25
Armenia,35,118,2,1,"2,777",5,0,0,6,0,0,0,1,0,0,5,0,0,0,0,126,22,0,2,51,0,80,0,0,52,0,0,0,0,0,62,13,338,25,115,8,0,0,7,10,2,0,0,0,0,0,0,0,0,0,0,0,15,27,4,41,1,95,0,0,0,0,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,060",0,"4,060"
Austria,30,248,1,53,785,4,0,0,2,509,0,5,0,0,24,61,0,0,0,0,759,14,0,14,52,18,143,1,0,182,0,0,0,10,0,52,99,"2,156",110,15,1,0,0,257,123,66,2,0,0,2,0,0,0,0,0,0,0,100,7,9,224,1,20,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,166",0,"6,166"
Azerbaijan,63,255,1,4,"3,332",9,0,0,19,0,0,0,12,0,0,6,0,0,0,0,385,24,0,29,55,0,61,0,0,41,0,0,0,0,19,32,13,587,27,12,1,0,0,16,21,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,040",0,"5,040"
Belarus,22,23,0,67,"6,866",389,0,0,7,771,0,1,2,0,0,2,0,0,0,0,237,12,0,24,49,0,85,2,0,117,0,0,0,0,0,68,6,"1,248",24,73,13,0,0,41,48,1,0,0,0,0,0,0,0,0,0,0,0,12,1,6,77,0,15,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,319",0,"10,319"
Belgium,37,276,1,71,699,29,0,0,1,394,0,23,0,0,5,134,0,0,0,0,766,10,0,5,55,17,171,0,0,225,0,0,0,0,4,62,165,"1,198",118,22,2,0,0,369,357,103,1,0,0,430,0,22,0,11,0,0,0,73,115,17,203,0,27,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,236",0,"6,236"
Bosnia and Herzegovina,22,155,1,11,"5,659",3,0,0,5,449,0,0,7,0,0,2,0,0,0,0,169,6,0,2,21,0,39,0,0,30,0,0,0,0,0,12,11,361,2,75,2,3,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,51,0,0,0,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,136",0,"7,136"
Bulgaria,26,68,0,52,"13,303",220,0,0,18,"2,066",0,3,0,0,1,8,0,0,0,0,476,13,0,14,34,0,77,1,0,352,0,0,9,219,0,65,18,"6,824",31,57,8,2,0,37,33,13,0,0,0,134,0,1,1,2,0,0,0,23,2,4,98,0,32,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,"24,354",0,"24,354"
Croatia,10,186,1,54,"10,250",423,0,0,57,"3,649",0,4,0,0,3,28,0,0,0,0,308,4,0,4,46,0,54,0,0,70,0,0,0,2,1,16,38,725,21,24,1,0,0,59,32,9,0,0,0,5,0,2,0,1,0,0,0,23,0,3,21,0,22,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,166",0,"16,166"
Cyprus,10,73,0,4,"4,659",68,0,0,2,39,0,0,0,0,0,0,0,0,0,0,176,3,0,10,17,0,14,0,0,43,0,0,0,0,0,6,15,127,10,0,0,0,0,5,1,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,305",0,"5,305"
Czech Republic,38,342,0,44,"1,948",69,0,0,3,250,0,1,36,0,1,21,0,0,0,0,536,15,0,14,65,1,49,2,0,122,0,0,0,6,2,70,44,"2,627",89,23,0,0,0,172,111,12,1,0,0,103,0,1,0,0,0,0,0,36,5,14,106,0,3,15,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"7,001",0,"7,001"
Denmark,20,262,3,37,"1,254",2,0,0,4,496,0,4,0,0,22,103,0,0,0,0,"1,125",18,0,8,103,2,198,2,0,182,0,0,0,1,1,101,153,"2,364",213,23,0,0,0,432,526,66,0,0,1,103,0,9,0,4,0,0,0,96,23,17,303,0,5,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,295",0,"8,295"
Estonia,15,55,0,6,235,0,0,0,2,197,0,1,0,0,2,3,0,0,0,0,98,4,0,10,29,1,5,0,0,29,0,0,0,1,0,16,12,627,15,8,1,0,0,10,24,6,0,0,0,90,0,0,0,0,0,0,0,8,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,522",0,"1,522"
Finland,28,370,2,70,306,30,0,0,2,496,0,5,0,0,19,76,0,0,2,0,420,7,0,25,131,3,135,1,0,126,0,0,0,1,0,113,93,"1,264",152,17,0,0,0,210,281,41,3,0,0,0,0,0,0,0,0,0,0,58,18,13,117,0,27,14,18,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,699",0,"4,699"
France,273,"1,862",3,298,"4,227",62,0,0,15,"4,512",0,71,6,0,141,"1,660",0,0,11,0,"5,960",99,0,51,146,17,"1,158",3,0,"2,069",0,0,1,5,41,588,641,"12,995",852,148,1,0,0,"2,337","2,858",185,4,0,8,331,0,26,4,7,0,0,0,510,169,160,817,6,107,25,233,0,0,58,14,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,"45,779",0,"45,779"
Georgia,73,512,5,127,"2,577",53,0,0,2,"1,503",0,0,0,0,0,1,0,0,0,0,334,12,0,16,24,0,85,2,0,50,0,0,0,0,0,26,29,426,40,24,0,1,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3,51,0,19,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,028",0,"6,028"
Germany,208,"1,219",1,348,"6,797",58,0,0,15,"6,822",0,41,1,0,"1,341","3,249",0,0,6,0,"7,180",80,0,79,275,19,677,10,0,"1,627",0,0,0,5,36,555,925,"22,588",805,269,23,1,0,"2,311","1,785",757,12,0,0,"1,195",1,42,35,380,0,0,0,481,145,87,896,1,41,17,130,0,0,56,21,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,"63,663",0,"63,663"
Great Britain and Northern Ireland,145,"2,577",9,"1,236","19,019",277,0,0,28,"8,743",0,112,3,0,157,"1,796",0,0,57,0,"4,475",83,0,74,74,18,923,1,0,"3,660",0,0,41,"1,070",59,"1,815","1,776","16,637",436,926,42,2,0,"5,902","5,166",781,32,0,1,618,0,23,11,46,0,0,0,"1,883","1,356",356,"2,642",84,190,39,120,0,0,108,27,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,"85,675",0,"85,675"
Greece,44,207,0,8,"1,489",4,0,0,0,"1,690",0,3,1,0,24,2,0,0,0,0,891,21,0,14,51,7,35,0,0,334,0,0,0,1,1,66,26,697,83,16,0,0,0,66,29,44,0,0,0,137,0,2,1,5,0,0,0,59,6,10,47,0,108,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,233",0,"6,233"
Hungary,49,109,1,19,830,1,0,0,5,717,1,3,0,0,2,7,0,0,1,0,393,35,0,10,90,8,47,1,0,156,0,0,0,26,6,66,26,"1,886",151,18,0,1,0,140,141,17,0,0,0,107,0,4,0,2,0,0,0,40,4,10,281,1,28,4,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,458",0,"5,458"
Iceland,6,4,0,1,354,2,0,0,0,225,0,0,0,0,0,0,0,0,0,0,222,43,0,1,18,0,18,1,0,42,0,0,0,0,0,40,8,177,54,6,0,0,0,21,38,21,2,0,0,1,0,0,0,0,0,0,0,24,6,5,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,355",0,"1,355"
Ireland,42,166,3,101,"1,421",6,0,0,9,760,0,1,1,0,35,134,0,0,5,0,610,3,0,13,25,5,144,0,0,671,0,0,44,75,18,148,148,"9,320",125,92,4,0,0,"1,154","1,224",136,0,0,0,1,0,0,0,0,0,0,0,174,98,29,498,4,282,7,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,752",0,"17,752"
Italy,104,498,1,220,"3,383",64,0,0,5,"2,020",0,14,0,0,207,680,0,0,4,0,"3,759",76,0,42,178,22,526,3,0,"1,095",0,0,0,5,26,299,174,"5,611",370,72,2,4,0,964,663,197,4,0,0,403,0,19,25,3,0,0,0,411,132,49,318,0,32,8,229,0,0,91,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,023",0,"23,023"
Kazakhstan,42,384,4,38,"8,225","1,148",0,0,29,0,0,6,34,0,0,5,0,0,0,0,"1,912",86,0,39,107,0,89,1,0,72,0,0,0,0,13,31,35,"4,819",65,44,15,1,0,20,20,54,0,0,0,0,0,0,0,0,0,0,0,7,2,6,34,0,1,6,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,405",0,"17,405"
Kosovo,9,171,0,20,"2,728",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,48,0,27,0,0,11,0,0,0,0,1,0,14,533,12,59,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,774",0,"3,774"
Kyrgyzstan,23,145,1,10,"1,871",3,0,0,34,0,0,5,5,0,0,1,0,0,0,0,218,12,0,12,60,0,108,0,0,16,0,0,0,0,0,10,8,"1,295",44,26,0,0,0,4,18,1,0,0,0,0,0,0,0,0,0,0,0,6,2,1,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,951",0,"3,951"
Latvia,18,50,0,3,466,118,0,0,0,"2,056",0,2,0,0,0,7,0,0,0,0,207,7,0,4,16,1,20,1,0,41,0,0,0,1,2,14,9,268,11,13,3,0,0,11,13,14,1,0,1,65,0,1,0,0,0,0,0,10,0,2,9,0,55,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,528",0,"3,528"
Liechtenstein,3,3,0,2,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,1,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63
